26-mar-2019,,,,,,,,,,,
iShares U.S. Consumer Services ETF,,,,,,,,,,,
Inception Date,12 jun 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 852.798.179,24",,,,,,,,,,
Number of Securities,"168,00",,,,,,,,,,
Share,"4.200.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
AAP,ADVANCE AUTO PARTS INC,Equity,0.35,168.27,"17,588.00","2,959,532.76","2,959,532.76",Consumo discrecional,2822019,US00751Y1064,New York Stock Exchange Inc.
ABC,AMERISOURCEBERGEN CORP,Equity,0.34,76.56,"38,227.00","2,926,659.12","2,926,659.12",Cuidado de la Salud,2795393,US03073E1055,New York Stock Exchange Inc.
AAL,AMERICAN AIRLINES GROUP INC,Equity,0.34,30.21,"96,359.00","2,911,005.39","2,911,005.39",Industriales,BCV7KT2,US02376R1023,NASDAQ
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Equity,0.34,54.48,"53,315.00","2,904,601.20","2,904,601.20",Consumo discrecional,B9CGTC3,BMG667211046,New York Stock Exchange Inc.
WYNN,WYNN RESORTS LTD,Equity,0.34,117.36,"24,542.00","2,880,249.12","2,880,249.12",Consumo discrecional,2963811,US9831341071,NASDAQ
TSCO,TRACTOR SUPPLY,Equity,0.33,94.94,"29,745.00","2,823,990.30","2,823,990.30",Consumo discrecional,2900335,US8923561067,NASDAQ
KSS,KOHLS CORP,Equity,0.33,68.90,"40,470.00","2,788,383.00","2,788,383.00",Consumo discrecional,2496113,US5002551043,New York Stock Exchange Inc.
TIF,TIFFANY,Equity,0.32,103.13,"26,493.00","2,732,223.09","2,732,223.09",Consumo discrecional,2892090,US8865471085,New York Stock Exchange Inc.
KMX,CARMAX INC,Equity,0.31,62.88,"41,821.00","2,629,704.48","2,629,704.48",Consumo discrecional,2983563,US1431301027,New York Stock Exchange Inc.
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Equity,0.31,20.79,"125,615.00","2,611,535.85","2,611,535.85",Comunicación,2466321,US4606901001,New York Stock Exchange Inc.
LYV,LIVE NATION ENTERTAINMENT INC,Equity,0.30,63.31,"40,964.00","2,593,430.84","2,593,430.84",Comunicación,B0T7YX2,US5380341090,New York Stock Exchange Inc.
