14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,07-abr-2003,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 34,656,687,264.36",,,,,,,,,,,,,,
Number of Securities,959.00,,,,,,,,,,,,,,
Share,"807,750,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
CTRP,CTRIP.COM INTERNATIONAL ADR REPRE,Equity,0.32,41.28,"2,691,155.00","111,090,878.40","111,090,878.40",Consumo discrecional,2208987,US22943F1003,NASDAQ,China,USD,USD,1.00
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Equity,0.32,8.78,"12,635,800.00","110,896,113.47","110,896,113.47",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,USD,MXN,19.30
SOL,SASOL LTD,Equity,0.32,30.13,"3,650,665.00","109,988,613.56","109,988,613.56",Materiales,6777450,ZAE000006896,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
BAP,CREDICORP LTD,Equity,0.32,246.47,"442,854.00","109,150,225.38","109,150,225.38",Financieros,2232878,BMG2519Y1084,New York Stock Exchange Inc.,Perú,USD,USD,1.00
SBK,STANDARD BANK GROUP,Equity,0.31,12.83,"8,410,865.00","107,918,633.72","107,918,633.72",Financieros,B030GJ7,ZAE000109815,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
HINDUNILVR,HINDUSTAN UNILEVER LTD,Equity,0.31,25.02,"4,256,727.00","106,509,369.78","106,509,369.78",Productos básicos de consumo,6261674,INE030A01027,National Stock Exchange Of India,India,USD,INR,69.43
055550,SHINHAN FINANCIAL GROUP LTD,Equity,0.30,38.60,"2,708,958.00","104,567,163.48","104,567,163.48",Financieros,6397502,KR7055550008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
035420,NAVER CORP,Equity,0.30,115.45,"901,261.00","104,049,696.84","104,049,696.84",Comunicación,6560393,KR7035420009,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
PTT.R,PTT NON-VOTING DR PCL,Equity,0.30,1.51,"68,342,700.00","103,199,358.24","103,199,358.24",Energía,6420408,TH0646010R18,Stock Exchange Of Thailand,Tailandia,USD,THB,31.79
NVTK,PAO NOVATEK GDR,Equity,0.30,169.50,"599,562.00","101,625,759.00","101,625,759.00",Energía,B0DK750,US6698881090,London Stock Exchange,Rusia,USD,USD,1.00
3008,LARGAN PRECISION LTD,Equity,0.29,154.84,"651,000.00","100,803,669.67","100,803,669.67",Tecnología de la Información,6451668,TW0003008009,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
068270,CELLTRION INC,Equity,0.29,181.55,"542,909.00","98,562,839.52","98,562,839.52",Cuidado de la Salud,B0C5YV1,KR7068270008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
1301,FORMOSA PLASTICS CORP,Equity,0.29,3.37,"29,253,280.00","98,451,269.17","98,451,269.17",Materiales,6348544,TW0001301000,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
BBRI,BANK RAKYAT INDONESIA (PERSERO),Equity,0.29,0.27,"362,055,010.00","98,209,356.47","98,209,356.47",Financieros,6709099,ID1000118201,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
105560,KB FINANCIAL GROUP INC,Equity,0.28,37.59,"2,590,768.00","97,379,267.82","97,379,267.82",Financieros,B3DF0Y6,KR7105560007,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
051910,LG CHEM LTD,Equity,0.28,326.08,"297,879.00","97,131,603.07","97,131,603.07",Materiales,6346913,KR7051910008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
ITSA4,ITAUSA INVESTIMENTOS ITAU PREF SA,Equity,0.28,3.33,"29,126,392.00","97,004,414.32","97,004,414.32",Financieros,2458771,BRITSAACNPR7,XBSP,Brasil,USD,BRL,3.83
YUMC,YUM CHINA HOLDINGS INC,Equity,0.28,41.14,"2,355,846.00","96,919,504.44","96,919,504.44",Consumo discrecional,BYW4289,US98850P1093,New York Stock Exchange Inc.,China,USD,USD,1.00
ITC,ITC LTD,Equity,0.28,4.26,"22,384,504.00","95,266,927.33","95,266,927.33",Productos básicos de consumo,B0JGGP5,INE154A01025,National Stock Exchange Of India,India,USD,INR,69.43
005380,HYUNDAI MOTOR,Equity,0.27,104.87,"900,820.00","94,472,177.67","94,472,177.67",Consumo discrecional,6451055,KR7005380001,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
FSR,FIRSTRAND LTD,Equity,0.27,4.31,"21,861,612.00","94,300,379.98","94,300,379.98",Financieros,6606996,ZAE000066304,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
857,PETROCHINA LTD H,Equity,0.27,0.65,"140,024,000.00","91,328,337.12","91,328,337.12",Energía,6226576,CNE1000003W8,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
GMKN,GMK NORILSKIY NIKEL,Equity,0.26,213.06,"425,185.00","90,588,396.12","90,588,396.12",Materiales,B5B1TX2,RU0007288411,Standard-Classica-Forts,Rusia,USD,RUB,65.49
688,CHINA OVERSEAS LAND & INVESTMENT L,Equity,0.26,3.59,"25,090,960.00","90,136,252.08","90,136,252.08",Bienes Raíces,6192150,HK0688002218,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
WALMEX*,WALMART DE MEXICO V,Equity,0.26,2.63,"33,969,000.00","89,248,759.25","89,248,759.25",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,USD,MXN,19.30
1288,AGRICULTURAL BANK OF CHINA LTD H,Equity,0.26,0.47,"186,246,000.00","88,022,555.56","88,022,555.56",Financieros,B60LZR6,CNE100000Q43,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
ICICIBANK,ICICI BANK LTD,Equity,0.25,5.59,"15,675,790.00","87,576,263.87","87,576,263.87",Financieros,BSZ2BY7,INE090A01021,National Stock Exchange Of India,India,USD,INR,69.43
GFNORTEO,GPO FINANCE BANORTE,Equity,0.25,5.17,"16,925,056.00","87,428,109.44","87,428,109.44",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,USD,MXN,19.30
2454,MEDIATEK INC,Equity,0.25,8.82,"9,828,338.00","86,668,244.94","86,668,244.94",Tecnología de la Información,6372480,TW0002454006,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
2412,CHUNGHWA TELECOM LTD,Equity,0.25,3.48,"24,680,410.00","85,856,710.73","85,856,710.73",Comunicación,6287841,TW0002412004,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
TLKM,TELEKOMUNIKASI INDONESIA,Equity,0.25,0.26,"322,739,000.00","84,377,687.67","84,377,687.67",Comunicación,BD4T6W7,ID1000129000,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
1303,NAN YA PLASTICS CORP,Equity,0.24,2.45,"33,610,160.00","82,225,360.69","82,225,360.69",Materiales,6621580,TW0001303006,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
1326,FORMOSA CHEMICALS & FIBRE CORP,Equity,0.23,3.48,"22,944,090.00","79,816,506.21","79,816,506.21",Materiales,6348715,TW0001326007,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
CPALL.R,CP ALL NON-VOTING DR PCL,Equity,0.23,2.43,"32,665,500.00","79,383,716.08","79,383,716.08",Productos básicos de consumo,B08YDH1,TH0737010R15,Stock Exchange Of Thailand,Tailandia,USD,THB,31.79
BBAS3,BANCO DO BRASIL SA,Equity,0.23,14.02,"5,614,374.00","78,703,440.65","78,703,440.65",Financieros,2328595,BRBBASACNOR3,XBSP,Brasil,USD,BRL,3.83
012330,HYUNDAI MOBIS LTD,Equity,0.23,176.26,"443,846.00","78,231,426.81","78,231,426.81",Consumo discrecional,6449544,KR7012330007,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
2882,CATHAY FINANCIAL HOLDING LTD,Equity,0.23,1.46,"53,484,644.00","78,058,295.40","78,058,295.40",Financieros,6425663,TW0002882008,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
TAL,TAL EDUCATION GROUP ADR REPTG,Equity,0.22,32.99,"2,319,618.00","76,524,197.82","76,524,197.82",Consumo discrecional,B4MGD82,US8740801043,New York Stock Exchange Inc.,China,USD,USD,1.00
2891,CTBC FINANCIAL HOLDING LTD,Equity,0.22,0.67,"114,843,772.00","76,371,740.17","76,371,740.17",Financieros,6527666,TW0002891009,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
1216,UNI-PRESIDENT ENTERPRISES CORP,Equity,0.21,2.34,"31,527,839.00","73,764,246.96","73,764,246.96",Productos básicos de consumo,6700393,TW0001216000,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
051900,LG HOUSEHOLD & HEALTH CARE LTD,Equity,0.21,"1,180.93","61,337.00","72,434,634.71","72,434,634.71",Productos básicos de consumo,6344456,KR7051900009,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
MTN,MTN GROUP LTD,Equity,0.21,6.49,"11,043,112.00","71,676,662.88","71,676,662.88",Comunicación,6563206,ZAE000042164,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
EDU,NEW ORIENTAL EDUCATION & TECHNOLOG,Equity,0.21,76.07,"932,530.00","70,937,557.10","70,937,557.10",Consumo discrecional,B1CN1G6,US6475811070,New York Stock Exchange Inc.,China,USD,USD,1.00
MARUTI,MARUTI SUZUKI INDIA LTD,Equity,0.21,102.06,"694,211.00","70,851,365.13","70,851,365.13",Consumo discrecional,6633712,INE585B01010,National Stock Exchange Of India,India,USD,INR,69.43
033780,KT&G CORP,Equity,0.21,92.98,"757,802.00","70,457,487.44","70,457,487.44",Productos básicos de consumo,6175076,KR7033780008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
2007,COUNTRY GARDEN HOLDINGS LTD,Equity,0.20,1.42,"49,596,939.00","70,383,875.12","70,383,875.12",Bienes Raíces,B1VKYN6,KYG245241032,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
096770,SK INNOVATION LTD,Equity,0.20,167.45,"419,558.00","70,252,947.92","70,252,947.92",Energía,B232R05,KR7096770003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
1109,CHINA RESOURCES LAND LTD,Equity,0.20,3.87,"18,137,333.00","70,123,765.95","70,123,765.95",Bienes Raíces,6193766,KYG2108Y1052,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
1918,SUNAC CHINA HOLDINGS LTD,Equity,0.20,4.34,"15,839,000.00","68,804,247.16","68,804,247.16",Bienes Raíces,B4XRPN3,KYG8569A1067,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
BBDC3,BANCO BRADESCO SA,Equity,0.20,10.33,"6,645,391.00","68,649,802.44","68,649,802.44",Financieros,B00FM86,BRBBDCACNOR1,XBSP,Brasil,USD,BRL,3.83
FAB,FIRST ABU DHABI BANK,Equity,0.20,3.95,"17,062,570.00","67,355,611.67","67,355,611.67",Financieros,6624471,AEN000101016,Abu Dhabi Securities Exchange,Emiratos Árabes Unidos,USD,AED,3.67
006400,SAMSUNG SDI LTD,Equity,0.20,186.83,"358,842.00","67,043,715.52","67,043,715.52",Tecnología de la Información,6771645,KR7006400006,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
ASII,ASTRA INTERNATIONAL,Equity,0.20,0.51,"131,398,700.00","67,002,561.33","67,002,561.33",Consumo discrecional,B800MQ5,ID1000122807,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
2313,SHENZHOU INTERNATIONAL GROUP LTD,Equity,0.19,13.53,"4,922,800.00","66,599,323.56","66,599,323.56",Consumo discrecional,B0MP1B0,KYG8087W1015,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
2002,CHINA STEEL CORP,Equity,0.19,0.80,"82,397,313.00","65,993,576.36","65,993,576.36",Materiales,6190950,TW0002002003,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
2308,DELTA ELECTRONICS INC,Equity,0.19,4.85,"13,585,000.00","65,942,333.83","65,942,333.83",Tecnología de la Información,6260734,TW0002308004,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
OTP,OTP BANK,Equity,0.19,44.38,"1,476,652.00","65,532,808.71","65,532,808.71",Financieros,7320154,HU0000061726,Budapest Stock Exchange,Hungría,USD,HUF,278.06
2881,FUBON FINANCIAL HOLDING LTD,Equity,0.19,1.46,"43,796,969.00","64,132,187.15","64,132,187.15",Financieros,6411673,TW0002881000,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
086790,HANA FINANCIAL GROUP INC,Equity,0.19,33.49,"1,903,181.00","63,735,681.68","63,735,681.68",Financieros,B0RNRF5,KR7086790003,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
2601,CHINA PACIFIC INSURANCE (GROUP) LT,Equity,0.18,3.75,"16,831,000.00","63,036,248.64","63,036,248.64",Financieros,B2Q5H56,CNE1000009Q7,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
TENAGA,TENAGA NASIONAL,Equity,0.18,3.09,"20,349,250.00","62,850,218.69","62,850,218.69",Servicios,6904612,MYL5347OO009,Bursa Malaysia,Malasia,USD,MYR,4.09
2886,MEGA FINANCIAL HOLDING LTD,Equity,0.18,0.88,"71,018,162.00","62,740,140.53","62,740,140.53",Financieros,6444066,TW0002886009,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
LT,LARSEN AND TOUBRO LTD,Equity,0.18,19.87,"3,104,714.00","61,696,311.40","61,696,311.40",Industriales,B0166K8,INE018A01030,National Stock Exchange Of India,India,USD,INR,69.43
788,CHINA TOWER CORP LTD H,Equity,0.18,0.24,"259,762,000.00","61,218,186.10","61,218,186.10",Comunicación,BFZ2PK0,CNE100003688,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
AOT.R,AIRPORTS OF THAILAND NON-VOTING DR,Equity,0.18,2.17,"27,832,000.00","60,413,936.30","60,413,936.30",Industriales,6741206,TH0765010R16,Stock Exchange Of Thailand,Tailandia,USD,THB,31.79
SLM,SANLAM LTD,Equity,0.17,5.05,"11,691,797.00","59,030,416.20","59,030,416.20",Financieros,B0L6750,ZAE000070660,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
BMRI,BANK MANDIRI (PERSERO),Equity,0.17,0.49,"121,350,900.00","58,902,010.41","58,902,010.41",Financieros,6651048,ID1000095003,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
GMEXICOB,GRUPO MEXICO B,Equity,0.17,2.56,"22,934,888.00","58,677,759.64","58,677,759.64",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,USD,MXN,19.30
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,Equity,0.17,10.11,"5,745,663.00","58,091,868.35","58,091,868.35",Financieros,B03NGS5,PLPKO0000016,Warsaw Stock Exchange/Equities/Main Market,Polonia,USD,PLN,3.81
MAYBANK,MALAYAN BANKING,Equity,0.17,2.32,"24,895,700.00","57,730,041.05","57,730,041.05",Financieros,6556325,MYL1155OO000,Bursa Malaysia,Malasia,USD,MYR,4.09
267,CITIC LTD,Equity,0.17,1.50,"38,319,000.00","57,308,015.97","57,308,015.97",Industriales,6196152,HK0267001375,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
2319,CHINA MENGNIU DAIRY LTD,Equity,0.17,3.15,"18,067,000.00","56,963,197.22","56,963,197.22",Productos básicos de consumo,B01B1L9,KYG210961051,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
KRW,KRW CASH,Cash,0.16,0.09,"64,256,109,241.00","56,628,279.93","56,628,279.93",Liquidez,--,--,--,Corea del Sur,USD,KRW,"1,134.70"
175,GEELY AUTOMOBILE HOLDINGS LTD,Equity,0.16,1.74,"32,319,000.00","56,321,877.21","56,321,877.21",Consumo discrecional,6531827,KYG3777B1032,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
1088,CHINA SHENHUA ENERGY LTD H,Equity,0.16,2.43,"22,607,500.00","54,949,534.71","54,949,534.71",Energía,B09N7M0,CNE1000002R0,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
2382,SUNNY OPTICAL TECHNOLOGY LTD,Equity,0.16,11.65,"4,692,100.00","54,661,818.87","54,661,818.87",Tecnología de la Información,B1YBT08,KYG8586D1097,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
ETISALAT,EMIRATES TELECOM,Equity,0.16,4.60,"11,880,508.00","54,597,001.22","54,597,001.22",Comunicación,6322173,AEE000401019,Abu Dhabi Securities Exchange,Emiratos Árabes Unidos,USD,AED,3.67
LREN3,LOJAS RENNER SA,Equity,0.16,11.53,"4,691,990.00","54,087,045.35","54,087,045.35",Consumo discrecional,B0CGYD6,BRLRENACNOR1,XBSP,Brasil,USD,BRL,3.83
3333,CHINA EVERGRANDE GROUP,Equity,0.16,3.16,"17,083,388.00","53,970,792.48","53,970,792.48",Bienes Raíces,BD3DS68,KYG2119W1069,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
000810,SAMSUNG FIRE & MARINE INSURANCE LT,Equity,0.15,260.86,"202,222.00","52,752,015.51","52,752,015.51",Financieros,6155250,KR7000810002,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
