14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,14-ago-2001,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 65,613,077,234.69",,,,,,,,,,,,,,
Number of Securities,924.00,,,,,,,,,,,,,,
Share,"1,008,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
RB.,RECKITT BENCKISER GROUP PLC,Equity,0.41,83.15,"3,180,910.00","264,497,692.34","264,497,692.34",Productos básicos de consumo,B24CGK7,GB00B24CGK77,London Stock Exchange,Reino Unido,USD,GBP,0.75
BNP,BNP PARIBAS SA,Equity,0.40,49.56,"5,310,669.00","263,191,062.60","263,191,062.60",Financieros,7309681,FR0000131104,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
PRU,PRUDENTIAL PLC,Equity,0.40,21.03,"12,238,392.00","257,417,815.24","257,417,815.24",Financieros,0709954,GB0007099541,London Stock Exchange,Reino Unido,USD,GBP,0.75
AI,AIR LIQUIDE SA,Equity,0.40,127.12,"2,023,773.00","257,260,207.42","257,260,207.42",Materiales,B1YXBJ7,FR0000120073,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ANZ,AUSTRALIA AND NEW ZEALAND BANKING,Equity,0.39,18.80,"13,592,374.00","255,469,362.54","255,469,362.54",Financieros,6065586,AU000000ANZ3,Asx - All Markets,Australia,USD,AUD,1.42
IBE,IBERDROLA SA,Equity,0.39,8.59,"29,434,532.00","252,751,329.85","252,751,329.85",Servicios,B288C92,ES0144580Y14,Bolsa De Madrid,España,USD,EUR,0.88
DAI,DAIMLER AG,Equity,0.38,57.62,"4,327,735.00","249,359,920.93","249,359,920.93",Consumo discrecional,5529027,DE0007100000,Xetra,Alemania,USD,EUR,0.88
ZURN,ZURICH INSURANCE GROUP AG,Equity,0.37,331.52,"720,868.00","238,985,558.27","238,985,558.27",Financieros,5983816,CH0011075394,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
ENEL,ENEL,Equity,0.37,6.20,"38,487,889.00","238,775,384.05","238,775,384.05",Servicios,7144569,IT0003128367,Borsa Italiana,Italia,USD,EUR,0.88
VOD,VODAFONE GROUP PLC,Equity,0.36,1.86,"126,509,313.00","235,528,116.35","235,528,116.35",Comunicación,BH4HKS3,GB00BH4HKS39,London Stock Exchange,Reino Unido,USD,GBP,0.75
CS,AXA SA,Equity,0.36,25.40,"9,185,196.00","233,263,189.24","233,263,189.24",Financieros,7088429,FR0000120628,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
DG,VINCI SA,Equity,0.36,97.02,"2,403,670.00","233,192,571.45","233,192,571.45",Industriales,B1XH026,FR0000125486,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
BHP,BHP GROUP PLC,Equity,0.35,22.98,"9,966,208.00","229,072,326.15","229,072,326.15",Materiales,BH0P3Z9,GB00BH0P3Z91,London Stock Exchange,Reino Unido,USD,GBP,0.75
NAB,NATIONAL AUSTRALIA BANK LTD,Equity,0.35,17.70,"12,940,756.00","229,060,096.80","229,060,096.80",Financieros,6624608,AU000000NAB4,Asx - All Markets,Australia,USD,AUD,1.42
INGA,ING GROEP NV,Equity,0.35,12.36,"18,433,247.00","227,757,854.30","227,757,854.30",Financieros,BZ57390,NL0011821202,Euronext Amsterdam,Holanda,USD,EUR,0.88
BN,DANONE SA,Equity,0.35,77.67,"2,916,870.00","226,562,683.76","226,562,683.76",Productos básicos de consumo,B1Y9TB3,FR0000120644,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
UBSG,UBS GROUP AG,Equity,0.35,12.31,"18,338,823.00","225,663,649.04","225,663,649.04",Financieros,BRJL176,CH0244767585,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
8316,SUMITOMO MITSUI FINANCIAL GROUP IN,Equity,0.34,35.09,"6,302,200.00","221,129,824.56","221,129,824.56",Financieros,6563024,JP3890350006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
GLEN,GLENCORE PLC,Equity,0.34,4.07,"53,943,296.00","219,436,945.24","219,436,945.24",Materiales,B4T3BW6,JE00B4T3BW64,London Stock Exchange,Reino Unido,USD,GBP,0.75
ENI,ENI,Equity,0.32,17.57,"12,037,125.00","211,431,283.30","211,431,283.30",Energía,7145056,IT0003132476,Borsa Italiana,Italia,USD,EUR,0.88
SAF,SAFRAN SA,Equity,0.32,132.72,"1,578,493.00","209,489,430.15","209,489,430.15",Industriales,B058TZ6,FR0000073272,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
7267,HONDA MOTOR LTD,Equity,0.32,27.06,"7,683,300.00","207,900,249.73","207,900,249.73",Consumo discrecional,6435145,JP3854600008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
REL,RELX PLC,Equity,0.32,22.19,"9,320,920.00","206,824,238.09","206,824,238.09",Industriales,B2B0DG9,GB00B2B0DG97,London Stock Exchange,Reino Unido,USD,GBP,0.75
SU,SCHNEIDER ELECTRIC,Equity,0.31,78.93,"2,591,277.00","204,524,360.29","204,524,360.29",Industriales,4834108,FR0000121972,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ADS,ADIDAS N AG,Equity,0.31,239.20,"854,428.00","204,381,928.86","204,381,928.86",Consumo discrecional,4031976,DE000A1EWWW0,Xetra,Alemania,USD,EUR,0.88
388,HONG KONG EXCHANGES AND CLEARING L,Equity,0.31,34.70,"5,834,600.00","202,465,625.90","202,465,625.90",Financieros,6267359,HK0388045442,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
KER,KERING SA,Equity,0.31,559.12,"358,159.00","200,254,064.23","200,254,064.23",Consumo discrecional,5505072,FR0000121485,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
TEF,TELEFONICA SA,Equity,0.29,8.60,"22,169,914.00","190,696,600.35","190,696,600.35",Comunicación,5732524,ES0178430E18,Bolsa De Madrid,España,USD,EUR,0.88
9433,KDDI CORP,Equity,0.29,22.70,"8,363,200.00","189,841,346.22","189,841,346.22",Comunicación,6248990,JP3496400007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA,Equity,0.29,5.97,"31,537,950.00","188,314,263.20","188,314,263.20",Financieros,5501906,ES0113211835,Bolsa De Madrid,España,USD,EUR,0.88
NG.,NATIONAL GRID PLC,Equity,0.29,11.60,"16,060,038.00","186,339,810.93","186,339,810.93",Servicios,BDR05C0,GB00BDR05C01,London Stock Exchange,Reino Unido,USD,GBP,0.75
4452,KAO CORP,Equity,0.28,76.75,"2,353,400.00","180,612,706.77","180,612,706.77",Productos básicos de consumo,6483809,JP3205800000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
RI,PERNOD RICARD SA,Equity,0.28,178.05,"1,005,078.00","178,949,991.95","178,949,991.95",Productos básicos de consumo,4682329,FR0000120693,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Equity,0.27,71.86,"2,476,557.00","177,965,935.85","177,965,935.85",Consumo discrecional,BCRWZ18,CH0210483332,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
8058,MITSUBISHI CORP,Equity,0.27,28.01,"6,351,100.00","177,878,552.63","177,878,552.63",Industriales,6596785,JP3898400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
PHIA,KONINKLIJKE PHILIPS NV,Equity,0.27,40.41,"4,389,369.00","177,365,338.34","177,365,338.34",Cuidado de la Salud,5986622,NL0000009538,Euronext Amsterdam,Holanda,USD,EUR,0.88
8411,MIZUHO FINANCIAL GROUP INC,Equity,0.27,1.53,"115,587,660.00","177,023,349.68","177,023,349.68",Financieros,6591014,JP3885780001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
BARC,BARCLAYS PLC,Equity,0.27,2.19,"80,765,531.00","176,991,954.29","176,991,954.29",Financieros,3134865,GB0031348658,London Stock Exchange,Reino Unido,USD,GBP,0.75
ISP,INTESA SANPAOLO,Equity,0.27,2.45,"70,348,316.00","172,569,800.79","172,569,800.79",Financieros,4076836,IT0000072618,Borsa Italiana,Italia,USD,EUR,0.88
CPG,COMPASS GROUP PLC,Equity,0.26,22.99,"7,477,658.00","171,883,177.87","171,883,177.87",Consumo discrecional,BD6K457,GB00BD6K4575,London Stock Exchange,Reino Unido,USD,GBP,0.75
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Equity,0.26,239.09,"710,602.00","169,897,956.54","169,897,956.54",Financieros,5294121,DE0008430026,Xetra,Alemania,USD,EUR,0.88
ABBN,ABB LTD,Equity,0.26,19.14,"8,724,537.00","167,029,564.95","167,029,564.95",Industriales,7108899,CH0012221716,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
NOKIA,NOKIA,Equity,0.25,6.18,"26,684,629.00","164,945,713.25","164,945,713.25",Tecnología de la Información,5902941,FI0009000681,Nasdaq Omx Helsinki Ltd.,Finlandia,USD,EUR,0.88
EL,ESSILORLUXOTTICA SA,Equity,0.25,119.66,"1,358,096.00","162,507,231.12","162,507,231.12",Consumo discrecional,7212477,FR0000121667,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
DPW,DEUTSCHE POST AG,Equity,0.24,33.09,"4,689,978.00","155,183,265.39","155,183,265.39",Industriales,4617859,DE0005552004,Xetra,Alemania,USD,EUR,0.88
D05,DBS GROUP HOLDINGS LTD,Equity,0.24,18.51,"8,378,000.00","155,090,935.91","155,090,935.91",Financieros,6175203,SG1L01001701,Singapore Exchange,Singapur,USD,SGD,1.36
6954,FANUC CORP,Equity,0.24,166.76,"924,100.00","154,099,382.38","154,099,382.38",Industriales,6356934,JP3802400006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
IMB,IMPERIAL BRANDS PLC,Equity,0.24,34.15,"4,509,997.00","154,019,071.98","154,019,071.98",Productos básicos de consumo,0454492,GB0004544929,London Stock Exchange,Reino Unido,USD,GBP,0.75
AMS,AMADEUS IT GROUP SA,Equity,0.24,74.04,"2,077,651.00","153,838,577.53","153,838,577.53",Tecnología de la Información,B3MSM28,ES0109067019,Bolsa De Madrid,España,USD,EUR,0.88
9022,CENTRAL JAPAN RAILWAY,Equity,0.23,224.98,"672,400.00","151,277,962.76","151,277,962.76",Industriales,6183552,JP3566800003,Tokyo Stock Exchange,Japón,USD,JPY,111.72
NXPI,NXP SEMICONDUCTORS NV,Equity,0.23,92.85,"1,627,153.00","151,081,156.05","151,081,156.05",Tecnología de la Información,B505PN7,NL0009538784,NASDAQ,Holanda,USD,USD,1.00
ORA,ORANGE SA,Equity,0.23,15.58,"9,424,535.00","146,864,915.67","146,864,915.67",Comunicación,5176177,FR0000133308,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Equity,0.23,28.34,"5,165,917.00","146,404,058.58","146,404,058.58",Consumo discrecional,BP9DL90,ES0148396007,Bolsa De Madrid,España,USD,EUR,0.88
CSGN,CREDIT SUISSE GROUP AG,Equity,0.22,12.06,"12,140,648.00","146,371,892.36","146,371,892.36",Financieros,7171589,CH0012138530,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
7974,NINTENDO LTD,Equity,0.22,271.03,"536,600.00","145,437,235.95","145,437,235.95",Comunicación,6639550,JP3756600007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
3382,SEVEN & I HOLDINGS LTD,Equity,0.22,41.00,"3,531,480.00","144,774,242.75","144,774,242.75",Productos básicos de consumo,B0FS5D6,JP3422950000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
VIV,VIVENDI SA,Equity,0.22,29.31,"4,929,229.00","144,488,362.71","144,488,362.71",Comunicación,4834777,FR0000127771,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Equity,0.22,162.97,"881,029.00","143,577,483.04","143,577,483.04",Consumo discrecional,5497168,DE0007664039,Xetra,Alemania,USD,EUR,0.88
AD,KONINKLIJKE AHOLD DELHAIZE NV,Equity,0.22,25.50,"5,612,174.00","143,127,004.14","143,127,004.14",Productos básicos de consumo,BD0Q398,NL0011794037,Euronext Amsterdam,Holanda,USD,EUR,0.88
6098,RECRUIT HOLDINGS LTD,Equity,0.22,27.45,"5,211,400.00","143,066,271.03","143,066,271.03",Industriales,BQRRZ00,JP3970300004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
SREN,SWISS RE AG,Equity,0.22,98.64,"1,449,387.00","142,969,051.68","142,969,051.68",Financieros,B545MG5,CH0126881561,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
9437,NTT DOCOMO INC,Equity,0.22,22.28,"6,333,617.00","141,134,438.97","141,134,438.97",Comunicación,6129277,JP3165650007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
8766,TOKIO MARINE HOLDINGS INC,Equity,0.22,46.44,"3,031,600.00","140,779,992.84","140,779,992.84",Financieros,6513126,JP3910660004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
TSCO,TESCO PLC,Equity,0.22,3.03,"46,324,382.00","140,479,100.70","140,479,100.70",Productos básicos de consumo,0884709,GB0008847096,London Stock Exchange,Reino Unido,USD,GBP,0.75
9020,EAST JAPAN RAILWAY,Equity,0.22,95.33,"1,470,300.00","140,160,177.23","140,160,177.23",Industriales,6298542,JP3783600004,Tokyo Stock Exchange,Japón,USD,JPY,111.72
MQG,MACQUARIE GROUP LTD DEF,Equity,0.21,89.48,"1,548,845.00","138,587,113.81","138,587,113.81",Financieros,B28YTC2,AU000000MQG1,Asx - All Markets,Australia,USD,AUD,1.42
ERIC B,ERICSSON B,Equity,0.21,9.49,"14,537,088.00","137,897,035.47","137,897,035.47",Tecnología de la Información,5959378,SE0000108656,Nasdaq Omx Nordic,Suecia,USD,SEK,9.31
6501,HITACHI LTD,Equity,0.21,30.20,"4,538,700.00","137,071,015.04","137,071,015.04",Tecnología de la Información,6429104,JP3788600009,Tokyo Stock Exchange,Japón,USD,JPY,111.72
4503,ASTELLAS PHARMA INC,Equity,0.21,15.44,"8,862,750.00","136,804,622.05","136,804,622.05",Cuidado de la Salud,6985383,JP3942400007,Tokyo Stock Exchange,Japón,USD,JPY,111.72
4063,SHIN ETSU CHEMICAL LTD,Equity,0.21,79.89,"1,697,000.00","135,568,609.02","135,568,609.02",Materiales,6804585,JP3371200001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
9983,FAST RETAILING LTD,Equity,0.21,480.76,"281,300.00","135,236,510.92","135,236,510.92",Consumo discrecional,6332439,JP3802300008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
WOW,WOOLWORTHS GROUP LTD,Equity,0.21,21.34,"6,256,558.00","133,539,295.12","133,539,295.12",Productos básicos de consumo,6981239,AU000000WOW2,Asx - All Markets,Australia,USD,AUD,1.42
7751,CANON INC,Equity,0.20,28.49,"4,668,600.00","133,012,475.83","133,012,475.83",Tecnología de la Información,6172323,JP3242800005,Tokyo Stock Exchange,Japón,USD,JPY,111.72
BMW,BMW AG,Equity,0.20,83.40,"1,587,416.00","132,397,798.10","132,397,798.10",Consumo discrecional,5756029,DE0005190003,Xetra,Alemania,USD,EUR,0.88
WES,WESFARMERS LTD,Equity,0.20,24.30,"5,354,679.00","130,092,892.82","130,092,892.82",Consumo discrecional,6948836,AU000000WES1,Asx - All Markets,Australia,USD,AUD,1.42
9432,NIPPON TELEGRAPH AND TELEPHONE COR,Equity,0.20,42.67,"3,048,900.00","130,094,041.35","130,094,041.35",Comunicación,6641373,JP3735400008,Tokyo Stock Exchange,Japón,USD,JPY,111.72
1,CK HUTCHISON HOLDINGS LTD,Equity,0.20,10.23,"12,714,684.00","130,063,137.37","130,063,137.37",Industriales,BW9P816,KYG217651051,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
ENGI,ENGIE SA,Equity,0.20,15.04,"8,632,480.00","129,789,207.31","129,789,207.31",Servicios,B0C2CQ3,FR0010208488,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
6367,DAIKIN INDUSTRIES LTD,Equity,0.20,110.28,"1,176,700.00","129,761,403.51","129,761,403.51",Industriales,6250724,JP3481800005,Tokyo Stock Exchange,Japón,USD,JPY,111.72
2914,JAPAN TOBACCO INC,Equity,0.20,25.04,"5,171,500.00","129,472,659.33","129,472,659.33",Productos básicos de consumo,6474535,JP3726800000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
NDA SE,NORDEA BANK,Equity,0.20,9.00,"14,359,175.00","129,195,424.19","129,195,424.19",Financieros,BYZF9J9,FI4000297767,Nasdaq Omx Nordic,Suecia,USD,SEK,9.31
AAL,ANGLO AMERICAN PLC,Equity,0.20,25.81,"4,984,640.00","128,661,162.97","128,661,162.97",Materiales,B1XZS82,GB00B1XZS820,London Stock Exchange,Reino Unido,USD,GBP,0.75
HEIA,HEINEKEN NV,Equity,0.20,103.98,"1,231,891.00","128,090,536.82","128,090,536.82",Productos básicos de consumo,7792559,NL0000009165,Euronext Amsterdam,Holanda,USD,EUR,0.88
UCG,UNICREDIT,Equity,0.19,13.26,"9,489,395.00","125,809,616.98","125,809,616.98",Financieros,BYMXPS7,IT0005239360,Borsa Italiana,Italia,USD,EUR,0.88
EQNR,EQUINOR,Equity,0.19,22.59,"5,544,155.00","125,245,827.61","125,245,827.61",Energía,7133608,NO0010096985,Oslo Bors Asa,Noruega,USD,NOK,8.58
O39,OVERSEA-CHINESE BANKING LTD,Equity,0.19,8.14,"15,300,698.00","124,581,241.92","124,581,241.92",Financieros,B0F9V20,SG1S04926220,Singapore Exchange,Singapur,USD,SGD,1.36
16,SUN HUNG KAI PROPERTIES LTD,Equity,0.19,16.46,"7,528,500.00","123,909,349.74","123,909,349.74",Bienes Raíces,6859927,HK0016000132,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
