26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech-Software Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$2,715,549,165.94",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),90.00,,,,,,,,,,,,,,
Share,"12,950,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
LOGM,LOGMEIN INC,Equity,0.38,81.38,"127,927.00","10,410,699.26","10,410,699.26",Information Technology,B600J15,US54142L1098,NASDAQ,United States,USD,USD,1.00
JCOM,J2 GLOBAL INC,Equity,0.37,85.73,"116,570.00","9,993,546.10","9,993,546.10",Information Technology,B75DGJ3,US48123V1026,NASDAQ,United States,USD,USD,1.00
TWOU,2U INC,Equity,0.37,68.25,"145,779.00","9,949,416.75","9,949,416.75",Information Technology,BKWBZZ0,US90214J1016,NASDAQ,United States,USD,USD,1.00
ACIW,ACI WORLDWIDE INC,Equity,0.35,32.62,"292,357.00","9,536,685.34","9,536,685.34",Information Technology,2889155,US0044981019,NASDAQ,United States,USD,USD,1.00
BLKB,BLACKBAUD INC,Equity,0.35,77.98,"122,248.00","9,532,899.04","9,532,899.04",Information Technology,2458878,US09227Q1004,NASDAQ,United States,USD,USD,1.00
MANH,MANHATTAN ASSOCIATES INC,Equity,0.33,55.19,"163,709.00","9,035,099.71","9,035,099.71",Information Technology,2239471,US5627501092,NASDAQ,United States,USD,USD,1.00
ELLI,ELLIE MAE INC,Equity,0.32,98.62,"88,009.00","8,679,447.58","8,679,447.58",Information Technology,B532X75,US28849P1003,New York Stock Exchange Inc.,United States,USD,USD,1.00
VRNT,VERINT SYSTEMS INC,Equity,0.31,51.70,"164,422.00","8,500,617.40","8,500,617.40",Information Technology,2849193,US92343X1000,NASDAQ,United States,USD,USD,1.00
FEYE,FIREEYE INC,Equity,0.30,16.66,"496,304.00","8,268,424.64","8,268,424.64",Information Technology,BD4R405,US31816Q1013,NASDAQ,United States,USD,USD,1.00
FIVN,FIVE9 INC,Equity,0.29,54.00,"148,082.00","7,996,428.00","7,996,428.00",Information Technology,BKY7X18,US3383071012,NASDAQ,United States,USD,USD,1.00
ENV,ENVESTNET INC,Equity,0.29,64.60,"121,382.00","7,841,277.20","7,841,277.20",Information Technology,B474ZK7,US29404K1060,New York Stock Exchange Inc.,United States,USD,USD,1.00
NTNX,NUTANIX INC CLASS A,Equity,0.29,40.13,"194,910.00","7,821,738.30","7,821,738.30",Information Technology,BYQBFT8,US67059N1081,NASDAQ,United States,USD,USD,1.00
CSOD,CORNERSTONE ONDEMAND INC,Equity,0.27,54.77,"134,493.00","7,366,181.61","7,366,181.61",Information Technology,B404719,US21925Y1038,NASDAQ,United States,USD,USD,1.00
QLYS,QUALYS INC,Equity,0.26,83.49,"85,403.00","7,130,296.47","7,130,296.47",Information Technology,B7XJTN8,US74758T3032,NASDAQ,United States,USD,USD,1.00
PCTY,PAYLOCITY HOLDING CORP,Equity,0.26,88.33,"80,082.00","7,073,643.06","7,073,643.06",Information Technology,BKM4N88,US70438V1061,NASDAQ,United States,USD,USD,1.00
BOX,BOX INC CLASS A,Equity,0.26,19.21,"361,712.00","6,948,487.52","6,948,487.52",Information Technology,BVB3BV2,US10316T1043,New York Stock Exchange Inc.,United States,USD,USD,1.00
DSGX,DESCARTES SYSTEMS GROUP INC,Equity,0.25,34.89,"194,683.00","6,792,489.87","6,792,489.87",Information Technology,2528834,CA2499061083,NASDAQ,Canada,USD,USD,1.00
QTWO,Q2 HOLDINGS INC,Equity,0.24,69.59,"93,504.00","6,506,943.36","6,506,943.36",Information Technology,BKM4KV0,US74736L1098,New York Stock Exchange Inc.,United States,USD,USD,1.00
CVLT,COMMVAULT SYSTEMS INC,Equity,0.23,64.85,"97,328.00","6,311,720.80","6,311,720.80",Information Technology,B142B38,US2041661024,NASDAQ,United States,USD,USD,1.00
AYX,ALTERYX INC CLASS A,Equity,0.23,81.48,"75,999.00","6,192,398.52","6,192,398.52",Information Technology,BYWMQJ2,US02156B1035,New York Stock Exchange Inc.,United States,USD,USD,1.00
CLDR,CLOUDERA INC,Equity,0.22,10.95,"555,836.00","6,086,404.20","6,086,404.20",Information Technology,BYQHPY1,US18914U1007,New York Stock Exchange Inc.,United States,USD,USD,1.00
PEGA,PEGASYSTEMS INC,Equity,0.22,64.62,"93,123.00","6,017,608.26","6,017,608.26",Information Technology,2675860,US7055731035,NASDAQ,United States,USD,USD,1.00
ALRM,ALARM.COM HOLDINGS INC,Equity,0.21,62.72,"88,918.00","5,576,936.96","5,576,936.96",Information Technology,BYN7H26,US0116421050,NASDAQ,United States,USD,USD,1.00
BL,BLACKLINE INC,Equity,0.20,46.81,"117,476.00","5,499,051.56","5,499,051.56",Information Technology,BD3WZS6,US09239B1098,NASDAQ,United States,USD,USD,1.00
RPD,RAPID7 INC,Equity,0.20,51.60,"104,112.00","5,372,179.20","5,372,179.20",Information Technology,BZ22CY6,US7534221046,NASDAQ,United States,USD,USD,1.00
EVBG,EVERBRIDGE INC,Equity,0.20,73.87,"72,664.00","5,367,689.68","5,367,689.68",Information Technology,BYY5ZB4,US29978A1043,NASDAQ,United States,USD,USD,1.00
DBX,DROPBOX INC CLASS A,Equity,0.19,21.96,"233,680.00","5,131,612.80","5,131,612.80",Information Technology,BG0T321,US26210C1045,NASDAQ,United States,USD,USD,1.00
EGHT,8X8 INC,Equity,0.18,20.59,"242,074.00","4,984,303.66","4,984,303.66",Information Technology,2037170,US2829141009,New York Stock Exchange Inc.,United States,USD,USD,1.00
SPSC,SPS COMMERCE INC,Equity,0.18,107.12,"44,960.00","4,816,115.20","4,816,115.20",Information Technology,B57VWJ3,US78463M1071,NASDAQ,United States,USD,USD,1.00
SAIL,SAILPOINT TECHNOLOGIES HOLDINGS IN,Equity,0.17,28.75,"164,427.00","4,727,276.25","4,727,276.25",Information Technology,BD390V5,US78781P1057,New York Stock Exchange Inc.,United States,USD,USD,1.00
CDAY,CERIDIAN HCM HOLDING INC,Equity,0.17,50.14,"91,994.00","4,612,579.16","4,612,579.16",Information Technology,BFX1V56,US15677J1088,New York Stock Exchange Inc.,United States,USD,USD,1.00
VRNS,VARONIS SYSTEMS INC,Equity,0.17,61.52,"74,922.00","4,609,201.44","4,609,201.44",Information Technology,BJZ2ZR5,US9222801022,NASDAQ,United States,USD,USD,1.00
PS,PLURALSIGHT INC CLASS A,Equity,0.17,31.69,"143,429.00","4,545,265.01","4,545,265.01",Information Technology,BFZCT75,US72941B1061,NASDAQ,United States,USD,USD,1.00
PRGS,PROGRESS SOFTWARE CORP,Equity,0.16,37.13,"114,509.00","4,251,719.17","4,251,719.17",Information Technology,2705198,US7433121008,NASDAQ,United States,USD,USD,1.00
INST,INSTRUCTURE INC,Equity,0.14,45.83,"80,969.00","3,710,809.27","3,710,809.27",Information Technology,BYZGBP2,US45781U1034,New York Stock Exchange Inc.,United States,USD,USD,1.00
