14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Growth ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 42,473,905,308.13",,,,,,,,,,
Number of Securities,544.00,,,,,,,,,,
Share,"283,100,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.29,124.01,"1,000,702.00","124,097,055.02","124,097,055.02",Bienes Raíces,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
AMAT,APPLIED MATERIAL INC,Equity,0.29,38.93,"3,149,297.00","122,602,132.21","122,602,132.21",Tecnología de la Información,2046552,US0382221051,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.29,1.00,"120,993,524.00","120,993,524.39","120,993,524.39",Liquidez,--,US0669224778,--
EW,EDWARDS LIFESCIENCES CORP,Equity,0.28,178.02,"672,846.00","119,780,044.92","119,780,044.92",Cuidado de la Salud,2567116,US28176E1082,New York Stock Exchange Inc.
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.28,70.93,"1,687,326.00","119,682,033.18","119,682,033.18",Tecnología de la Información,2257019,US1924461023,NASDAQ
WM,WASTE MANAGEMENT INC,Equity,0.28,101.16,"1,158,621.00","117,206,100.36","117,206,100.36",Industriales,2937667,US94106L1098,New York Stock Exchange Inc.
HUM,HUMANA INC,Equity,0.28,279.82,"418,528.00","117,112,504.96","117,112,504.96",Cuidado de la Salud,2445063,US4448591028,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,0.28,440.48,"264,465.00","116,491,543.20","116,491,543.20",Bienes Raíces,BVLZX12,US29444U7000,NASDAQ
KMB,KIMBERLY CLARK CORP,Equity,0.27,118.45,"971,558.00","115,081,045.10","115,081,045.10",Productos básicos de consumo,2491839,US4943681035,New York Stock Exchange Inc.
SHW,SHERWIN WILLIAMS,Equity,0.27,428.82,"266,962.00","114,478,644.84","114,478,644.84",Materiales,2804211,US8243481061,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.26,159.99,"685,656.00","109,698,103.44","109,698,103.44",Productos básicos de consumo,2320524,US5184391044,New York Stock Exchange Inc.
FISV,FISERV INC,Equity,0.26,85.50,"1,277,390.00","109,216,845.00","109,216,845.00",Tecnología de la Información,2342034,US3377381088,NASDAQ
MU,MICRON TECHNOLOGY INC,Equity,0.26,38.41,"2,842,160.00","109,167,365.60","109,167,365.60",Tecnología de la Información,2588184,US5951121038,NASDAQ
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,0.26,119.62,"906,558.00","108,442,467.96","108,442,467.96",Consumo discrecional,2210614,US5719032022,NASDAQ
ATVI,ACTIVISION BLIZZARD INC,Equity,0.25,43.32,"2,405,547.00","104,208,296.04","104,208,296.04",Comunicación,2575818,US00507V1098,NASDAQ
ROST,ROSS STORES INC,Equity,0.25,89.24,"1,166,351.00","104,085,163.24","104,085,163.24",Consumo discrecional,2746711,US7782961038,NASDAQ
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.25,407.50,"254,441.00","103,684,707.50","103,684,707.50",Cuidado de la Salud,2730190,US75886F1075,NASDAQ
PSA,PUBLIC STORAGE REIT,Equity,0.25,218.57,"473,837.00","103,566,553.09","103,566,553.09",Bienes Raíces,2852533,US74460D1090,New York Stock Exchange Inc.
RHT,RED HAT INC,Equity,0.24,181.67,"566,433.00","102,903,883.11","102,903,883.11",Tecnología de la Información,2447218,US7565771026,New York Stock Exchange Inc.
SYY,SYSCO CORP,Equity,0.24,66.12,"1,521,158.00","100,578,966.96","100,578,966.96",Productos básicos de consumo,2868165,US8718291078,New York Stock Exchange Inc.
XLNX,XILINX INC,Equity,0.24,122.48,"815,950.00","99,937,556.00","99,937,556.00",Tecnología de la Información,2985677,US9839191015,NASDAQ
EMR,EMERSON ELECTRIC,Equity,0.23,67.48,"1,423,290.00","96,043,609.20","96,043,609.20",Industriales,2313405,US2910111044,New York Stock Exchange Inc.
DG,DOLLAR GENERAL CORP,Equity,0.22,111.64,"848,952.00","94,777,001.28","94,777,001.28",Consumo discrecional,B5B1S13,US2566771059,New York Stock Exchange Inc.
EA,ELECTRONIC ARTS INC,Equity,0.22,98.83,"947,283.00","93,619,978.89","93,619,978.89",Comunicación,2310194,US2855121099,NASDAQ
MCO,MOODYS CORP,Equity,0.22,174.98,"532,512.00","93,178,949.76","93,178,949.76",Financieros,2252058,US6153691059,New York Stock Exchange Inc.
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.22,368.16,"252,281.00","92,879,772.96","92,879,772.96",Consumo discrecional,B65LWX6,US67103H1077,NASDAQ
ADSK,AUTODESK INC,Equity,0.21,153.15,"588,598.00","90,143,783.70","90,143,783.70",Tecnología de la Información,2065159,US0527691069,NASDAQ
APH,AMPHENOL CORP CLASS A,Equity,0.21,94.32,"942,775.00","88,922,538.00","88,922,538.00",Tecnología de la Información,2145084,US0320951017,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.21,182.74,"481,614.00","88,010,142.36","88,010,142.36",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.21,73.00,"1,203,620.00","87,864,260.00","87,864,260.00",Industriales,2160753,US1264081035,NASDAQ
LRCX,LAM RESEARCH CORP,Equity,0.21,176.53,"495,355.00","87,445,018.15","87,445,018.15",Tecnología de la Información,2502247,US5128071082,NASDAQ
WDAY,WORKDAY INC CLASS A,Equity,0.21,187.04,"464,001.00","86,786,747.04","86,786,747.04",Tecnología de la Información,B8K6ZD1,US98138H1014,NASDAQ
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.20,170.61,"495,434.00","84,525,994.74","84,525,994.74",Productos básicos de consumo,2170473,US21036P1084,New York Stock Exchange Inc.
HCA,HCA HEALTHCARE INC,Equity,0.19,131.77,"621,519.00","81,897,558.63","81,897,558.63",Cuidado de la Salud,B4MGBG6,US40412C1018,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,0.19,78.99,"1,028,949.00","81,276,681.51","81,276,681.51",Tecnología de la Información,2674458,US7043261079,NASDAQ
HAL,HALLIBURTON,Equity,0.19,28.47,"2,788,529.00","79,389,420.63","79,389,420.63",Energía,2405302,US4062161017,New York Stock Exchange Inc.
ALXN,ALEXION PHARMACEUTICALS INC,Equity,0.18,134.88,"570,002.00","76,881,869.76","76,881,869.76",Cuidado de la Salud,2036070,US0153511094,NASDAQ
MNST,MONSTER BEVERAGE CORP,Equity,0.18,59.67,"1,276,283.00","76,155,806.61","76,155,806.61",Productos básicos de consumo,BZ07BW4,US61174X1090,NASDAQ
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,0.18,85.00,"895,326.00","76,102,710.00","76,102,710.00",Consumo discrecional,BYVMW06,US43300A2033,New York Stock Exchange Inc.
SQ,SQUARE INC CLASS A,Equity,0.17,77.38,"933,567.00","72,239,414.46","72,239,414.46",Tecnología de la Información,BYNZGK1,US8522341036,New York Stock Exchange Inc.
FTV,FORTIVE CORP,Equity,0.17,82.64,"862,577.00","71,283,363.28","71,283,363.28",Industriales,BYT3MK1,US34959J1088,New York Stock Exchange Inc.
TWTR,TWITTER INC,Equity,0.17,31.03,"2,284,808.00","70,897,592.24","70,897,592.24",Comunicación,BFLR866,US90184L1026,New York Stock Exchange Inc.
