14-mar-2019,,,,,,,,,,,,,,,
iShares MSCI ACWI ETF,,,,,,,,,,,,,,,
Inception Date,26-mar-2008,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 10,132,504,573.17",,,,,,,,,,,,,,
Number of Securities,"1,376.00",,,,,,,,,,,,,,
Share,"140,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
MCD,MCDONALDS CORP,Equity,0.32,182.74,"176,000.00","32,162,240.00","32,162,240.00",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
7203,TOYOTA MOTOR CORP,Equity,0.32,58.57,"548,200.00","32,105,913.00","32,105,913.00",Consumo discrecional,6900643,JP3633400001,Tokyo Stock Exchange,Japón,USD,JPY,111.72
WMT,WALMART INC,Equity,0.31,98.22,"319,616.00","31,392,683.52","31,392,683.52",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ABT,ABBOTT LABORATORIES,Equity,0.31,78.98,"391,664.00","30,933,622.72","30,933,622.72",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
FP,TOTAL SA,Equity,0.30,58.16,"521,986.00","30,359,568.34","30,359,568.34",Energía,B15C557,FR0000120271,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.30,89.79,"337,216.00","30,278,624.64","30,278,624.64",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ADBE,ADOBE INC,Equity,0.30,267.69,"112,872.00","30,214,705.68","30,214,705.68",Tecnología de la Información,2008154,US00724F1012,NASDAQ,Estados Unidos,USD,USD,1.00
BP.,BP PLC,Equity,0.30,7.30,"4,074,752.00","29,763,299.46","29,763,299.46",Energía,0798059,GB0007980591,London Stock Exchange,Reino Unido,USD,GBP,0.75
RDSB,ROYAL DUTCH SHELL PLC CLASS B,Equity,0.29,31.75,"930,688.00","29,545,965.60","29,545,965.60",Energía,B03MM40,GB00B03MM408,London Stock Exchange,Reino Unido,USD,GBP,0.75
AMGN,AMGEN INC,Equity,0.29,187.76,"156,992.00","29,476,817.92","29,476,817.92",Cuidado de la Salud,2023607,US0311621009,NASDAQ,Estados Unidos,USD,USD,1.00
UNP,UNION PACIFIC CORP,Equity,0.29,165.17,"174,592.00","28,837,360.64","28,837,360.64",Industriales,2914734,US9078181081,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
MMM,3M,Equity,0.28,207.38,"137,984.00","28,615,121.92","28,615,121.92",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
MDT,MEDTRONIC PLC,Equity,0.28,93.33,"304,516.00","28,420,478.28","28,420,478.28",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.27,138.79,"199,358.00","27,668,896.82","27,668,896.82",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
LLY,ELI LILLY,Equity,0.27,123.08,"222,348.00","27,366,591.84","27,366,591.84",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ABBV,ABBVIE INC,Equity,0.27,79.95,"340,114.00","27,192,114.30","27,192,114.30",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
DWDP,DOWDUPONT INC,Equity,0.27,55.03,"491,648.00","27,055,389.44","27,055,389.44",Materiales,BYP66M4,US26078J1007,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
1299,AIA GROUP LTD,Equity,0.26,10.03,"2,632,000.00","26,403,989.83","26,403,989.83",Financieros,B4TX8S1,HK0000069689,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.85
RDSA,ROYAL DUTCH SHELL PLC,Equity,0.26,31.56,"832,631.00","26,278,174.07","26,278,174.07",Energía,B03MLX2,GB00B03MLX29,London Stock Exchange,Reino Unido,USD,GBP,0.75
CRM,SALESFORCE.COM INC,Equity,0.26,160.67,"161,216.00","25,902,574.72","25,902,574.72",Tecnología de la Información,2310525,US79466L3024,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
AVGO,BROADCOM INC,Equity,0.26,268.20,"96,448.00","25,867,353.60","25,867,353.60",Tecnología de la Información,BDZ78H9,US11135F1012,NASDAQ,Estados Unidos,USD,USD,1.00
PYPL,PAYPAL HOLDINGS INC,Equity,0.26,99.03,"260,873.00","25,834,253.19","25,834,253.19",Tecnología de la Información,BYW36M8,US70450Y1038,NASDAQ,Estados Unidos,USD,USD,1.00
HON,HONEYWELL INTERNATIONAL INC,Equity,0.26,155.25,"166,276.00","25,814,349.00","25,814,349.00",Industriales,2020459,US4385161066,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.26,261.43,"98,560.00","25,766,540.80","25,766,540.80",Cuidado de la Salud,2886907,US8835561023,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ACN,ACCENTURE PLC CLASS A,Equity,0.25,164.82,"153,472.00","25,295,255.04","25,295,255.04",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
NKE,NIKE INC CLASS B,Equity,0.24,86.87,"282,180.00","24,512,976.60","24,512,976.60",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
AZN,ASTRAZENECA PLC,Equity,0.24,83.80,"285,670.00","23,939,845.03","23,939,845.03",Cuidado de la Salud,0989529,GB0009895292,London Stock Exchange,Reino Unido,USD,GBP,0.75
MO,ALTRIA GROUP INC,Equity,0.24,56.40,"423,808.00","23,902,771.20","23,902,771.20",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
TXN,TEXAS INSTRUMENT INC,Equity,0.23,107.10,"220,884.00","23,656,676.40","23,656,676.40",Tecnología de la Información,2885409,US8825081040,NASDAQ,Estados Unidos,USD,USD,1.00
MC,LVMH,Equity,0.23,356.77,"64,868.00","23,142,957.66","23,142,957.66",Consumo discrecional,4061412,FR0000121014,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
SAP,SAP,Equity,0.23,109.65,"209,922.00","23,018,713.52","23,018,713.52",Tecnología de la Información,4846288,DE0007164600,Xetra,Alemania,USD,EUR,0.88
RY,ROYAL BANK OF CANADA,Equity,0.23,77.08,"298,496.00","23,008,996.61","23,008,996.61",Financieros,2754383,CA7800871021,Toronto Stock Exchange,Canadá,USD,CAD,1.33
COST,COSTCO WHOLESALE CORP,Equity,0.23,233.84,"98,214.00","22,966,361.76","22,966,361.76",Productos básicos de consumo,2701271,US22160K1051,NASDAQ,Estados Unidos,USD,USD,1.00
TD,TORONTO DOMINION,Equity,0.23,56.35,"402,307.00","22,669,140.63","22,669,140.63",Financieros,2897222,CA8911605092,Toronto Stock Exchange,Canadá,USD,CAD,1.33
SAN,SANOFI SA,Equity,0.22,88.57,"253,664.00","22,467,212.63","22,467,212.63",Cuidado de la Salud,5671735,FR0000120578,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
LIN,LINDE PLC,Equity,0.22,174.21,"128,128.00","22,321,178.88","22,321,178.88",Materiales,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ALV,ALLIANZ,Equity,0.22,225.41,"97,726.00","22,028,586.73","22,028,586.73",Financieros,5231485,DE0008404005,Xetra,Alemania,USD,EUR,0.88
UTX,UNITED TECHNOLOGIES CORP,Equity,0.22,126.89,"172,480.00","21,885,987.20","21,885,987.20",Industriales,2915500,US9130171096,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
GSK,GLAXOSMITHKLINE PLC,Equity,0.21,20.04,"1,076,858.00","21,581,731.58","21,581,731.58",Cuidado de la Salud,0925288,GB0009252882,London Stock Exchange,Reino Unido,USD,GBP,0.75
NPN,NASPERS LTD,Equity,0.21,216.90,"99,264.00","21,530,036.55","21,530,036.55",Consumo discrecional,6622691,ZAE000015889,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
NVDA,NVIDIA CORP,Equity,0.21,165.56,"129,624.00","21,460,549.44","21,460,549.44",Tecnología de la Información,2379504,US67066G1040,NASDAQ,Estados Unidos,USD,USD,1.00
DHR,DANAHER CORP,Equity,0.21,128.11,"164,032.00","21,014,139.52","21,014,139.52",Cuidado de la Salud,2250870,US2358511028,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
SBUX,STARBUCKS CORP,Equity,0.21,70.74,"294,272.00","20,816,801.28","20,816,801.28",Consumo discrecional,2842255,US8552441094,NASDAQ,Estados Unidos,USD,USD,1.00
NEE,NEXTERA ENERGY INC,Equity,0.20,190.98,"106,078.00","20,258,776.44","20,258,776.44",Servicios,2328915,US65339F1012,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
BATS,BRITISH AMERICAN TOBACCO PLC,Equity,0.20,39.83,"507,584.00","20,216,601.46","20,216,601.46",Productos básicos de consumo,0287580,GB0002875804,London Stock Exchange,Reino Unido,USD,GBP,0.75
GE,GENERAL ELECTRIC,Equity,0.20,10.30,"1,927,052.00","19,848,635.60","19,848,635.60",Industriales,2380498,US3696041033,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
USB,US BANCORP,Equity,0.19,51.71,"373,120.00","19,294,035.20","19,294,035.20",Financieros,2736035,US9029733048,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
9984,SOFTBANK GROUP CORP,Equity,0.19,96.63,"199,200.00","19,247,798.07","19,247,798.07",Comunicación,6770620,JP3436100006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.19,51.70,"371,745.00","19,219,216.50","19,219,216.50",Comunicación,BBM4S68,US90130A1016,NASDAQ,Estados Unidos,USD,USD,1.00
DGE,DIAGEO PLC,Equity,0.19,40.53,"472,638.00","19,154,332.24","19,154,332.24",Productos básicos de consumo,0237400,GB0002374006,London Stock Exchange,Reino Unido,USD,GBP,0.75
INTU,INTUIT INC,Equity,0.19,256.77,"73,784.00","18,945,517.68","18,945,517.68",Tecnología de la Información,2459020,US4612021034,NASDAQ,Estados Unidos,USD,USD,1.00
ANTM,ANTHEM INC,Equity,0.19,305.45,"61,952.00","18,923,238.40","18,923,238.40",Cuidado de la Salud,BSPHGL4,US0367521038,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
939,CHINA CONSTRUCTION BANK CORP H,Equity,0.19,0.89,"21,284,260.00","18,898,374.16","18,898,374.16",Financieros,B0LMTQ3,CNE1000002H1,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
LMT,LOCKHEED MARTIN CORP,Equity,0.19,298.51,"62,700.00","18,716,577.00","18,716,577.00",Industriales,2522096,US5398301094,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
BMY,BRISTOL MYERS SQUIBB,Equity,0.18,49.89,"373,120.00","18,614,956.80","18,614,956.80",Cuidado de la Salud,2126335,US1101221083,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
SIE,SIEMENS N AG,Equity,0.18,109.47,"169,308.00","18,534,617.10","18,534,617.10",Industriales,5727973,DE0007236101,Xetra,Alemania,USD,EUR,0.88
LOW,LOWES COMPANIES INC,Equity,0.18,100.81,"183,744.00","18,523,232.64","18,523,232.64",Consumo discrecional,2536763,US5486611073,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
CBA,COMMONWEALTH BANK OF AUSTRALIA,Equity,0.18,51.49,"359,040.00","18,487,769.00","18,487,769.00",Financieros,6215035,AU000000CBA7,Asx - All Markets,Australia,USD,AUD,1.42
NOVO B,NOVO NORDISK CLASS B,Equity,0.18,50.44,"363,968.00","18,359,667.35","18,359,667.35",Cuidado de la Salud,BHC8X90,DK0060534915,Omx Nordic Exchange Copenhagen A/S,Dinamarca,USD,DKK,6.60
AXP,AMERICAN EXPRESS,Equity,0.18,112.35,"161,920.00","18,191,712.00","18,191,712.00",Financieros,2026082,US0258161092,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
GILD,GILEAD SCIENCES INC,Equity,0.18,64.79,"278,094.00","18,017,710.26","18,017,710.26",Cuidado de la Salud,2369174,US3755581036,NASDAQ,Estados Unidos,USD,USD,1.00
BKNG,BOOKING HOLDINGS INC,Equity,0.17,"1,743.88","9,991.00","17,423,105.08","17,423,105.08",Consumo discrecional,BDRXDB4,US09857L1089,NASDAQ,Estados Unidos,USD,USD,1.00
AIR,AIRBUS GROUP,Equity,0.17,132.26,"130,240.00","17,225,887.54","17,225,887.54",Industriales,4012250,NL0000235190,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
ENB,ENBRIDGE INC,Equity,0.17,37.12,"462,528.00","17,170,034.20","17,170,034.20",Energía,2466149,CA29250N1050,Toronto Stock Exchange,Canadá,USD,CAD,1.33
BDX,BECTON DICKINSON,Equity,0.17,252.26,"67,584.00","17,048,739.84","17,048,739.84",Cuidado de la Salud,2087807,US0758871091,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
CAT,CATERPILLAR INC,Equity,0.17,133.69,"126,299.00","16,884,913.31","16,884,913.31",Industriales,2180201,US1491231015,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.17,153.51,"109,824.00","16,859,082.24","16,859,082.24",Tecnología de la Información,2065308,US0530151036,NASDAQ,Estados Unidos,USD,USD,1.00
ASML,ASML HOLDING NV,Equity,0.17,183.31,"91,520.00","16,776,876.41","16,776,876.41",Tecnología de la Información,B929F46,NL0010273215,Euronext Amsterdam,Holanda,USD,EUR,0.88
UNA,UNILEVER DUTCH CERTIFICATES NV,Equity,0.17,56.17,"298,234.00","16,752,418.29","16,752,418.29",Productos básicos de consumo,B12T3J1,NL0000009355,Euronext Amsterdam,Holanda,USD,EUR,0.88
COP,CONOCOPHILLIPS,Equity,0.17,67.02,"248,080.00","16,626,321.60","16,626,321.60",Energía,2685717,US20825C1045,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.16,110.88,"149,248.00","16,548,618.24","16,548,618.24",Industriales,2517382,US9113121068,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
CVS,CVS HEALTH CORP,Equity,0.16,55.88,"293,656.00","16,409,497.28","16,409,497.28",Cuidado de la Salud,2577609,US1266501006,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
AMT,AMERICAN TOWER REIT CORP,Equity,0.16,187.97,"87,296.00","16,409,029.12","16,409,029.12",Bienes Raíces,B7FBFL2,US03027X1000,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
SYK,STRYKER CORP,Equity,0.16,193.35,"84,480.00","16,334,208.00","16,334,208.00",Cuidado de la Salud,2853688,US8636671013,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
ULVR,UNILEVER PLC,Equity,0.16,55.70,"289,344.00","16,115,193.18","16,115,193.18",Productos básicos de consumo,B10RZP7,GB00B10RZP78,London Stock Exchange,Reino Unido,USD,GBP,0.75
SAN,BANCO SANTANDER SA,Equity,0.16,4.86,"3,287,680.00","15,964,474.27","15,964,474.27",Financieros,5705946,ES0113900J37,Bolsa De Madrid,España,USD,EUR,0.88
BAYN,BAYER AG,Equity,0.16,76.63,"207,680.00","15,915,184.12","15,915,184.12",Cuidado de la Salud,5069211,DE000BAY0017,Xetra,Alemania,USD,EUR,0.88
GS,GOLDMAN SACHS GROUP INC,Equity,0.16,197.47,"80,256.00","15,848,152.32","15,848,152.32",Financieros,2407966,US38141G1040,New York Stock Exchange Inc.,Estados Unidos,USD,USD,1.00
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.15,47.35,"328,984.00","15,577,392.40","15,577,392.40",Productos básicos de consumo,B8CKK03,US6092071058,NASDAQ,Estados Unidos,USD,USD,1.00
QCOM,QUALCOMM INC,Equity,0.15,55.40,"280,192.00","15,522,636.80","15,522,636.80",Tecnología de la Información,2714923,US7475251036,NASDAQ,Estados Unidos,USD,USD,1.00
941,CHINA MOBILE LTD,Equity,0.15,10.89,"1,408,000.00","15,335,639.08","15,335,639.08",Comunicación,6073556,HK0941009539,Hong Kong Exchanges And Clearing Ltd,China,USD,HKD,7.85
