14-mar-2019,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 169,001,161,736.76",,,,,,,,,,
Number of Securities,506.00,,,,,,,,,,
Share,"594,350,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
CELG,CELGENE CORP,Equity,0.26,88.29,"4,964,138.00","438,283,744.02","438,283,744.02",Cuidado de la Salud,2182348,US1510201049,NASDAQ
CME,CME GROUP INC CLASS A,Equity,0.25,168.43,"2,536,340.00","427,195,746.20","427,195,746.20",Financieros,2965839,US12572Q1058,NASDAQ
SYK,STRYKER CORP,Equity,0.25,193.35,"2,204,090.00","426,160,801.50","426,160,801.50",Cuidado de la Salud,2853688,US8636671013,New York Stock Exchange Inc.
PNC,PNC FINANCIAL SERVICES GROUP INC,Equity,0.25,129.60,"3,275,754.00","424,537,718.40","424,537,718.40",Financieros,2692665,US6934751057,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.25,43.09,"9,827,915.00","423,484,857.35","423,484,857.35",Energía,2779201,AN8068571086,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.25,76.64,"5,421,221.00","415,482,377.44","415,482,377.44",Servicios,2542049,US25746U1097,New York Stock Exchange Inc.
CSX,CSX CORP,Equity,0.25,73.00,"5,685,328.00","415,028,944.00","415,028,944.00",Industriales,2160753,US1264081035,NASDAQ
CL,COLGATE-PALMOLIVE,Equity,0.24,66.25,"6,158,053.00","407,971,011.25","407,971,011.25",Productos básicos de consumo,2209106,US1941621039,New York Stock Exchange Inc.
MS,MORGAN STANLEY,Equity,0.24,42.69,"9,278,292.00","396,090,285.48","396,090,285.48",Financieros,2262314,US6174464486,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.23,179.79,"2,195,084.00","394,654,152.36","394,654,152.36",Bienes Raíces,2812452,US8288061091,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.23,40.05,"9,820,784.00","393,322,399.20","393,322,399.20",Cuidado de la Salud,2113434,US1011371077,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.23,45.30,"8,517,401.00","385,838,265.30","385,838,265.30",Financieros,2779397,US8085131055,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.23,51.70,"7,386,924.00","381,903,970.80","381,903,970.80",Comunicación,BBM4S68,US90130A1016,NASDAQ
