14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI Emerging Markets ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 59,071,783,669.14",,,,,,,,,,,,,,
Number of Securities,"2,232.00",,,,,,,,,,,,,,
Share,"1,143,600,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
HINDUNILVR,HINDUSTAN UNILEVER LTD,Equity,0.28,25.02,"6,554,265.00","163,997,041.51","163,997,041.51",Productos básicos de consumo,6261674,INE030A01027,National Stock Exchange Of India,India,USD,INR,69.43
SBK,STANDARD BANK GROUP,Equity,0.28,12.83,"12,596,518.00","161,624,162.58","161,624,162.58",Financieros,B030GJ7,ZAE000109815,Johannesburg Stock Exchange,Sudáfrica,USD,ZAR,14.50
035420,NAVER CORP,Equity,0.27,115.45,"1,392,827.00","160,800,508.50","160,800,508.50",Comunicación,6560393,KR7035420009,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
PTT.R,PTT NON-VOTING DR PCL,Equity,0.27,1.51,"103,301,500.00","155,988,108.53","155,988,108.53",Energía,6420408,TH0646010R18,Stock Exchange Of Thailand,Tailandia,USD,THB,31.79
055550,SHINHAN FINANCIAL GROUP LTD,Equity,0.27,38.60,"4,036,886.00","155,825,863.05","155,825,863.05",Financieros,6397502,KR7055550008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
NVTK,PAO NOVATEK GDR,Equity,0.26,169.50,"907,692.00","153,853,794.00","153,853,794.00",Energía,B0DK750,US6698881090,London Stock Exchange,Rusia,USD,USD,1.00
3008,LARGAN PRECISION LTD,Equity,0.26,154.84,"985,000.00","152,521,681.44","152,521,681.44",Tecnología de la Información,6451668,TW0003008009,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
068270,CELLTRION INC,Equity,0.25,181.55,"822,307.00","149,286,368.20","149,286,368.20",Cuidado de la Salud,B0C5YV1,KR7068270008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
051910,LG CHEM LTD,Equity,0.25,326.08,"452,641.00","147,595,990.13","147,595,990.13",Materiales,6346913,KR7051910008,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
BBRI,BANK RAKYAT INDONESIA (PERSERO),Equity,0.25,0.27,"543,256,300.00","147,361,174.81","147,361,174.81",Financieros,6709099,ID1000118201,Indonesia Stock Exchange,Indonesia,USD,IDR,"14,267.00"
YUMC,YUM CHINA HOLDINGS INC,Equity,0.25,41.14,"3,578,598.00","147,223,521.72","147,223,521.72",Consumo discrecional,BYW4289,US98850P1093,New York Stock Exchange Inc.,China,USD,USD,1.00
ITSA4,ITAUSA INVESTIMENTOS ITAU PREF SA,Equity,0.25,3.33,"44,188,977.00","147,169,818.82","147,169,818.82",Financieros,2458771,BRITSAACNPR7,XBSP,Brasil,USD,BRL,3.83
105560,KB FINANCIAL GROUP INC,Equity,0.25,37.59,"3,906,072.00","146,817,635.32","146,817,635.32",Financieros,B3DF0Y6,KR7105560007,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
ITC,ITC LTD,Equity,0.25,4.26,"34,269,491.00","145,848,624.07","145,848,624.07",Productos básicos de consumo,B0JGGP5,INE154A01025,National Stock Exchange Of India,India,USD,INR,69.43
1301,FORMOSA PLASTICS CORP,Equity,0.25,3.37,"43,006,800.00","144,738,437.64","144,738,437.64",Materiales,6348544,TW0001301000,Taiwan Stock Exchange,Taiwán,USD,TWD,30.90
005380,HYUNDAI MOTOR,Equity,0.25,104.87,"1,378,586.00","144,577,186.92","144,577,186.92",Consumo discrecional,6451055,KR7005380001,Korea Exchange (Stock Market),Corea del Sur,USD,KRW,"1,134.70"
