14-mar-2019,,,,,,,,,,,
iShares S&P 500 Growth ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 22,414,923,835.96",,,,,,,,,,
Number of Securities,296.00,,,,,,,,,,
Share,"131,000,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
CI,CIGNA CORP,Equity,0.30,169.56,"388,174.00","65,818,783.44","65,818,783.44",Cuidado de la Salud,BHJ0775,US1255231003,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,0.28,193.35,"326,453.00","63,119,687.55","63,119,687.55",Cuidado de la Salud,2853688,US8636671013,New York Stock Exchange Inc.
HCA,HCA HEALTHCARE INC,Equity,0.28,131.77,"477,815.00","62,961,682.55","62,961,682.55",Cuidado de la Salud,B4MGBG6,US40412C1018,New York Stock Exchange Inc.
FIS,FIDELITY NATIONAL INFORMATION SERV,Equity,0.28,107.78,"583,015.00","62,837,356.70","62,837,356.70",Tecnología de la Información,2769796,US31620M1062,New York Stock Exchange Inc.
BIIB,BIOGEN INC,Equity,0.28,321.52,"193,836.00","62,322,150.72","62,322,150.72",Cuidado de la Salud,2455965,US09062X1037,NASDAQ
QCOM,QUALCOMM INC,Equity,0.28,55.40,"1,122,553.00","62,189,436.20","62,189,436.20",Tecnología de la Información,2714923,US7475251036,NASDAQ
FISV,FISERV INC,Equity,0.27,85.50,"709,793.00","60,687,301.50","60,687,301.50",Tecnología de la Información,2342034,US3377381088,NASDAQ
ROP,ROPER TECHNOLOGIES INC,Equity,0.27,325.46,"184,188.00","59,945,826.48","59,945,826.48",Industriales,2749602,US7766961061,New York Stock Exchange Inc.
NSC,NORFOLK SOUTHERN CORP,Equity,0.27,178.99,"334,370.00","59,848,886.30","59,848,886.30",Industriales,2641894,US6558441084,New York Stock Exchange Inc.
ADSK,AUTODESK INC,Equity,0.27,153.15,"389,598.00","59,666,933.70","59,666,933.70",Tecnología de la Información,2065159,US0527691069,NASDAQ
PSA,PUBLIC STORAGE REIT,Equity,0.26,218.57,"266,863.00","58,328,245.91","58,328,245.91",Bienes Raíces,2852533,US74460D1090,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.26,66.25,"880,301.00","58,319,941.25","58,319,941.25",Productos básicos de consumo,2209106,US1941621039,New York Stock Exchange Inc.
RHT,RED HAT INC,Equity,0.26,181.67,"314,915.00","57,210,608.05","57,210,608.05",Tecnología de la Información,2447218,US7565771026,New York Stock Exchange Inc.
XLNX,XILINX INC,Equity,0.25,122.48,"449,646.00","55,072,642.08","55,072,642.08",Tecnología de la Información,2985677,US9839191015,NASDAQ
YUM,YUM BRANDS INC,Equity,0.25,98.98,"555,439.00","54,977,352.22","54,977,352.22",Consumo discrecional,2098876,US9884981013,New York Stock Exchange Inc.
ALXN,ALEXION PHARMACEUTICALS INC,Equity,0.24,134.88,"396,383.00","53,464,139.04","53,464,139.04",Cuidado de la Salud,2036070,US0153511094,NASDAQ
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.24,368.16,"142,483.00","52,456,541.28","52,456,541.28",Consumo discrecional,B65LWX6,US67103H1077,NASDAQ
MMC,MARSH & MCLENNAN INC,Equity,0.23,92.49,"564,574.00","52,217,449.26","52,217,449.26",Financieros,2567741,US5717481023,New York Stock Exchange Inc.
DG,DOLLAR GENERAL CORP,Equity,0.23,111.64,"467,478.00","52,189,243.92","52,189,243.92",Consumo discrecional,B5B1S13,US2566771059,New York Stock Exchange Inc.
WELL,WELLTOWER INC,Equity,0.23,77.88,"667,042.00","51,949,230.96","51,949,230.96",Bienes Raíces,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.23,88.29,"585,520.00","51,695,560.80","51,695,560.80",Cuidado de la Salud,2182348,US1510201049,NASDAQ
STZ,CONSTELLATION BRANDS INC CLASS A,Equity,0.23,170.61,"295,867.00","50,477,868.87","50,477,868.87",Productos básicos de consumo,2170473,US21036P1084,New York Stock Exchange Inc.
SCHW,CHARLES SCHWAB CORP,Equity,0.23,45.30,"1,113,472.00","50,440,281.60","50,440,281.60",Financieros,2779397,US8085131055,New York Stock Exchange Inc.
VFC,VF CORP,Equity,0.22,84.94,"578,468.00","49,135,071.92","49,135,071.92",Consumo discrecional,2928683,US9182041080,New York Stock Exchange Inc.
D,DOMINION ENERGY INC,Equity,0.22,76.64,"638,963.00","48,970,124.32","48,970,124.32",Servicios,2542049,US25746U1097,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.21,352.71,"135,034.00","47,627,842.14","47,627,842.14",Comunicación,BZ6VT82,US16119P1084,NASDAQ
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.21,1.00,"46,593,323.00","46,593,322.98","46,593,322.98",Liquidez,--,US0669224778,--
IR,INGERSOLL RAND PLC,Equity,0.21,105.95,"436,424.00","46,239,122.80","46,239,122.80",Industriales,B633030,IE00B6330302,New York Stock Exchange Inc.
AON,AON PLC CLASS A,Equity,0.20,168.58,"269,905.00","45,500,584.90","45,500,584.90",Financieros,B5BT0K0,GB00B5BT0K07,New York Stock Exchange Inc.
ZTS,ZOETIS INC CLASS A,Equity,0.20,96.20,"470,781.00","45,289,132.20","45,289,132.20",Cuidado de la Salud,B95WG16,US98978V1035,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.20,51.70,"872,978.00","45,132,962.60","45,132,962.60",Comunicación,BBM4S68,US90130A1016,NASDAQ
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,0.20,85.00,"526,542.00","44,756,070.00","44,756,070.00",Consumo discrecional,BYVMW06,US43300A2033,New York Stock Exchange Inc.
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,0.20,122.94,"362,361.00","44,548,661.34","44,548,661.34",Cuidado de la Salud,2783815,US98956P1021,New York Stock Exchange Inc.
EL,ESTEE LAUDER INC CLASS A,Equity,0.19,159.99,"266,183.00","42,586,618.17","42,586,618.17",Productos básicos de consumo,2320524,US5184391044,New York Stock Exchange Inc.
AZO,AUTOZONE INC,Equity,0.19,950.22,"44,794.00","42,564,154.68","42,564,154.68",Consumo discrecional,2065955,US0533321024,New York Stock Exchange Inc.
MNST,MONSTER BEVERAGE CORP,Equity,0.19,59.67,"707,874.00","42,238,841.58","42,238,841.58",Productos básicos de consumo,BZ07BW4,US61174X1090,NASDAQ
MSI,MOTOROLA SOLUTIONS INC,Equity,0.18,140.09,"290,679.00","40,721,221.11","40,721,221.11",Tecnología de la Información,B5BKPQ4,US6200763075,New York Stock Exchange Inc.
PGR,PROGRESSIVE CORP,Equity,0.18,72.86,"550,586.00","40,115,695.96","40,115,695.96",Financieros,2705024,US7433151039,New York Stock Exchange Inc.
TWTR,TWITTER INC,Equity,0.18,31.03,"1,286,053.00","39,906,224.59","39,906,224.59",Comunicación,BFLR866,US90184L1026,New York Stock Exchange Inc.
APC,ANADARKO PETROLEUM CORP,Equity,0.18,44.25,"894,851.00","39,597,156.75","39,597,156.75",Energía,2032380,US0325111070,New York Stock Exchange Inc.
KMB,KIMBERLY CLARK CORP,Equity,0.18,118.45,"332,538.00","39,389,126.10","39,389,126.10",Productos básicos de consumo,2491839,US4943681035,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.18,180.25,"217,779.00","39,254,664.75","39,254,664.75",Industriales,2758051,US7551115071,New York Stock Exchange Inc.
SHW,SHERWIN WILLIAMS,Equity,0.18,428.82,"90,970.00","39,009,755.40","39,009,755.40",Materiales,2804211,US8243481061,New York Stock Exchange Inc.
ADI,ANALOG DEVICES INC,Equity,0.17,108.25,"355,864.00","38,522,278.00","38,522,278.00",Tecnología de la Información,2032067,US0326541051,NASDAQ
TDG,TRANSDIGM GROUP INC,Equity,0.17,442.58,"86,170.00","38,137,118.60","38,137,118.60",Industriales,B11FJK3,US8936411003,New York Stock Exchange Inc.
EQIX,EQUINIX REIT INC,Equity,0.17,440.48,"85,839.00","37,810,362.72","37,810,362.72",Bienes Raíces,BVLZX12,US29444U7000,NASDAQ
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.17,124.01,"302,831.00","37,554,072.31","37,554,072.31",Bienes Raíces,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
GPN,GLOBAL PAYMENTS INC,Equity,0.17,132.35,"280,915.00","37,179,100.25","37,179,100.25",Tecnología de la Información,2712013,US37940X1028,New York Stock Exchange Inc.
CLX,CLOROX,Equity,0.16,159.83,"226,751.00","36,241,612.33","36,241,612.33",Productos básicos de consumo,2204026,US1890541097,New York Stock Exchange Inc.
AMD,ADVANCED MICRO DEVICES INC,Equity,0.16,22.82,"1,559,334.00","35,584,001.88","35,584,001.88",Tecnología de la Información,2007849,US0079031078,NASDAQ
SYY,SYSCO CORP,Equity,0.16,66.12,"537,245.00","35,522,639.40","35,522,639.40",Productos básicos de consumo,2868165,US8718291078,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.16,179.08,"193,988.00","34,739,371.04","34,739,371.04",Industriales,2142784,US31428X1063,New York Stock Exchange Inc.
INFO,IHS MARKIT LTD,Equity,0.16,54.13,"639,642.00","34,623,821.46","34,623,821.46",Industriales,BD0Q558,BMG475671050,NASDAQ
