14-mar-2019,,,,,,,,,,,,,,,
iShares Core MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,18-oct-2012,,,,,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,,,,,
Total Net Assets,"USD 58,729,535,154.33",,,,,,,,,,,,,,
Number of Securities,"2,476.00",,,,,,,,,,,,,,
Share,"964,800,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores,País,Moneda,Mercado de divisas,Tipo de Cambio
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Equity,0.21,239.09,"521,353.00","124,650,380.01","124,650,380.01",Financieros,5294121,DE0008430026,Xetra,Alemania,USD,EUR,0.88
EL,ESSILORLUXOTTICA SA,Equity,0.21,119.66,"1,035,577.00","123,915,209.88","123,915,209.88",Consumo discrecional,7212477,FR0000121667,Nyse Euronext - Euronext Paris,Francia,USD,EUR,0.88
D05,DBS GROUP HOLDINGS LTD,Equity,0.21,18.51,"6,475,100.00","119,865,041.67","119,865,041.67",Financieros,6175203,SG1L01001701,Singapore Exchange,Singapur,USD,SGD,1.36
AMS,AMADEUS IT GROUP SA,Equity,0.20,74.04,"1,602,322.00","118,643,091.27","118,643,091.27",Tecnología de la Información,B3MSM28,ES0109067019,Bolsa De Madrid,España,USD,EUR,0.88
DPW,DEUTSCHE POST AG,Equity,0.20,33.09,"3,563,444.00","117,908,202.55","117,908,202.55",Industriales,4617859,DE0005552004,Xetra,Alemania,USD,EUR,0.88
9022,CENTRAL JAPAN RAILWAY,Equity,0.20,224.98,"522,000.00","117,440,655.21","117,440,655.21",Industriales,6183552,JP3566800003,Tokyo Stock Exchange,Japón,USD,JPY,111.72
IMB,IMPERIAL BRANDS PLC,Equity,0.20,34.15,"3,430,753.00","117,162,249.39","117,162,249.39",Productos básicos de consumo,0454492,GB0004544929,London Stock Exchange,Reino Unido,USD,GBP,0.75
6954,FANUC CORP,Equity,0.20,166.76,"699,600.00","116,662,620.84","116,662,620.84",Industriales,6356934,JP3802400006,Tokyo Stock Exchange,Japón,USD,JPY,111.72
NXPI,NXP SEMICONDUCTORS NV,Equity,0.20,92.85,"1,255,559.00","116,578,653.15","116,578,653.15",Tecnología de la Información,B505PN7,NL0009538784,NASDAQ,Holanda,USD,USD,1.00
CSGN,CREDIT SUISSE GROUP AG,Equity,0.19,12.06,"9,392,947.00","113,244,649.48","113,244,649.48",Financieros,7171589,CH0012138530,Six Swiss Exchange Ag,Suiza,USD,CHF,1.00
3382,SEVEN & I HOLDINGS LTD,Equity,0.19,41.00,"2,739,200.00","112,294,450.41","112,294,450.41",Productos básicos de consumo,B0FS5D6,JP3422950000,Tokyo Stock Exchange,Japón,USD,JPY,111.72
