26-mar-2019,,,,,,,,,,,
iShares U.S. Technology ETF,,,,,,,,,,,
Inception Date,15 may 2000,,,,,,,,,,
Fund Holdings as of,26 mar 2019,,,,,,,,,,
Total Net Assets,"USD 4.065.132.677,60",,,,,,,,,,
Number of Securities,"152,00",,,,,,,,,,
Share,"21.400.000,00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Intercambio
CTXS,CITRIX SYSTEMS INC,Equity,0.22,99.99,"88,911.00","8,890,210.89","8,890,210.89",Tecnología de la Información,2182553,US1773761002,NASDAQ
FTNT,FORTINET INC,Equity,0.22,84.84,"103,521.00","8,782,721.64","8,782,721.64",Tecnología de la Información,B5B2106,US34959E1091,NASDAQ
STX,SEAGATE TECHNOLOGY PLC,Equity,0.21,47.21,"182,985.00","8,638,721.85","8,638,721.85",Tecnología de la Información,B58JVZ5,IE00B58JVZ52,NASDAQ
CTL,CENTURYLINK INC,Equity,0.20,12.30,"678,749.00","8,348,612.70","8,348,612.70",Comunicación,2185046,US1567001060,New York Stock Exchange Inc.
MRVL,MARVELL TECHNOLOGY GROUP LTD,Equity,0.20,19.69,"422,290.00","8,314,890.10","8,314,890.10",Tecnología de la Información,2594653,BMG5876H1051,NASDAQ
AKAM,AKAMAI TECHNOLOGIES INC,Equity,0.20,69.82,"116,492.00","8,133,471.44","8,133,471.44",Tecnología de la Información,2507457,US00971T1016,NASDAQ
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.18,328.59,"22,613.00","7,430,405.67","7,430,405.67",Tecnología de la Información,2249964,US90385D1072,NASDAQ
GRMN,GARMIN LTD,Equity,0.18,85.22,"86,545.00","7,375,364.90","7,375,364.90",Consumo discrecional,B3Z5T14,CH0114405324,NASDAQ
PTC,PTC INC,Equity,0.17,92.72,"76,202.00","7,065,449.44","7,065,449.44",Tecnología de la Información,B95N910,US69370C1009,NASDAQ
LDOS,LEIDOS HOLDINGS INC,Equity,0.16,63.37,"104,316.00","6,610,504.92","6,610,504.92",Tecnología de la Información,BDV82B8,US5253271028,New York Stock Exchange Inc.
ZEN,ZENDESK INC,Equity,0.16,84.18,"77,343.00","6,510,733.74","6,510,733.74",Tecnología de la Información,BMH0MR7,US98936J1016,New York Stock Exchange Inc.
DATA,TABLEAU SOFTWARE INC CLASS A,Equity,0.16,127.14,"51,070.00","6,493,039.80","6,493,039.80",Tecnología de la Información,B8DJFL5,US87336U1051,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,0.16,152.86,"42,424.00","6,484,932.64","6,484,932.64",Tecnología de la Información,2427599,US3156161024,NASDAQ
JNPR,JUNIPER NETWORKS INC,Equity,0.16,26.09,"248,331.00","6,478,955.79","6,478,955.79",Tecnología de la Información,2431846,US48203R1041,New York Stock Exchange Inc.
PAYC,PAYCOM SOFTWARE INC,Equity,0.16,185.71,"34,293.00","6,368,553.03","6,368,553.03",Tecnología de la Información,BL95MY0,US70432V1026,New York Stock Exchange Inc.
DELL,DELL TECHNOLOGIES INC CLASS C,Equity,0.15,58.89,"106,622.00","6,278,969.58","6,278,969.58",Tecnología de la Información,BHKD3S6,US24703L2025,New York Stock Exchange Inc.
EPAM,EPAM SYSTEMS INC,Equity,0.15,170.16,"36,669.00","6,239,597.04","6,239,597.04",Tecnología de la Información,B44Z3T8,US29414B1044,New York Stock Exchange Inc.
QRVO,QUORVO INC,Equity,0.15,71.15,"87,637.00","6,235,372.55","6,235,372.55",Tecnología de la Información,BR9YYP4,US74736K1016,NASDAQ
ON,ON SEMICONDUCTOR CORP,Equity,0.15,21.00,"292,409.00","6,140,589.00","6,140,589.00",Tecnología de la Información,2583576,US6821891057,NASDAQ
ETSY,ETSY INC,Equity,0.14,67.74,"85,977.00","5,824,081.98","5,824,081.98",Consumo discrecional,BWTN5N1,US29786A1060,NASDAQ
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Equity,0.14,57.60,"99,772.00","5,746,867.20","5,746,867.20",Tecnología de la Información,B5367T7,US0995021062,New York Stock Exchange Inc.
SNAP,SNAP INC CLASS A,Equity,0.14,10.76,"529,472.00","5,697,118.72","5,697,118.72",Comunicación,BD8DJ71,US83304A1060,New York Stock Exchange Inc.
FICO,FAIR ISAAC CORP,Equity,0.13,265.51,"20,749.00","5,509,066.99","5,509,066.99",Tecnología de la Información,2330299,US3032501047,New York Stock Exchange Inc.
GWRE,GUIDEWIRE SOFTWARE INC,Equity,0.13,94.92,"57,837.00","5,489,888.04","5,489,888.04",Tecnología de la Información,B7JYSG3,US40171V1008,New York Stock Exchange Inc.
TYL,TYLER TECHNOLOGIES INC,Equity,0.13,199.25,"27,255.00","5,430,558.75","5,430,558.75",Tecnología de la Información,2909644,US9022521051,New York Stock Exchange Inc.
DOX,AMDOCS LTD,Equity,0.13,54.30,"99,214.00","5,387,320.20","5,387,320.20",Tecnología de la Información,2256908,GB0022569080,NASDAQ
RNG,RINGCENTRAL INC CLASS A,Equity,0.13,108.19,"48,948.00","5,295,684.12","5,295,684.12",Tecnología de la Información,BDZCRX3,US76680R2067,New York Stock Exchange Inc.
AZPN,ASPEN TECHNOLOGY INC,Equity,0.13,103.80,"49,605.00","5,148,999.00","5,148,999.00",Tecnología de la Información,2051868,US0453271035,NASDAQ
CDK,CDK GLOBAL INC,Equity,0.12,57.13,"89,005.00","5,084,855.65","5,084,855.65",Tecnología de la Información,BQXTWQ5,US12508E1010,NASDAQ
TER,TERADYNE INC,Equity,0.12,39.80,"123,916.00","4,931,856.80","4,931,856.80",Tecnología de la Información,2884183,US8807701029,NASDAQ
PFPT,PROOFPOINT INC,Equity,0.12,120.83,"39,507.00","4,773,630.81","4,773,630.81",Tecnología de la Información,B6VDQC3,US7434241037,NASDAQ
OLED,UNIVERSAL DISPLAY CORP,Equity,0.12,156.04,"30,261.00","4,721,926.44","4,721,926.44",Tecnología de la Información,2277880,US91347P1057,NASDAQ
OKTA,OKTA INC CLASS A,Equity,0.12,83.50,"56,308.00","4,701,718.00","4,701,718.00",Tecnología de la Información,BDFZSP1,US6792951054,NASDAQ
HUBS,HUBSPOT INC,Equity,0.11,167.69,"27,333.00","4,583,470.77","4,583,470.77",Tecnología de la Información,BR4T3B3,US4435731009,New York Stock Exchange Inc.
XRX,XEROX CORP,Equity,0.11,32.03,"142,637.00","4,568,663.11","4,568,663.11",Tecnología de la Información,BYWTW73,US9841216081,New York Stock Exchange Inc.
IDTI,INTEGRATED DEVICE TECHNOLOGY INC,Equity,0.11,48.98,"91,826.00","4,497,637.48","4,497,637.48",Tecnología de la Información,2462437,US4581181066,NASDAQ
GRUB,GRUBHUB INC,Equity,0.11,67.25,"64,738.00","4,353,630.50","4,353,630.50",Consumo discrecional,BKY7XF2,US4001101025,New York Stock Exchange Inc.
ZAYO,ZAYO GROUP HOLDINGS INC,Equity,0.10,28.68,"143,871.00","4,126,220.28","4,126,220.28",Comunicación,BRJ3H07,US98919V1052,New York Stock Exchange Inc.
CREE,CREE INC,Equity,0.10,55.82,"73,676.00","4,112,594.32","4,112,594.32",Tecnología de la Información,2232351,US2254471012,NASDAQ
MPWR,MONOLITHIC POWER SYSTEMS INC,Equity,0.10,140.26,"28,182.00","3,952,807.32","3,952,807.32",Tecnología de la Información,B01Z7J1,US6098391054,NASDAQ
CY,CYPRESS SEMICONDUCTOR CORP,Equity,0.10,15.00,"259,718.00","3,895,770.00","3,895,770.00",Tecnología de la Información,2244549,US2328061096,NASDAQ
VSM,VERSUM MATERIALS INC,Equity,0.10,49.93,"77,933.00","3,891,194.69","3,891,194.69",Tecnología de la Información,BD37KN1,US92532W1036,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.09,37.30,"102,661.00","3,829,255.30","3,829,255.30",Tecnología de la Información,B1FLZ21,US1717793095,New York Stock Exchange Inc.
TDC,TERADATA CORP,Equity,0.09,44.36,"83,588.00","3,707,963.68","3,707,963.68",Tecnología de la Información,B247H10,US88076W1036,New York Stock Exchange Inc.
ARRS,ARRIS INTERNATIONAL PLC,Equity,0.09,31.61,"116,851.00","3,693,660.11","3,693,660.11",Tecnología de la Información,BZ04Y37,GB00BZ04Y379,NASDAQ
MKSI,MKS INSTRUMENTS INC,Equity,0.08,89.26,"38,686.00","3,453,112.36","3,453,112.36",Tecnología de la Información,2404871,US55306N1046,NASDAQ
NUAN,NUANCE COMMUNICATIONS INC,Equity,0.08,16.89,"203,370.00","3,434,919.30","3,434,919.30",Tecnología de la Información,2402121,US67020Y1001,NASDAQ
ENTG,ENTEGRIS INC,Equity,0.08,35.26,"96,304.00","3,395,679.04","3,395,679.04",Tecnología de la Información,2599700,US29362U1043,NASDAQ
NEWR,NEW RELIC INC,Equity,0.08,100.91,"32,747.00","3,304,499.77","3,304,499.77",Tecnología de la Información,BT6T3N7,US64829B1008,New York Stock Exchange Inc.
MDSO,MEDIDATA SOLUTIONS INC,Equity,0.08,73.40,"44,451.00","3,262,703.40","3,262,703.40",Cuidado de la Salud,B5424Q0,US58471A1051,NASDAQ
CACI,CACI INTERNATIONAL INC CLASS A,Equity,0.08,183.33,"17,794.00","3,262,174.02","3,262,174.02",Tecnología de la Información,2159267,US1271903049,New York Stock Exchange Inc.
RP,REALPAGE INC,Equity,0.08,61.26,"52,470.00","3,214,312.20","3,214,312.20",Tecnología de la Información,B4W2S29,US75606N1090,NASDAQ
VSAT,VIASAT INC,Equity,0.08,77.15,"40,579.00","3,130,669.85","3,130,669.85",Tecnología de la Información,2946243,US92552V1008,NASDAQ
Z,ZILLOW GROUP INC CLASS C,Equity,0.07,35.43,"83,097.00","2,944,126.71","2,944,126.71",Comunicación,BYXJF62,US98954M2008,NASDAQ
LOGM,LOGMEIN INC,Equity,0.07,81.38,"36,180.00","2,944,328.40","2,944,328.40",Tecnología de la Información,B600J15,US54142L1098,NASDAQ
COMM,COMMSCOPE HOLDING INC,Equity,0.07,21.07,"137,780.00","2,903,024.60","2,903,024.60",Tecnología de la Información,BFRBX34,US20337X1090,NASDAQ
LITE,LUMENTUM HOLDINGS INC,Equity,0.07,53.41,"54,320.00","2,901,231.20","2,901,231.20",Tecnología de la Información,BYM9ZP2,US55024U1097,NASDAQ
JCOM,J2 GLOBAL INC,Equity,0.07,85.73,"33,112.00","2,838,691.76","2,838,691.76",Tecnología de la Información,B75DGJ3,US48123V1026,NASDAQ
TWOU,2U INC,Equity,0.07,68.25,"40,955.00","2,795,178.75","2,795,178.75",Tecnología de la Información,BKWBZZ0,US90214J1016,NASDAQ
SNX,SYNNEX CORP,Equity,0.07,92.04,"29,731.00","2,736,441.24","2,736,441.24",Tecnología de la Información,2002554,US87162W1009,New York Stock Exchange Inc.
ACIW,ACI WORLDWIDE INC,Equity,0.07,32.62,"83,241.00","2,715,321.42","2,715,321.42",Tecnología de la Información,2889155,US0044981019,NASDAQ
BLKB,BLACKBAUD INC,Equity,0.07,77.98,"34,347.00","2,678,379.06","2,678,379.06",Tecnología de la Información,2458878,US09227Q1004,NASDAQ
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Equity,0.07,73.85,"35,992.00","2,658,009.20","2,658,009.20",Tecnología de la Información,BDTZZG7,US8086251076,New York Stock Exchange Inc.
TECD,TECH DATA CORP,Equity,0.06,98.79,"26,392.00","2,607,265.68","2,607,265.68",Tecnología de la Información,2879532,US8782371061,NASDAQ
PSTG,PURE STORAGE INC CLASS A,Equity,0.06,21.10,"122,487.00","2,584,475.70","2,584,475.70",Tecnología de la Información,BYZ62T3,US74624M1027,New York Stock Exchange Inc.
MANH,MANHATTAN ASSOCIATES INC,Equity,0.06,55.19,"46,234.00","2,551,654.46","2,551,654.46",Tecnología de la Información,2239471,US5627501092,NASDAQ
SLAB,SILICON LABORATORIES INC,Equity,0.06,81.33,"30,513.00","2,481,622.29","2,481,622.29",Tecnología de la Información,2568131,US8269191024,NASDAQ
ELLI,ELLIE MAE INC,Equity,0.06,98.62,"25,047.00","2,470,135.14","2,470,135.14",Tecnología de la Información,B532X75,US28849P1003,New York Stock Exchange Inc.
SMTC,SEMTECH CORP,Equity,0.06,52.73,"46,538.00","2,453,948.74","2,453,948.74",Tecnología de la Información,2795542,US8168501018,NASDAQ
VRNT,VERINT SYSTEMS INC,Equity,0.06,51.70,"46,671.00","2,412,890.70","2,412,890.70",Tecnología de la Información,2849193,US92343X1000,NASDAQ
FEYE,FIREEYE INC,Equity,0.06,16.66,"139,324.00","2,321,137.84","2,321,137.84",Tecnología de la Información,BD4R405,US31816Q1013,NASDAQ
NCR,NCR CORP,Equity,0.06,26.44,"85,033.00","2,248,272.52","2,248,272.52",Tecnología de la Información,2632650,US62886E1082,New York Stock Exchange Inc.
NTNX,NUTANIX INC CLASS A,Equity,0.05,40.13,"55,207.00","2,215,456.91","2,215,456.91",Tecnología de la Información,BYQBFT8,US67059N1081,NASDAQ
PRSP,PERSPECTA INC,Equity,0.05,20.95,"100,024.00","2,095,502.80","2,095,502.80",Tecnología de la Información,BZ5YFM8,US7153471005,New York Stock Exchange Inc.
FNSR,FINISAR CORP,Equity,0.05,23.28,"84,727.00","1,972,444.56","1,972,444.56",Tecnología de la Información,2517832,US31787A5074,NASDAQ
VIAV,VIAVI SOLUTIONS INC,Equity,0.05,12.18,"161,535.00","1,967,496.30","1,967,496.30",Tecnología de la Información,BYXB201,US9255501051,NASDAQ
UBNT,UBIQUITI NETWORKS INC,Equity,0.05,145.16,"13,525.00","1,963,289.00","1,963,289.00",Tecnología de la Información,B76VD62,US90347A1007,NASDAQ
CRUS,CIRRUS LOGIC INC,Equity,0.04,42.52,"42,341.00","1,800,339.32","1,800,339.32",Tecnología de la Información,2197308,US1727551004,NASDAQ
CVLT,COMMVAULT SYSTEMS INC,Equity,0.04,64.85,"27,496.00","1,783,115.60","1,783,115.60",Tecnología de la Información,B142B38,US2041661024,NASDAQ
PEGA,PEGASYSTEMS INC,Equity,0.04,64.62,"26,158.00","1,690,329.96","1,690,329.96",Tecnología de la Información,2675860,US7055731035,NASDAQ
IDCC,INTERDIGITAL INC,Equity,0.04,65.30,"23,278.00","1,520,053.40","1,520,053.40",Tecnología de la Información,2465737,US45867G1013,NASDAQ
NTCT,NETSCOUT SYSTEMS INC,Equity,0.03,27.23,"49,456.00","1,346,686.88","1,346,686.88",Tecnología de la Información,2447285,US64115T1043,NASDAQ
CDAY,CERIDIAN HCM HOLDING INC,Equity,0.03,50.14,"25,383.00","1,272,703.62","1,272,703.62",Tecnología de la Información,BFX1V56,US15677J1088,New York Stock Exchange Inc.
SATS,ECHOSTAR CORP CLASS A,Equity,0.03,36.07,"34,332.00","1,238,355.24","1,238,355.24",Tecnología de la Información,B2NC471,US2787681061,NASDAQ
MDRX,ALLSCRIPTS HEALTHCARE SOLUTIONS IN,Equity,0.03,9.83,"123,553.00","1,214,525.99","1,214,525.99",Cuidado de la Salud,2710039,US01988P1084,NASDAQ
ZG,ZILLOW GROUP INC CLASS A,Equity,0.03,34.85,"34,856.00","1,214,731.60","1,214,731.60",Comunicación,BVYJBR3,US98954M1018,NASDAQ
PLT,PLANTRONICS INC,Equity,0.03,45.00,"23,363.00","1,051,335.00","1,051,335.00",Tecnología de la Información,2692030,US7274931085,New York Stock Exchange Inc.
CARS,CARS.COM INC,Equity,0.02,22.53,"44,611.00","1,005,085.83","1,005,085.83",Comunicación,BYXHTC0,US14575E1055,New York Stock Exchange Inc.
STMP,STAMPS.COM INC,Equity,0.02,83.40,"11,563.00","964,354.20","964,354.20",Consumo discrecional,B013D75,US8528572006,NASDAQ
CARG,CARGURUS INC CLASS A,Equity,0.02,38.99,"23,385.00","911,781.15","911,781.15",Comunicación,BF5D6S8,US1417881091,NASDAQ
DOCU,DOCUSIGN INC,Equity,0.02,53.74,"16,361.00","879,240.14","879,240.14",Tecnología de la Información,BFYT7B7,US2561631068,NASDAQ
SYNA,SYNAPTICS INC,Equity,0.02,35.31,"24,482.00","864,459.42","864,459.42",Tecnología de la Información,2839268,US87157D1090,NASDAQ
ZS,ZSCALER INC,Equity,0.02,71.03,"10,164.00","721,948.92","721,948.92",Tecnología de la Información,BZ00V34,US98980G1022,NASDAQ
PLAN,ANAPLAN INC,Equity,0.01,40.63,"11,622.00","472,201.86","472,201.86",Tecnología de la Información,BD9PLW5,US03272L1089,New York Stock Exchange Inc.
ESTC,ELASTIC NV,Equity,0.01,82.63,"5,078.00","419,595.14","419,595.14",Tecnología de la Información,BFXCLC6,NL0013056914,New York Stock Exchange Inc.
SWI,SOLARWINDS CORP,Equity,0.01,19.07,"17,453.00","332,828.71","332,828.71",Tecnología de la Información,BG1VY34,US83417Q1058,New York Stock Exchange Inc.
USD,USD CASH,Cash,-0.19,100.00,"-7,887,876.00","-7,887,876.35","-7,887,876.35",Efectivo y Derivados,--,--,--
