14-mar-2019,,,,,,,,,,,
iShares Core S&P Mid-Cap ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 48,155,344,052.45",,,,,,,,,,
Number of Securities,399.00,,,,,,,,,,
Share,"253,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AFG,AMERICAN FINANCIAL GROUP INC,Equity,0.40,96.89,"1,984,087.00","192,238,189.43","192,238,189.43",Financieros,2134532,US0259321042,New York Stock Exchange Inc.
LAMR,LAMAR ADVERTISING COMPANY CLAS,Equity,0.40,78.30,"2,439,044.00","190,977,145.20","190,977,145.20",Bienes Raíces,BSPHGN6,US5128161099,NASDAQ
DEI,DOUGLAS EMMETT REIT INC,Equity,0.40,41.14,"4,627,875.00","190,390,777.50","190,390,777.50",Bienes Raíces,B1G3M58,US25960P1093,New York Stock Exchange Inc.
HUBB,HUBBELL INC,Equity,0.40,121.20,"1,568,222.00","190,068,506.40","190,068,506.40",Industriales,BDFG6S3,US4435106079,New York Stock Exchange Inc.
CC,CHEMOURS,Equity,0.39,38.61,"4,904,312.00","189,355,486.32","189,355,486.32",Materiales,BZ0CTP8,US1638511089,New York Stock Exchange Inc.
FIVE,FIVE BELOW INC,Equity,0.39,117.69,"1,598,409.00","188,116,755.21","188,116,755.21",Consumo discrecional,B85KFY9,US33829M1018,NASDAQ
OLED,UNIVERSAL DISPLAY CORP,Equity,0.39,154.80,"1,213,468.00","187,844,846.40","187,844,846.40",Tecnología de la Información,2277880,US91347P1057,NASDAQ
CFR,CULLEN FROST BANKERS INC,Equity,0.39,101.82,"1,833,004.00","186,636,467.28","186,636,467.28",Financieros,2239556,US2298991090,New York Stock Exchange Inc.
MASI,MASIMO CORP,Equity,0.39,133.37,"1,397,656.00","186,405,380.72","186,405,380.72",Cuidado de la Salud,B1YWR63,US5747951003,NASDAQ
ATR,APTARGROUP INC,Equity,0.39,102.89,"1,800,622.00","185,265,997.58","185,265,997.58",Materiales,2045247,US0383361039,New York Stock Exchange Inc.
ACC,AMERICAN CAMPUS COMMUNITIES REIT I,Equity,0.38,47.04,"3,928,108.00","184,778,200.32","184,778,200.32",Bienes Raíces,B02H871,US0248351001,New York Stock Exchange Inc.
SNV,SYNOVUS FINANCIAL CORP,Equity,0.38,38.75,"4,752,196.00","184,147,595.00","184,147,595.00",Financieros,BMH4NJ8,US87161C5013,New York Stock Exchange Inc.
POOL,POOL CORP,Equity,0.38,159.10,"1,154,188.00","183,631,310.80","183,631,310.80",Consumo discrecional,2781585,US73278L1052,NASDAQ
WTR,AQUA AMERICA INC,Equity,0.38,35.47,"5,100,824.00","180,926,227.28","180,926,227.28",Servicios,2685234,US03836W1036,New York Stock Exchange Inc.
BIO,BIO RAD LABORATORIES INC CLASS A,Equity,0.37,311.87,"576,768.00","179,876,636.16","179,876,636.16",Cuidado de la Salud,2098508,US0905722072,New York Stock Exchange Inc.
DCI,DONALDSON INC,Equity,0.37,48.73,"3,666,119.00","178,649,978.87","178,649,978.87",Industriales,2276467,US2576511099,New York Stock Exchange Inc.
IDTI,INTEGRATED DEVICE TECHNOLOGY INC,Equity,0.37,48.27,"3,690,695.00","178,149,847.65","178,149,847.65",Tecnología de la Información,2462437,US4581181066,NASDAQ
INGR,INGREDION INC,Equity,0.37,93.38,"1,903,232.00","177,723,804.16","177,723,804.16",Productos básicos de consumo,B7K24P7,US4571871023,New York Stock Exchange Inc.
RS,RELIANCE STEEL & ALUMINUM,Equity,0.37,87.16,"2,018,753.00","175,954,511.48","175,954,511.48",Materiales,2729068,US7595091023,New York Stock Exchange Inc.
CTLT,CATALENT INC,Equity,0.36,41.89,"4,165,913.00","174,510,095.57","174,510,095.57",Cuidado de la Salud,BP96PQ4,US1488061029,New York Stock Exchange Inc.
PRAH,PRA HEALTH SCIENCES INC,Equity,0.36,103.88,"1,676,325.00","174,136,641.00","174,136,641.00",Cuidado de la Salud,BSHZ3V5,US69354M1080,NASDAQ
CBSH,COMMERCE BANCSHARES INC,Equity,0.36,60.88,"2,845,657.00","173,243,598.16","173,243,598.16",Financieros,2213204,US2005251036,NASDAQ
ORI,OLD REPUBLIC INTERNATIONAL CORP,Equity,0.35,20.89,"8,153,818.00","170,333,258.02","170,333,258.02",Financieros,2659109,US6802231042,New York Stock Exchange Inc.
EHC,ENCOMPASS HEALTH CORP,Equity,0.35,60.01,"2,835,860.00","170,179,958.60","170,179,958.60",Cuidado de la Salud,BYX2YJ7,US29261A1007,New York Stock Exchange Inc.
SABR,SABRE CORP,Equity,0.35,21.50,"7,892,103.00","169,680,214.50","169,680,214.50",Tecnología de la Información,BLLHH27,US78573M1045,NASDAQ
DNKN,DUNKIN BRANDS GROUP INC,Equity,0.35,71.60,"2,366,923.00","169,471,686.80","169,471,686.80",Consumo discrecional,B3LHT03,US2655041000,NASDAQ
SON,SONOCO PRODUCTS,Equity,0.35,59.22,"2,860,889.00","169,421,846.58","169,421,846.58",Materiales,2821395,US8354951027,New York Stock Exchange Inc.
RGLD,ROYAL GOLD INC,Equity,0.35,90.19,"1,877,440.00","169,326,313.60","169,326,313.60",Materiales,2755706,US7802871084,NASDAQ
NYCB,NEW YORK COMMUNITY BANCORP INC,Equity,0.35,12.03,"14,053,621.00","169,065,060.63","169,065,060.63",Financieros,2711656,US6494451031,New York Stock Exchange Inc.
RNR,RENAISSANCERE HOLDING LTD,Equity,0.35,146.29,"1,153,946.00","168,810,760.34","168,810,760.34",Financieros,2728429,BMG7496G1033,New York Stock Exchange Inc.
TDC,TERADATA CORP,Equity,0.34,47.94,"3,386,230.00","162,335,866.20","162,335,866.20",Tecnología de la Información,B247H10,US88076W1036,New York Stock Exchange Inc.
USD,USD CASH,Cash,0.34,100.00,"161,239,406.00","161,239,405.88","161,239,405.88",Liquidez,--,--,--
EPR,EPR PROPERTIES REIT,Equity,0.34,75.63,"2,129,872.00","161,082,219.36","161,082,219.36",Bienes Raíces,B8XXZP1,US26884U1097,New York Stock Exchange Inc.
FAF,FIRST AMERICAN FINANCIAL CORP,Equity,0.33,50.26,"3,193,501.00","160,505,360.26","160,505,360.26",Financieros,B4NFPK4,US31847R1023,New York Stock Exchange Inc.
CIEN,CIENA CORP,Equity,0.33,39.27,"4,067,744.00","159,740,306.88","159,740,306.88",Tecnología de la Información,B1FLZ21,US1717793095,New York Stock Exchange Inc.
CREE,CREE INC,Equity,0.33,53.57,"2,937,768.00","157,376,231.76","157,376,231.76",Tecnología de la Información,2232351,US2254471012,NASDAQ
CONE,CYRUSONE REIT INC,Equity,0.33,51.83,"3,033,223.00","157,211,948.09","157,211,948.09",Bienes Raíces,B7YRLH9,US23283R1005,NASDAQ
CY,CYPRESS SEMICONDUCTOR CORP,Equity,0.33,15.09,"10,368,655.00","156,463,003.95","156,463,003.95",Tecnología de la Información,2244549,US2328061096,NASDAQ
OSK,OSHKOSH CORP,Equity,0.32,75.82,"2,059,981.00","156,187,759.42","156,187,759.42",Industriales,2663520,US6882392011,New York Stock Exchange Inc.
LECO,LINCOLN ELECTRIC HOLDINGS INC,Equity,0.32,84.35,"1,846,914.00","155,787,195.90","155,787,195.90",Industriales,2516851,US5339001068,NASDAQ
