14-mar-2019,,,,,,,,,,,
iShares Russell 1000 Value ETF,,,,,,,,,,,
Inception Date,22-may-2000,,,,,,,,,,
Fund Holdings as of,14-mar-2019,,,,,,,,,,
Total Net Assets,"USD 38,173,656,092.63",,,,,,,,,,
Number of Securities,722.00,,,,,,,,,,
Share,"306,600,000.00",,,,,,,,,,
,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
BK,BANK OF NEW YORK MELLON CORP,Equity,0.37,52.76,"2,644,416.00","139,519,388.16","139,519,388.16",Financieros,B1Z77F6,US0640581007,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.36,49.62,"2,789,002.00","138,390,279.24","138,390,279.24",Servicios,2670519,US30161N1019,New York Stock Exchange Inc.
MSFT,MICROSOFT CORP,Equity,0.35,114.59,"1,161,849.00","133,136,276.91","133,136,276.91",Tecnología de la Información,2588173,US5949181045,NASDAQ
EOG,EOG RESOURCES INC,Equity,0.35,89.69,"1,483,163.00","133,024,889.47","133,024,889.47",Energía,2318024,US26875P1012,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.35,66.25,"2,005,995.00","132,897,168.75","132,897,168.75",Productos básicos de consumo,2209106,US1941621039,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,0.35,169.56,"773,956.00","131,231,979.36","131,231,979.36",Cuidado de la Salud,BHJ0775,US1255231003,New York Stock Exchange Inc.
PLD,PROLOGIS REIT INC,Equity,0.34,71.78,"1,809,696.00","129,899,978.88","129,899,978.88",Bienes Raíces,B44WZD7,US74340W1036,New York Stock Exchange Inc.
AVGO,BROADCOM INC,Equity,0.34,268.20,"477,593.00","128,090,442.60","128,090,442.60",Tecnología de la Información,BDZ78H9,US11135F1012,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.33,155.25,"816,959.00","126,832,884.75","126,832,884.75",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.32,123.08,"978,816.00","120,472,673.28","120,472,673.28",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
PSX,PHILLIPS,Equity,0.31,98.47,"1,203,150.00","118,474,180.50","118,474,180.50",Energía,B78C4Y8,US7185461040,New York Stock Exchange Inc.
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.31,82.98,"1,426,075.00","118,335,703.50","118,335,703.50",Servicios,2026242,US0255371017,New York Stock Exchange Inc.
APD,AIR PRODUCTS AND CHEMICALS INC,Equity,0.31,185.21,"633,767.00","117,379,986.07","117,379,986.07",Materiales,2011602,US0091581068,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.31,76.49,"1,523,070.00","116,499,624.30","116,499,624.30",Consumo discrecional,2259101,US87612E1064,New York Stock Exchange Inc.
MPC,MARATHON PETROLEUM CORP,Equity,0.30,59.69,"1,937,801.00","115,667,341.69","115,667,341.69",Energía,B3K3L40,US56585A1025,New York Stock Exchange Inc.
PRU,PRUDENTIAL FINANCIAL INC,Equity,0.30,95.27,"1,193,620.00","113,716,177.40","113,716,177.40",Financieros,2819118,US7443201022,New York Stock Exchange Inc.
LIN,LINDE PLC,Equity,0.30,174.21,"651,973.00","113,580,216.33","113,580,216.33",Materiales,BZ12WP8,IE00BZ12WP82,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.30,45.70,"2,478,234.00","113,255,293.80","113,255,293.80",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
BBT,BB AND T CORP,Equity,0.29,50.13,"2,225,183.00","111,548,423.79","111,548,423.79",Financieros,2830904,US0549371070,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.29,49.89,"2,213,621.00","110,437,551.69","110,437,551.69",Cuidado de la Salud,2126335,US1101221083,New York Stock Exchange Inc.
