26-Mar-2019,,,,,,,,,,,,,,,
iShares Expanded Tech Sector ETF,,,,,,,,,,,,,,,
Inception Date,"Mar 13, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Mar 26, 2019",,,,,,,,,,,,,,
Total Net Assets,"$1,581,615,971.58",,,,,,,,,,,,,,
Number of Securities (excluding cash and derivatives),292.00,,,,,,,,,,,,,,
Share,"7,700,000.00",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
GLW,CORNING INC,Equity,0.34,33.61,"161,307.00","5,421,528.27","5,421,528.27",Information Technology,2224701,US2193501051,New York Stock Exchange Inc.,United States,USD,USD,1.00
PAYX,PAYCHEX INC,Equity,0.33,80.10,"65,511.00","5,247,431.10","5,247,431.10",Information Technology,2674458,US7043261079,NASDAQ,United States,USD,USD,1.00
TWTR,TWITTER INC,Equity,0.31,33.06,"149,276.00","4,935,064.56","4,935,064.56",Communication,BFLR866,US90184L1026,New York Stock Exchange Inc.,United States,USD,USD,1.00
PANW,PALO ALTO NETWORKS INC,Equity,0.30,244.20,"19,443.00","4,747,980.60","4,747,980.60",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1.00
MSI,MOTOROLA SOLUTIONS INC,Equity,0.30,140.40,"33,581.00","4,714,772.40","4,714,772.40",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.,United States,USD,USD,1.00
SQ,SQUARE INC CLASS A,Equity,0.30,73.93,"63,200.00","4,672,376.00","4,672,376.00",Information Technology,BYNZGK1,US8522341036,New York Stock Exchange Inc.,United States,USD,USD,1.00
AMD,ADVANCED MICRO DEVICES INC,Equity,0.29,25.69,"181,144.00","4,653,589.36","4,653,589.36",Information Technology,2007849,US0079031078,NASDAQ,United States,USD,USD,1.00
GPN,GLOBAL PAYMENTS INC,Equity,0.28,134.69,"32,405.00","4,364,629.45","4,364,629.45",Information Technology,2712013,US37940X1028,New York Stock Exchange Inc.,United States,USD,USD,1.00
HPE,HEWLETT PACKARD ENTERPRISE,Equity,0.27,15.31,"282,122.00","4,319,287.82","4,319,287.82",Information Technology,BYVYWS0,US42824C1099,New York Stock Exchange Inc.,United States,USD,USD,1.00
FLT,FLEETCOR TECHNOLOGIES INC,Equity,0.27,241.14,"17,653.00","4,256,844.42","4,256,844.42",Information Technology,B4R28B3,US3390411052,New York Stock Exchange Inc.,United States,USD,USD,1.00
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Equity,0.26,204.37,"20,153.00","4,118,668.61","4,118,668.61",Information Technology,BXDZ9Z0,CA82509L1076,New York Stock Exchange Inc.,Canada,USD,USD,1.00
MCHP,MICROCHIP TECHNOLOGY INC,Equity,0.26,84.25,"48,723.00","4,104,912.75","4,104,912.75",Information Technology,2592174,US5950171042,NASDAQ,United States,USD,USD,1.00
KLAC,KLA TENCOR CORP,Equity,0.26,120.04,"33,967.00","4,077,398.68","4,077,398.68",Information Technology,2480138,US4824801009,NASDAQ,United States,USD,USD,1.00
VRSN,VERISIGN INC,Equity,0.25,182.97,"21,660.00","3,963,130.20","3,963,130.20",Information Technology,2142922,US92343E1029,NASDAQ,United States,USD,USD,1.00
SPLK,SPLUNK INC,Equity,0.24,124.28,"30,386.00","3,776,372.08","3,776,372.08",Information Technology,B424494,US8486371045,NASDAQ,United States,USD,USD,1.00
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,0.23,62.30,"57,650.00","3,591,595.00","3,591,595.00",Information Technology,2302232,US1273871087,NASDAQ,United States,USD,USD,1.00
DXC,DXC TECHNOLOGY,Equity,0.23,64.83,"55,159.00","3,575,957.97","3,575,957.97",Information Technology,BYXD7B3,US23355L1061,New York Stock Exchange Inc.,United States,USD,USD,1.00
SNPS,SYNOPSYS INC,Equity,0.22,112.40,"30,775.00","3,459,110.00","3,459,110.00",Information Technology,2867719,US8716071076,NASDAQ,United States,USD,USD,1.00
NTAP,NETAPP INC,Equity,0.22,67.63,"50,780.00","3,434,251.40","3,434,251.40",Information Technology,2630643,US64110D1046,NASDAQ,United States,USD,USD,1.00
IAC,IAC INTERACTIVE,Equity,0.22,214.23,"15,981.00","3,423,609.63","3,423,609.63",Communication,B0F0F09,US44919P5089,NASDAQ,United States,USD,USD,1.00
GIB,CGI INC,Equity,0.22,67.52,"50,440.00","3,405,708.80","3,405,708.80",Information Technology,BJ2L553,CA12532H1047,New York Stock Exchange Inc.,Canada,USD,USD,1.00
ANET,ARISTA NETWORKS INC,Equity,0.21,309.80,"10,744.00","3,328,491.20","3,328,491.20",Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.,United States,USD,USD,1.00
KEYS,KEYSIGHT TECHNOLOGIES INC,Equity,0.21,85.36,"38,602.00","3,295,066.72","3,295,066.72",Information Technology,BQZJ0Q9,US49338L1035,New York Stock Exchange Inc.,United States,USD,USD,1.00
TSS,TOTAL SYSTEM SERVICES INC,Equity,0.20,93.15,"33,466.00","3,117,357.90","3,117,357.90",Information Technology,2897697,US8919061098,New York Stock Exchange Inc.,United States,USD,USD,1.00
ANSS,ANSYS INC,Equity,0.20,179.69,"17,224.00","3,094,980.56","3,094,980.56",Information Technology,2045623,US03662Q1058,NASDAQ,United States,USD,USD,1.00
XTSLA,BLK CSH FND TREASURY SL AGENCY,Money Market,0.19,1.00,"3,072,493.00","3,072,493.00","3,072,493.00",Cash and/or Derivatives,--,US0669224778,--,United States,USD,USD,1.00
MXIM,MAXIM INTEGRATED PRODUCTS INC,Equity,0.19,54.34,"56,213.00","3,054,614.42","3,054,614.42",Information Technology,2573760,US57772K1016,NASDAQ,United States,USD,USD,1.00
SYMC,SYMANTEC CORP,Equity,0.19,23.23,"131,429.00","3,053,095.67","3,053,095.67",Information Technology,2861078,US8715031089,NASDAQ,United States,USD,USD,1.00
FDC,FIRST DATA CORP CLASS A,Equity,0.19,25.84,"116,742.00","3,016,613.28","3,016,613.28",Information Technology,BYX3ZN1,US32008D1063,New York Stock Exchange Inc.,United States,USD,USD,1.00
CDW,CDW CORP,Equity,0.19,95.70,"30,838.00","2,951,196.60","2,951,196.60",Information Technology,BBM5MD6,US12514G1085,NASDAQ,United States,USD,USD,1.00
SWKS,SKYWORKS SOLUTIONS INC,Equity,0.19,82.12,"35,790.00","2,939,074.80","2,939,074.80",Information Technology,2961053,US83088M1027,NASDAQ,United States,USD,USD,1.00
EXPE,EXPEDIA GROUP INC,Equity,0.19,122.10,"24,040.00","2,935,284.00","2,935,284.00",Consumer Discretionary,B748CK2,US30212P3038,NASDAQ,United States,USD,USD,1.00
VMW,VMWARE INC CLASS A,Equity,0.18,181.44,"15,590.00","2,828,649.60","2,828,649.60",Information Technology,B23SN61,US9285634021,New York Stock Exchange Inc.,United States,USD,USD,1.00
WDC,WESTERN DIGITAL CORP,Equity,0.18,47.08,"59,802.00","2,815,478.16","2,815,478.16",Information Technology,2954699,US9581021055,NASDAQ,United States,USD,USD,1.00
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Equity,0.18,62.42,"44,349.00","2,768,264.58","2,768,264.58",Information Technology,B58YSC6,US78467J1007,NASDAQ,United States,USD,USD,1.00
IT,GARTNER INC,Equity,0.17,148.04,"18,445.00","2,730,597.80","2,730,597.80",Information Technology,2372763,US3666511072,New York Stock Exchange Inc.,United States,USD,USD,1.00
GDDY,GODADDY INC CLASS A,Equity,0.17,75.84,"34,784.00","2,638,018.56","2,638,018.56",Information Technology,BWFRFC6,US3802371076,New York Stock Exchange Inc.,United States,USD,USD,1.00
TWLO,TWILIO INC CLASS A,Equity,0.16,131.87,"19,603.00","2,585,047.61","2,585,047.61",Information Technology,BD6P5Q0,US90138F1021,New York Stock Exchange Inc.,United States,USD,USD,1.00
CTXS,CITRIX SYSTEMS INC,Equity,0.16,99.99,"25,730.00","2,572,742.70","2,572,742.70",Information Technology,2182553,US1773761002,NASDAQ,United States,USD,USD,1.00
FTNT,FORTINET INC,Equity,0.16,84.84,"29,821.00","2,530,013.64","2,530,013.64",Information Technology,B5B2106,US34959E1091,NASDAQ,United States,USD,USD,1.00
STX,SEAGATE TECHNOLOGY PLC,Equity,0.16,47.21,"52,715.00","2,488,675.15","2,488,675.15",Information Technology,B58JVZ5,IE00B58JVZ52,NASDAQ,United States,USD,USD,1.00
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Equity,0.15,100.76,"23,785.00","2,396,576.60","2,396,576.60",Information Technology,B1VP7R6,US11133T1034,New York Stock Exchange Inc.,United States,USD,USD,1.00
MRVL,MARVELL TECHNOLOGY GROUP LTD,Equity,0.15,19.69,"121,650.00","2,395,288.50","2,395,288.50",Information Technology,2594653,BMG5876H1051,NASDAQ,United States,USD,USD,1.00
AKAM,AKAMAI TECHNOLOGIES INC,Equity,0.15,69.82,"33,558.00","2,343,019.56","2,343,019.56",Information Technology,2507457,US00971T1016,NASDAQ,United States,USD,USD,1.00
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,0.15,208.95,"11,076.00","2,314,330.20","2,314,330.20",Information Technology,2989356,US9892071054,NASDAQ,United States,USD,USD,1.00
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,0.14,96.37,"23,267.00","2,242,240.79","2,242,240.79",Communication,2122117,US8740541094,NASDAQ,United States,USD,USD,1.00
JKHY,JACK HENRY ANS ASSOCIATES INC,Equity,0.14,137.16,"15,868.00","2,176,454.88","2,176,454.88",Information Technology,2469193,US4262811015,NASDAQ,United States,USD,USD,1.00
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.13,328.59,"6,484.00","2,130,577.56","2,130,577.56",Information Technology,2249964,US90385D1072,NASDAQ,United States,USD,USD,1.00
OTEX,OPEN TEXT CORP,Equity,0.13,37.74,"55,261.00","2,085,550.14","2,085,550.14",Information Technology,2655657,CA6837151068,NASDAQ,Canada,USD,USD,1.00
TRMB,TRIMBLE INC,Equity,0.13,40.13,"51,713.00","2,075,242.69","2,075,242.69",Information Technology,2903958,US8962391004,NASDAQ,United States,USD,USD,1.00
PTC,PTC INC,Equity,0.13,92.72,"21,951.00","2,035,296.72","2,035,296.72",Information Technology,B95N910,US69370C1009,NASDAQ,United States,USD,USD,1.00
W,WAYFAIR INC CLASS A,Equity,0.13,158.50,"12,816.00","2,031,336.00","2,031,336.00",Consumer Discretionary,BQXZP64,US94419L1017,New York Stock Exchange Inc.,United States,USD,USD,1.00
LDOS,LEIDOS HOLDINGS INC,Equity,0.12,63.37,"30,052.00","1,904,395.24","1,904,395.24",Information Technology,BDV82B8,US5253271028,New York Stock Exchange Inc.,United States,USD,USD,1.00
ZEN,ZENDESK INC,Equity,0.12,84.18,"22,255.00","1,873,425.90","1,873,425.90",Information Technology,BMH0MR7,US98936J1016,New York Stock Exchange Inc.,United States,USD,USD,1.00
DATA,TABLEAU SOFTWARE INC CLASS A,Equity,0.12,127.14,"14,711.00","1,870,356.54","1,870,356.54",Information Technology,B8DJFL5,US87336U1051,New York Stock Exchange Inc.,United States,USD,USD,1.00
FFIV,F5 NETWORKS INC,Equity,0.12,152.86,"12,222.00","1,868,254.92","1,868,254.92",Information Technology,2427599,US3156161024,NASDAQ,United States,USD,USD,1.00
JNPR,JUNIPER NETWORKS INC,Equity,0.12,26.09,"71,474.00","1,864,756.66","1,864,756.66",Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.,United States,USD,USD,1.00
PAYC,PAYCOM SOFTWARE INC,Equity,0.12,185.71,"9,893.00","1,837,229.03","1,837,229.03",Information Technology,BL95MY0,US70432V1026,New York Stock Exchange Inc.,United States,USD,USD,1.00
