As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Sep 25, 2018","4,275.17",90.61,--,"73,850,000.00"
"Sep 24, 2018","4,284.32",90.80,--,"73,850,000.00"
"Sep 21, 2018","4,306.52",91.27,--,"73,000,000.00"
"Sep 20, 2018","4,294.68",91.02,--,"72,900,000.00"
"Sep 19, 2018","4,263.23",90.36,--,"72,700,000.00"
"Sep 18, 2018","4,263.00",90.35,--,"72,500,000.00"
"Sep 17, 2018","4,243.53",89.94,--,"72,500,000.00"
"Sep 14, 2018","4,263.29",90.36,--,"71,700,000.00"
"Sep 13, 2018","4,256.73",90.22,--,"71,200,000.00"
"Sep 12, 2018","4,232.62",89.71,--,"71,050,000.00"
"Sep 11, 2018","4,230.55",89.67,--,"71,000,000.00"
"Sep 10, 2018","4,221.16",89.47,--,"70,900,000.00"
"Sep 07, 2018","4,209.68",89.23,--,"70,900,000.00"
"Sep 06, 2018","4,223.78",89.53,--,"70,900,000.00"
"Sep 05, 2018","4,228.97",89.64,--,"70,300,000.00"
"Sep 04, 2018","4,229.80",89.66,--,"69,850,000.00"
"Aug 31, 2018","4,233.57",89.74,--,"69,800,000.00"
"Aug 30, 2018","4,219.73",89.45,--,"69,800,000.00"
"Aug 29, 2018","4,237.86",89.83,--,"69,800,000.00"
"Aug 28, 2018","4,215.83",89.36,--,"69,400,000.00"
"Aug 27, 2018","4,214.28",89.33,--,"68,450,000.00"
"Aug 24, 2018","4,188.00",88.77,--,"68,350,000.00"
"Aug 23, 2018","4,163.88",88.26,--,"68,350,000.00"
"Aug 22, 2018","4,162.81",88.24,--,"68,150,000.00"
"Aug 21, 2018","4,163.17",88.25,--,"68,150,000.00"
"Aug 20, 2018","4,155.72",88.09,--,"68,150,000.00"
"Aug 17, 2018","4,137.71",87.71,--,"68,000,000.00"
"Aug 16, 2018","4,120.66",87.35,--,"68,000,000.00"
"Aug 15, 2018","4,086.93",86.64,--,"67,950,000.00"
"Aug 14, 2018","4,104.94",87.02,--,"67,900,000.00"
"Aug 13, 2018","4,079.44",86.48,--,"67,550,000.00"
"Aug 10, 2018","4,095.24",86.82,--,"67,400,000.00"
"Aug 09, 2018","4,119.61",87.33,--,"67,350,000.00"
"Aug 08, 2018","4,129.27",87.54,--,"67,350,000.00"
"Aug 07, 2018","4,134.27",87.64,--,"67,100,000.00"
"Aug 06, 2018","4,116.39",87.27,--,"67,100,000.00"
"Aug 03, 2018","4,104.95",87.02,--,"67,100,000.00"
"Aug 02, 2018","4,085.77",86.62,--,"67,100,000.00"
"Aug 01, 2018","4,071.00",86.30,--,"66,800,000.00"
"Jul 31, 2018","4,082.50",86.55,--,"66,600,000.00"
"Jul 30, 2018","4,055.08",85.97,--,"66,600,000.00"
"Jul 27, 2018","4,081.45",86.53,--,"66,600,000.00"
"Jul 26, 2018","4,107.45",87.08,--,"66,550,000.00"
"Jul 25, 2018","4,111.28",87.16,--,"66,550,000.00"
"Jul 24, 2018","4,069.94",86.29,--,"66,550,000.00"
"Jul 23, 2018","4,052.20",85.91,--,"66,550,000.00"
"Jul 20, 2018","4,053.49",85.94,--,"66,450,000.00"
"Jul 19, 2018","4,060.20",86.08,--,"66,450,000.00"
"Jul 18, 2018","4,068.49",86.26,--,"66,450,000.00"
"Jul 17, 2018","4,059.31",86.06,--,"66,450,000.00"
"Jul 16, 2018","4,034.21",85.53,--,"66,450,000.00"
"Jul 13, 2018","4,051.61",85.90,--,"66,350,000.00"
"Jul 12, 2018","4,046.98",85.80,--,"66,550,000.00"
"Jul 11, 2018","4,013.26",85.09,--,"66,400,000.00"
"Jul 10, 2018","4,043.94",85.74,--,"66,350,000.00"
"Jul 09, 2018","4,027.61",85.39,--,"66,100,000.00"
"Jul 06, 2018","3,995.99",84.72,--,"66,000,000.00"
"Jul 05, 2018","3,961.72",84.00,--,"66,000,000.00"
"Jul 03, 2018","3,928.00",83.28,--,"65,950,000.00"
"Jul 02, 2018","3,937.41",83.48,--,"65,950,000.00"
"Jun 29, 2018","3,934.25",83.42,--,"66,000,000.00"
"Jun 28, 2018","3,924.88",83.22,--,"65,400,000.00"
"Jun 27, 2018","3,897.16",82.63,--,"65,100,000.00"
"Jun 26, 2018","3,935.92",83.45,0.38,"64,650,000.00"
"Jun 25, 2018","3,931.60",83.74,--,"64,200,000.00"
"Jun 22, 2018","3,984.31",84.86,--,"64,200,000.00"
"Jun 21, 2018","3,979.45",84.76,--,"63,900,000.00"
"Jun 20, 2018","4,008.54",85.38,--,"63,400,000.00"
"Jun 19, 2018","4,013.74",85.49,--,"62,800,000.00"
"Jun 18, 2018","4,029.38",85.82,--,"62,600,000.00"
"Jun 15, 2018","4,041.91",86.09,--,"62,600,000.00"
"Jun 14, 2018","4,034.88",85.94,--,"62,600,000.00"
"Jun 13, 2018","4,029.58",85.83,--,"62,400,000.00"
"Jun 12, 2018","4,051.75",86.30,--,"61,650,000.00"
