As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
15-Oct-14,534.29,78.74,--,9100000.00
14-Oct-14,530.28,78.15,--,9150000.00
13-Oct-14,528.18,77.84,--,9450000.00
10-Oct-14,541.18,79.76,--,9650000.00
9-Oct-14,550.29,81.1,--,9800000.00
8-Oct-14,566.3,83.45,--,9950000.00
7-Oct-14,559.27,82.42,--,9950000.00
6-Oct-14,569.44,83.92,--,10050000.00
3-Oct-14,569.38,83.91,--,10050000.00
2-Oct-14,568.83,83.83,--,10350000.00
1-Oct-14,569.99,84,--,10750000.00
30-Sep-14,583.79,86.03,--,10700000.00
29-Sep-14,591.01,87.1,--,10950000.00
26-Sep-14,594.2,87.57,--,10950000.00
25-Sep-14,588.95,86.8,--,11050000.00
24-Sep-14,598.6,88.22,0.37,10700000.00
23-Sep-14,593.75,87.87,--,10600000.00
22-Sep-14,597.23,88.39,--,10600000.00
19-Sep-14,599.49,88.72,--,10600000.00
18-Sep-14,600.99,88.94,--,10600000.00
17-Sep-14,597.52,88.43,--,10700000.00
16-Sep-14,593.23,87.8,--,10500000.00
15-Sep-14,589.5,87.25,--,10500000.00
12-Sep-14,588.78,87.15,--,10750000.00
11-Sep-14,592.09,87.64,--,10750000.00
10-Sep-14,592.31,87.67,--,10750000.00
9-Sep-14,591.71,87.59,--,10900000.00
8-Sep-14,597.02,88.37,--,10900000.00
5-Sep-14,600.23,88.85,--,10750000.00
4-Sep-14,597.79,88.49,--,10700000.00
3-Sep-14,598.8,88.64,--,10200000.00
2-Sep-14,597.48,88.44,--,10450000.00
29-Aug-14,599.86,88.8,--,10700000.00
28-Aug-14,598.29,88.57,--,10700000.00
27-Aug-14,598.51,88.6,--,10850000.00
26-Aug-14,598.61,88.62,--,10850000.00
25-Aug-14,597.57,88.46,--,10850000.00
22-Aug-14,595.41,88.15,--,10850000.00
21-Aug-14,597.52,88.46,--,10850000.00
20-Aug-14,599.26,88.72,--,10950000.00
19-Aug-14,598.34,88.59,--,10900000.00
18-Aug-14,596.14,88.26,--,10850000.00
15-Aug-14,590.06,87.36,--,10850000.00
