As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
8-Feb-05,331.89,55.76,--,4450000.00
7-Feb-05,330.31,55.5,--,4450000.00
4-Feb-05,330.36,55.51,--,4450000.00
3-Feb-05,327.58,55.05,--,4450000.00
2-Feb-05,328.34,55.17,--,4450000.00
1-Feb-05,327.81,55.08,--,4450000.00
31-Jan-05,327.08,54.96,--,4450000.00
28-Jan-05,323.23,54.32,--,4450000.00
27-Jan-05,323.19,54.31,--,4450000.00
26-Jan-05,322.47,54.19,--,4450000.00
25-Jan-05,321.22,53.98,--,4450000.00
24-Jan-05,318.44,53.52,--,4450000.00
21-Jan-05,319.72,53.74,--,4450000.00
20-Jan-05,322.19,54.15,--,4450000.00
19-Jan-05,324.13,54.48,--,4450000.00
18-Jan-05,327.26,55,--,4450000.00
14-Jan-05,325.15,54.65,--,4450000.00
13-Jan-05,322.44,54.2,--,4450000.00
12-Jan-05,325.56,54.72,--,4450000.00
11-Jan-05,324.32,54.52,--,4450000.00
10-Jan-05,326.25,54.84,--,4650000.00
7-Jan-05,325.68,54.75,--,4650000.00
6-Jan-05,327,54.97,--,4650000.00
5-Jan-05,325.87,54.78,--,4650000.00
4-Jan-05,327.9,55.12,--,4650000.00
3-Jan-05,332.88,55.96,--,4500000.00
31-Dec-04,336.31,56.54,--,4500000.00
30-Dec-04,336.93,56.64,--,4500000.00
29-Dec-04,337.18,56.69,--,4500000.00
28-Dec-04,338.09,56.84,--,4500000.00
27-Dec-04,335.19,56.35,--,4500000.00
23-Dec-04,337.69,56.78,0.21,4500000.00
22-Dec-04,337.37,56.93,--,4500000.00
21-Dec-04,336.41,56.77,--,4500000.00
20-Dec-04,334.25,56.41,--,4500000.00
17-Dec-04,333.43,56.27,--,4550000.00
16-Dec-04,334.14,56.4,--,4550000.00
15-Dec-04,335.8,56.69,--,4550000.00
14-Dec-04,335.52,56.65,--,4550000.00
13-Dec-04,334.53,56.49,--,4550000.00
10-Dec-04,330.86,55.87,--,4550000.00
9-Dec-04,329.33,55.62,--,4550000.00
8-Dec-04,328.15,55.42,--,4550000.00
7-Dec-04,326.24,55.1,--,4550000.00
6-Dec-04,330.31,55.78,--,4550000.00
3-Dec-04,331.6,56,--,4550000.00
2-Dec-04,331.63,56.01,--,4550000.00
1-Dec-04,332.44,56.14,--,4550000.00
30-Nov-04,326.88,55.2,--,4550000.00
29-Nov-04,326.9,55.21,--,4550000.00
26-Nov-04,327.67,55.36,--,4550000.00
24-Nov-04,328,55.42,--,4550000.00
23-Nov-04,326.82,55.22,--,4550000.00
22-Nov-04,327.47,55.33,--,4550000.00
19-Nov-04,326.08,55.1,--,4550000.00
18-Nov-04,330.38,55.82,--,4550000.00
17-Nov-04,328.84,55.57,--,4550000.00
16-Nov-04,326.16,55.11,--,4550000.00
15-Nov-04,327.78,55.39,--,4450000.00
12-Nov-04,328.8,55.57,--,4450000.00
11-Nov-04,326.73,55.22,--,4450000.00
10-Nov-04,322.99,54.59,--,4450000.00
9-Nov-04,323,54.6,--,4450000.00
8-Nov-04,321.72,54.38,--,4450000.00
5-Nov-04,321.48,54.35,--,4450000.00
4-Nov-04,319.23,53.97,--,4450000.00
3-Nov-04,313.56,53.02,--,4450000.00
2-Nov-04,309.93,52.4,--,4550000.00
1-Nov-04,309.96,52.42,--,4550000.00
29-Oct-04,308.65,52.2,--,4550000.00
28-Oct-04,307.6,52.02,--,4550000.00
27-Oct-04,307.8,52.05,--,4550000.00
26-Oct-04,303.58,51.33,--,4450000.00
25-Oct-04,299.44,50.63,--,4450000.00
22-Oct-04,298.72,50.51,--,4450000.00
21-Oct-04,302.06,51.07,--,4450000.00
20-Oct-04,299.95,50.72,--,4450000.00
19-Oct-04,300.12,50.74,--,4450000.00
18-Oct-04,302.37,51.13,--,4450000.00
15-Oct-04,301.86,51.05,--,4450000.00
14-Oct-04,299.83,50.71,--,4450000.00
13-Oct-04,301.46,50.98,--,4450000.00
12-Oct-04,305.07,51.59,--,4450000.00
11-Oct-04,305.85,51.73,--,4450000.00
8-Oct-04,304.86,51.57,--,4450000.00
7-Oct-04,307.73,52.05,--,4450000.00
6-Oct-04,311.8,52.74,--,4300000.00
5-Oct-04,309,52.26,--,4300000.00
4-Oct-04,310.25,52.47,--,4300000.00
1-Oct-04,309.17,52.3,--,4300000.00
30-Sep-04,304.74,51.55,--,4300000.00
29-Sep-04,302.69,51.2,--,4300000.00
28-Sep-04,300.58,50.85,--,4300000.00
27-Sep-04,298.26,50.45,--,4300000.00
24-Sep-04,300.96,50.91,0.1,4300000.00
23-Sep-04,300.24,50.89,--,4300000.00
22-Sep-04,302.35,51.25,--,4300000.00
21-Sep-04,307.1,52.06,--,4300000.00
20-Sep-04,305.23,51.75,--,4300000.00
17-Sep-04,306.25,51.92,--,4300000.00
16-Sep-04,303.58,51.47,--,4300000.00
15-Sep-04,302.07,51.22,--,4300000.00
14-Sep-04,304.58,51.65,--,4300000.00
13-Sep-04,304.32,51.61,--,4300000.00
10-Sep-04,303.52,51.47,--,4300000.00
9-Sep-04,301.95,51.21,--,4300000.00
8-Sep-04,301.42,51.13,--,4300000.00
7-Sep-04,301.76,51.18,--,4300000.00
3-Sep-04,299.06,50.73,--,4300000.00
2-Sep-04,300.83,51.03,--,4300000.00
1-Sep-04,297.11,50.41,--,4300000.00
31-Aug-04,295.97,50.22,--,4300000.00
30-Aug-04,294.66,50,--,4300000.00
27-Aug-04,296.93,50.39,--,4300000.00
26-Aug-04,296.42,50.31,--,4300000.00
25-Aug-04,296.9,50.39,--,4550000.00
24-Aug-04,294.56,49.99,--,4450000.00
23-Aug-04,293.45,49.8,--,4450000.00
20-Aug-04,294.2,49.94,--,4450000.00
19-Aug-04,291.86,49.54,--,4450000.00
18-Aug-04,293.63,49.85,--,4450000.00
17-Aug-04,289.72,49.19,--,4450000.00
16-Aug-04,289.89,49.22,--,4450000.00
13-Aug-04,284.92,48.38,--,4450000.00
12-Aug-04,284.42,48.29,--,4450000.00
11-Aug-04,289.26,49.11,--,4450000.00
10-Aug-04,290.01,49.23,--,4450000.00
9-Aug-04,285.58,48.48,--,4450000.00
6-Aug-04,284.83,48.36,--,4450000.00
5-Aug-04,291.28,49.45,--,4250000.00
4-Aug-04,296.93,50.41,--,4250000.00
3-Aug-04,296.8,50.39,--,4250000.00
2-Aug-04,299.5,50.85,--,4250000.00
30-Jul-04,298.61,50.7,--,4250000.00
29-Jul-04,298.36,50.66,--,4050000.00
28-Jul-04,296.3,50.31,--,4050000.00
27-Jul-04,295.16,50.12,--,4050000.00
26-Jul-04,291.5,49.51,--,4050000.00
23-Jul-04,292.7,49.71,--,4050000.00
22-Jul-04,295.31,50.15,--,4050000.00
21-Jul-04,296.16,50.3,--,4050000.00
20-Jul-04,300.83,51.09,--,4050000.00
19-Jul-04,298.62,50.72,--,4050000.00
16-Jul-04,299.55,50.88,--,4050000.00
15-Jul-04,300.93,51.12,--,4050000.00
14-Jul-04,299.56,50.89,--,4050000.00
13-Jul-04,300.43,51.04,--,4050000.00
12-Jul-04,300.05,50.97,--,3950000.00
9-Jul-04,299.58,50.89,--,3950000.00
8-Jul-04,296.78,50.41,--,3950000.00
7-Jul-04,299.68,50.9,--,3950000.00
6-Jul-04,298.85,50.76,--,3950000.00
2-Jul-04,300.59,51.05,--,3950000.00
1-Jul-04,303.25,51.51,--,3950000.00
30-Jun-04,307.76,52.28,--,3950000.00
29-Jun-04,306.15,52.01,--,3950000.00
28-Jun-04,303.6,51.58,--,3600000.00
25-Jun-04,304.35,51.71,0.04,3600000.00
24-Jun-04,306.28,52.09,--,3600000.00
23-Jun-04,306.51,52.13,--,3600000.00
22-Jun-04,302.3,51.41,--,3600000.00
21-Jun-04,299.94,51.01,--,3600000.00
18-Jun-04,300.65,51.13,--,3600000.00
17-Jun-04,298.96,50.84,--,3500000.00
16-Jun-04,299.03,50.85,--,3500000.00
15-Jun-04,298.32,50.73,--,3500000.00
14-Jun-04,295.47,50.25,--,3500000.00
10-Jun-04,297.79,50.63,--,3500000.00
9-Jun-04,296.11,50.35,--,3500000.00
8-Jun-04,298.98,50.82,--,3500000.00
7-Jun-04,298.65,50.77,--,3500000.00
4-Jun-04,293.39,49.88,--,3400000.00
3-Jun-04,291.35,49.55,--,3400000.00
2-Jun-04,293.81,49.95,--,3400000.00
1-Jun-04,292.11,49.63,--,3400000.00
28-May-04,291.86,49.6,--,3400000.00
27-May-04,291.98,49.63,--,3400000.00
26-May-04,289.74,49.25,--,3400000.00
25-May-04,289.13,49.15,--,3400000.00
24-May-04,284.41,48.37,--,3400000.00
21-May-04,282.56,48.07,--,3400000.00
20-May-04,280.2,47.66,--,3400000.00
19-May-04,281.05,47.81,--,3400000.00
18-May-04,281.08,47.84,--,3400000.00
17-May-04,278.27,47.37,--,3400000.00
14-May-04,281.84,47.97,--,3400000.00
13-May-04,282.37,48.05,--,3400000.00
12-May-04,282.59,48.1,--,3400000.00
11-May-04,281.44,47.88,--,3400000.00
10-May-04,279.2,47.52,--,3400000.00
7-May-04,282.77,48.12,--,3400000.00
6-May-04,286.79,48.8,--,3250000.00
5-May-04,288.38,49.06,--,3250000.00
4-May-04,288.06,49.02,--,3250000.00
3-May-04,287.26,48.88,--,3250000.00
30-Apr-04,284.61,48.43,--,3250000.00
29-Apr-04,286.5,48.74,--,3250000.00
28-Apr-04,289.08,49.16,--,3250000.00
27-Apr-04,293.87,49.94,--,3250000.00
26-Apr-04,293.51,49.88,--,3250000.00
23-Apr-04,294.95,50.12,--,3250000.00
22-Apr-04,295.74,50.28,--,3250000.00
21-Apr-04,290.29,49.34,--,3250000.00
20-Apr-04,287.62,48.91,--,3250000.00
19-Apr-04,291.76,49.62,--,3250000.00
16-Apr-04,292.26,49.73,--,3250000.00
15-Apr-04,289.71,49.26,--,3250000.00
14-Apr-04,289.02,49.12,--,3250000.00
13-Apr-04,290.23,49.32,--,3550000.00
12-Apr-04,294.72,50.08,--,3550000.00
8-Apr-04,292.62,49.73,--,3550000.00
7-Apr-04,293.04,49.81,--,3550000.00
6-Apr-04,294.74,50.11,--,3550000.00
5-Apr-04,295.07,50.15,--,3550000.00
2-Apr-04,292.04,49.63,--,3550000.00
1-Apr-04,287.62,48.89,--,3550000.00
31-Mar-04,286.36,48.69,--,3550000.00
30-Mar-04,286.17,48.66,--,3550000.00
29-Mar-04,284.03,48.31,--,3550000.00
26-Mar-04,280.11,47.64,0.11,3550000.00
25-Mar-04,279.51,47.68,--,3550000.00
24-Mar-04,274.31,46.8,--,3550000.00
23-Mar-04,274.5,46.82,--,3550000.00
22-Mar-04,274.77,46.85,--,3550000.00
19-Mar-04,279.43,47.64,--,3550000.00
18-Mar-04,282.5,48.17,--,3550000.00
17-Mar-04,283.01,48.25,--,3550000.00
16-Mar-04,278.77,47.53,--,3550000.00
15-Mar-04,276.98,47.21,--,3550000.00
12-Mar-04,281.13,47.92,--,3550000.00
11-Mar-04,276.6,47.14,--,3550000.00
10-Mar-04,280.51,47.8,--,3550000.00
9-Mar-04,285.74,48.71,--,3550000.00
8-Mar-04,288.17,49.11,--,3550000.00
5-Mar-04,292.63,49.86,--,3550000.00
4-Mar-04,292.59,49.85,--,3550000.00
3-Mar-04,291.65,49.69,--,3550000.00
2-Mar-04,290.67,49.52,--,3550000.00
1-Mar-04,292.16,49.77,--,3550000.00
27-Feb-04,289.79,49.37,--,3550000.00
26-Feb-04,289.61,49.34,--,3550000.00
25-Feb-04,289.5,49.34,--,3550000.00
24-Feb-04,288.76,49.22,--,3550000.00
23-Feb-04,289.74,49.4,--,3550000.00
20-Feb-04,290.67,49.57,--,3550000.00
19-Feb-04,291.81,49.77,--,3550000.00
18-Feb-04,293.69,50.09,--,3550000.00
17-Feb-04,295.56,50.4,--,3550000.00
13-Feb-04,292.76,49.93,--,3550000.00
12-Feb-04,294.75,50.27,--,3550000.00
11-Feb-04,295.59,50.4,--,3550000.00
10-Feb-04,292.03,49.79,--,3550000.00
9-Feb-04,291.58,49.71,--,3550000.00
6-Feb-04,293.04,49.97,--,3550000.00
5-Feb-04,290.29,49.5,--,3550000.00
4-Feb-04,287.85,49.08,--,3550000.00
3-Feb-04,289.81,49.4,--,3550000.00
2-Feb-04,291.15,49.62,--,3550000.00
30-Jan-04,291.22,49.63,--,3550000.00
29-Jan-04,291.99,49.75,--,3400000.00
28-Jan-04,292.49,49.84,--,3400000.00
27-Jan-04,296.81,50.57,--,3400000.00
26-Jan-04,298.92,50.95,--,3400000.00
23-Jan-04,294.95,50.28,--,3200000.00
22-Jan-04,296.63,50.57,--,3200000.00
21-Jan-04,298.1,50.83,--,3200000.00
20-Jan-04,295.68,50.42,--,3200000.00
16-Jan-04,298.27,50.9,--,3200000.00
15-Jan-04,293.15,50.04,--,3200000.00
14-Jan-04,292.6,49.95,--,3200000.00
13-Jan-04,289.29,49.4,--,3200000.00
12-Jan-04,290.92,49.66,--,3900000.00
9-Jan-04,289.42,49.41,--,3900000.00
8-Jan-04,292.37,49.91,--,3900000.00
7-Jan-04,290.32,49.57,--,3800000.00
6-Jan-04,289.5,49.45,--,3800000.00
5-Jan-04,290.13,49.55,--,3650000.00
2-Jan-04,286.3,48.91,--,3650000.00
31-Dec-03,286.84,49,0.01,3650000.00
