As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Dec 13, 2017","1,242.23",65.74,--,"626,200,000.00"
"Dec 12, 2017","1,239.88",65.62,--,"626,200,000.00"
"Dec 11, 2017","1,239.49",65.59,--,"626,200,000.00"
"Dec 08, 2017","1,233.71",65.29,--,"626,200,000.00"
"Dec 07, 2017","1,229.24",65.05,--,"626,000,000.00"
"Dec 06, 2017","1,226.57",64.91,--,"626,000,000.00"
"Dec 05, 2017","1,234.43",65.32,--,"626,000,000.00"
"Dec 04, 2017","1,237.04",65.46,--,"626,000,000.00"
"Dec 01, 2017","1,233.18",65.26,--,"626,000,000.00"
"Nov 30, 2017","1,243.33",65.80,--,"626,000,000.00"
"Nov 29, 2017","1,240.60",65.65,--,"626,000,000.00"
"Nov 28, 2017","1,239.13",65.58,--,"626,000,000.00"
"Nov 27, 2017","1,240.06",65.63,--,"626,000,000.00"
"Nov 24, 2017","1,244.29",65.85,--,"626,000,000.00"
"Nov 22, 2017","1,233.82",65.30,--,"626,000,000.00"
"Nov 21, 2017","1,227.69",64.97,--,"626,000,000.00"
"Nov 20, 2017","1,222.35",64.69,--,"626,000,000.00"
"Nov 17, 2017","1,220.52",64.59,--,"626,000,000.00"
"Nov 16, 2017","1,220.06",64.57,--,"619,400,000.00"
"Nov 15, 2017","1,211.78",64.13,--,"616,800,000.00"
"Nov 14, 2017","1,218.97",64.50,--,"615,800,000.00"
"Nov 13, 2017","1,218.88",64.50,--,"615,800,000.00"
"Nov 10, 2017","1,227.72",64.96,--,"615,800,000.00"
"Nov 09, 2017","1,229.21",65.04,--,"615,800,000.00"
"Nov 08, 2017","1,235.64",65.38,--,"612,400,000.00"
"Nov 07, 2017","1,232.94",65.24,--,"612,400,000.00"
"Nov 06, 2017","1,232.44",65.21,--,"609,400,000.00"
"Nov 03, 2017","1,233.15",65.25,--,"609,400,000.00"
"Nov 02, 2017","1,235.99",65.40,--,"609,000,000.00"
"Nov 01, 2017","1,233.66",65.27,--,"609,000,000.00"
"Oct 31, 2017","1,229.47",65.05,--,"609,000,000.00"
"Oct 30, 2017","1,227.41",64.94,--,"609,000,000.00"
"Oct 27, 2017","1,221.23",64.61,--,"609,000,000.00"
"Oct 26, 2017","1,222.06",64.66,--,"608,000,000.00"
"Oct 25, 2017","1,221.72",64.64,--,"603,200,000.00"
"Oct 24, 2017","1,223.38",64.73,--,"603,200,000.00"
"Oct 23, 2017","1,224.33",64.78,--,"603,200,000.00"
"Oct 20, 2017","1,224.86",64.81,--,"603,200,000.00"
"Oct 19, 2017","1,229.80",65.07,--,"603,200,000.00"
"Oct 18, 2017","1,227.31",64.94,--,"601,200,000.00"
"Oct 17, 2017","1,224.67",64.80,--,"596,200,000.00"
"Oct 16, 2017","1,230.40",65.10,--,"596,200,000.00"
"Oct 13, 2017","1,229.97",65.08,--,"596,200,000.00"
"Oct 12, 2017","1,224.58",64.79,--,"596,200,000.00"
"Oct 11, 2017","1,222.27",64.67,--,"590,600,000.00"
"Oct 10, 2017","1,220.78",64.59,--,"587,400,000.00"
"Oct 09, 2017","1,211.88",64.12,--,"587,400,000.00"
"Oct 06, 2017","1,209.47",63.99,--,"582,800,000.00"
"Oct 05, 2017","1,210.49",64.05,--,"582,800,000.00"
"Oct 04, 2017","1,212.77",64.17,--,"575,600,000.00"
"Oct 03, 2017","1,213.11",64.19,--,"575,600,000.00"
"Oct 02, 2017","1,209.20",63.98,--,"575,600,000.00"
"Sep 29, 2017","1,210.78",64.06,--,"570,200,000.00"
"Sep 28, 2017","1,204.15",63.71,--,"564,200,000.00"
"Sep 27, 2017","1,197.31",63.35,--,"564,200,000.00"
"Sep 26, 2017","1,197.13",63.33,--,"564,200,000.00"
"Sep 25, 2017","1,205.94",63.80,--,"561,000,000.00"
"Sep 22, 2017","1,210.01",64.02,--,"561,000,000.00"
"Sep 21, 2017","1,204.93",63.74,--,"557,000,000.00"
"Sep 20, 2017","1,212.71",64.16,--,"557,000,000.00"
"Sep 19, 2017","1,210.77",64.06,--,"551,600,000.00"
"Sep 18, 2017","1,203.57",63.67,--,"551,600,000.00"
"Sep 15, 2017","1,202.24",63.60,--,"551,600,000.00"
"Sep 14, 2017","1,198.84",63.43,--,"551,600,000.00"
"Sep 13, 2017","1,202.20",63.60,--,"551,600,000.00"
"Sep 12, 2017","1,205.19",63.76,--,"548,600,000.00"
"Sep 11, 2017","1,202.56",63.62,--,"548,600,000.00"
"Sep 08, 2017","1,195.75",63.26,--,"541,600,000.00"
"Sep 07, 2017","1,192.96",63.11,--,"541,600,000.00"
"Sep 06, 2017","1,183.48",62.61,--,"538,600,000.00"
"Sep 05, 2017","1,182.35",62.55,--,"538,600,000.00"
"Sep 01, 2017","1,185.65",62.72,--,"538,600,000.00"
"Aug 31, 2017","1,180.77",62.46,--,"538,600,000.00"
"Aug 30, 2017","1,173.26",62.06,--,"538,600,000.00"
"Aug 29, 2017","1,177.15",62.27,--,"535,600,000.00"
"Aug 28, 2017","1,180.21",62.43,--,"535,600,000.00"
"Aug 25, 2017","1,178.23",62.33,--,"535,600,000.00"
"Aug 24, 2017","1,173.06",62.06,--,"533,200,000.00"
"Aug 23, 2017","1,174.41",62.13,--,"533,200,000.00"
"Aug 22, 2017","1,173.54",62.08,--,"533,200,000.00"
"Aug 21, 2017","1,171.94",62.00,--,"533,200,000.00"
"Aug 18, 2017","1,170.89",61.94,--,"533,200,000.00"
"Aug 17, 2017","1,176.45",62.24,--,"533,200,000.00"
"Aug 16, 2017","1,175.48",62.19,--,"533,200,000.00"
"Aug 15, 2017","1,170.60",61.93,--,"533,200,000.00"
"Aug 14, 2017","1,174.34",62.13,--,"533,200,000.00"
"Aug 11, 2017","1,169.73",61.88,--,"533,200,000.00"
"Aug 10, 2017","1,176.27",62.23,--,"533,200,000.00"
"Aug 09, 2017","1,181.09",62.49,--,"533,200,000.00"
"Aug 08, 2017","1,187.05",62.80,--,"533,200,000.00"
