As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
12-Apr-18,"2,190.73",171.59,--,24850000.00
11-Apr-18,"2,162.58",169.39,--,24850000.00
10-Apr-18,"2,170.42",170.01,--,24850000.00
9-Apr-18,"2,116.34",165.78,--,24850000.00
6-Apr-18,"2,101.50",164.63,--,24900000.00
5-Apr-18,"2,152.61",168.62,--,24500000.00
4-Apr-18,"2,146.77",168.17,--,24500000.00
3-Apr-18,"2,114.46",165.65,--,24600000.00
2-Apr-18,"2,092.30",163.91,--,24850000.00
29-Mar-18,"2,147.59",168.25,--,24850000.00
28-Mar-18,"2,102.02",164.68,--,24850000.00
27-Mar-18,"2,122.22",166.27,--,24900000.00
26-Mar-18,"2,200.82",172.42,--,24900000.00
23-Mar-18,"2,114.44",165.66,--,24800000.00
22-Mar-18,"2,173.85",170.32,0.37,24450000.00
21-Mar-18,"2,231.23",175.19,--,24450000.00
20-Mar-18,"2,242.37",176.07,--,24550000.00
19-Mar-18,"2,245.34",176.3,--,24550000.00
16-Mar-18,"2,295.81",180.27,--,24750000.00
15-Mar-18,"2,298.21",180.46,--,24750000.00
14-Mar-18,"2,298.36",180.47,--,24550000.00
13-Mar-18,"2,298.41",180.48,--,24550000.00
12-Mar-18,"2,329.04",182.88,--,24500000.00
9-Mar-18,"2,319.43",182.14,--,24500000.00
8-Mar-18,"2,274.12",178.58,--,24500000.00
7-Mar-18,"2,265.32",177.89,--,24500000.00
6-Mar-18,"2,251.71",176.83,--,24450000.00
5-Mar-18,"2,241.34",176.02,--,24450000.00
2-Mar-18,"2,219.43",174.31,--,24250000.00
1-Mar-18,"2,194.73",172.38,--,24150000.00
28-Feb-18,"2,229.66",175.12,--,24150000.00
27-Feb-18,"2,244.73",176.3,--,24150000.00
26-Feb-18,"2,265.18",177.9,--,24100000.00
23-Feb-18,"2,229.39",175.1,--,24000000.00
22-Feb-18,"2,182.86",171.46,--,24000000.00
21-Feb-18,"2,182.03",171.4,--,24000000.00
20-Feb-18,"2,193.30",172.28,--,24000000.00
16-Feb-18,"2,185.63",171.69,--,24000000.00
15-Feb-18,"2,192.70",172.24,--,23850000.00
14-Feb-18,"2,149.94",168.9,--,23800000.00
13-Feb-18,"2,105.99",165.45,--,23800000.00
12-Feb-18,"2,099.24",164.92,--,23750000.00
9-Feb-18,"2,061.73",161.99,--,23950000.00
8-Feb-18,"2,011.89",158.08,--,23950000.00
7-Feb-18,"2,096.51",164.72,--,23950000.00
6-Feb-18,"2,127.49",167.15,--,24050000.00
5-Feb-18,"2,068.77",162.55,--,24050000.00
2-Feb-18,"2,155.79",169.38,--,24250000.00
1-Feb-18,"2,220.71",174.46,--,24250000.00
31-Jan-18,"2,219.22",174.35,--,24300000.00
30-Jan-18,"2,205.89",173.3,--,24350000.00
29-Jan-18,"2,229.70",175.17,--,24350000.00
26-Jan-18,"2,249.00",176.7,--,24450000.00
25-Jan-18,"2,210.44",173.67,--,24450000.00
24-Jan-18,"2,218.43",174.3,--,24500000.00
23-Jan-18,"2,240.68",176.05,--,24500000.00
22-Jan-18,"2,224.36",174.77,--,24500000.00
19-Jan-18,"2,205.69",173.31,--,24550000.00
18-Jan-18,"2,202.94",173.1,--,24550000.00
17-Jan-18,"2,199.88",172.86,--,24550000.00
16-Jan-18,"2,166.12",170.21,--,24550000.00
12-Jan-18,"2,176.94",171.07,--,24650000.00
11-Jan-18,"2,163.90",170.04,--,24600000.00
10-Jan-18,"2,151.97",169.11,--,24600000.00
9-Jan-18,"2,158.87",169.65,--,24600000.00
8-Jan-18,"2,165.89",170.21,--,24600000.00
5-Jan-18,"2,157.00",169.51,--,24600000.00
4-Jan-18,"2,135.73",167.85,--,24550000.00
3-Jan-18,"2,124.77",166.99,--,24500000.00
2-Jan-18,"2,102.99",165.28,--,24600000.00
29-Dec-17,"2,069.67",162.67,--,24950000.00
28-Dec-17,"2,083.66",163.77,--,24900000.00
27-Dec-17,"2,081.63",163.61,--,24900000.00
26-Dec-17,"2,078.70",163.38,--,24900000.00
22-Dec-17,"2,094.90",164.66,--,24900000.00
21-Dec-17,"2,096.83",164.82,--,24950000.00
20-Dec-17,"2,103.98",165.38,--,24900000.00
19-Dec-17,"2,105.50",165.5,0.31,24900000.00
18-Dec-17,"2,115.52",166.6,--,24900000.00
15-Dec-17,"2,094.49",164.95,--,25000000.00
14-Dec-17,"2,068.91",162.94,--,25000000.00
13-Dec-17,"2,070.87",163.1,--,25000000.00
12-Dec-17,"2,067.75",162.86,--,25000000.00
11-Dec-17,"2,076.50",163.55,--,25000000.00
8-Dec-17,"2,058.23",162.12,--,25000000.00
7-Dec-17,"2,049.76",161.45,--,25000000.00
