As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 07, 2018","1,399.11",114.00,--,"6,000,000.00"
"Mar 06, 2018","1,396.96",113.82,--,"6,000,000.00"
"Mar 05, 2018","1,391.81",113.41,--,"6,000,000.00"
"Mar 02, 2018","1,377.29",112.23,--,"6,000,000.00"
"Mar 01, 2018","1,370.64",111.69,--,"6,000,000.00"
"Feb 28, 2018","1,389.51",113.23,--,"5,950,000.00"
"Feb 27, 2018","1,402.99",114.32,--,"5,900,000.00"
"Feb 26, 2018","1,419.85",115.70,--,"5,900,000.00"
"Feb 23, 2018","1,404.30",114.44,--,"5,900,000.00"
"Feb 22, 2018","1,381.84",112.61,--,"5,900,000.00"
"Feb 21, 2018","1,378.85",112.37,--,"5,900,000.00"
"Feb 20, 2018","1,387.94",113.11,--,"5,900,000.00"
"Feb 16, 2018","1,394.28",113.63,--,"5,900,000.00"
"Feb 15, 2018","1,392.13",113.46,--,"5,900,000.00"
"Feb 14, 2018","1,373.72",111.96,--,"5,900,000.00"
"Feb 13, 2018","1,355.28",110.46,--,"5,900,000.00"
"Feb 12, 2018","1,354.82",110.43,--,"5,900,000.00"
"Feb 09, 2018","1,337.97",109.06,--,"5,900,000.00"
"Feb 08, 2018","1,316.54",107.32,--,"5,900,000.00"
"Feb 07, 2018","1,364.76",111.24,--,"5,900,000.00"
"Feb 06, 2018","1,371.66",111.81,--,"5,900,000.00"
"Feb 05, 2018","1,351.63",110.18,--,"5,900,000.00"
"Feb 02, 2018","1,404.76",114.51,--,"5,900,000.00"
"Feb 01, 2018","1,436.04",117.06,--,"5,900,000.00"
"Jan 31, 2018","1,437.14",117.15,--,"5,900,000.00"
"Jan 30, 2018","1,436.96",117.14,--,"5,900,000.00"
"Jan 29, 2018","1,452.01",118.37,--,"5,900,000.00"
"Jan 26, 2018","1,462.97",119.26,--,"5,900,000.00"
"Jan 25, 2018","1,445.89",117.87,--,"5,900,000.00"
"Jan 24, 2018","1,445.34",117.83,--,"5,900,000.00"
"Jan 23, 2018","1,447.85",118.04,--,"5,900,000.00"
"Jan 22, 2018","1,446.96",117.97,--,"5,900,000.00"
"Jan 19, 2018","1,436.30",117.10,--,"5,850,000.00"
"Jan 18, 2018","1,422.81",116.01,--,"5,850,000.00"
"Jan 17, 2018","1,428.53",116.47,--,"5,850,000.00"
"Jan 16, 2018","1,412.61",115.18,--,"5,850,000.00"
"Jan 12, 2018","1,415.96",115.46,--,"5,850,000.00"
"Jan 11, 2018","1,404.51",114.53,--,"5,850,000.00"
"Jan 10, 2018","1,395.83",113.83,--,"5,850,000.00"
"Jan 09, 2018","1,401.02",114.25,--,"5,850,000.00"
"Jan 08, 2018","1,398.66",114.06,--,"5,850,000.00"
"Jan 05, 2018","1,392.13",113.53,--,"5,850,000.00"
"Jan 04, 2018","1,383.10",112.80,--,"5,850,000.00"
"Jan 03, 2018","1,375.38",112.17,--,"5,850,000.00"
"Jan 02, 2018","1,368.31",111.60,--,"5,800,000.00"
"Dec 29, 2017","1,360.74",110.99,--,"5,800,000.00"
"Dec 28, 2017","1,366.67",111.47,--,"5,800,000.00"
"Dec 27, 2017","1,364.37",111.29,--,"5,800,000.00"
"Dec 26, 2017","1,362.62",111.14,--,"5,800,000.00"
"Dec 22, 2017","1,363.85",111.25,--,"5,800,000.00"
"Dec 21, 2017","1,363.71",111.24,--,"5,750,000.00"
"Dec 20, 2017","1,362.48",111.14,--,"5,750,000.00"
"Dec 19, 2017","1,363.00",111.18,0.45,"5,750,000.00"
"Dec 18, 2017","1,366.78",111.95,--,"5,750,000.00"
"Dec 15, 2017","1,360.32",111.42,--,"5,750,000.00"
"Dec 14, 2017","1,346.29",110.28,--,"5,750,000.00"
"Dec 13, 2017","1,351.33",110.69,--,"5,750,000.00"
"Dec 12, 2017","1,350.20",110.60,--,"5,750,000.00"
"Dec 11, 2017","1,350.75",110.65,--,"5,700,000.00"
"Dec 08, 2017","1,345.73",110.24,--,"5,700,000.00"
"Dec 07, 2017","1,338.95",109.69,--,"5,700,000.00"
"Dec 06, 2017","1,336.08",109.46,--,"5,700,000.00"
"Dec 05, 2017","1,337.03",109.54,--,"5,700,000.00"
"Dec 04, 2017","1,343.13",110.04,--,"5,700,000.00"
"Dec 01, 2017","1,343.48",110.07,--,"5,700,000.00"
"Nov 30, 2017","1,344.53",110.16,--,"5,700,000.00"
"Nov 29, 2017","1,335.17",109.39,--,"5,700,000.00"
"Nov 28, 2017","1,336.90",109.54,--,"6,000,000.00"
"Nov 27, 2017","1,324.90",108.56,--,"5,950,000.00"
"Nov 24, 2017","1,322.79",108.39,--,"5,950,000.00"
"Nov 22, 2017","1,321.51",108.29,--,"5,950,000.00"
"Nov 21, 2017","1,323.08",108.42,--,"5,950,000.00"
"Nov 20, 2017","1,317.96",108.00,--,"5,950,000.00"
"Nov 17, 2017","1,316.34",107.87,--,"5,950,000.00"
"Nov 16, 2017","1,319.53",108.13,--,"5,950,000.00"
"Nov 15, 2017","1,306.05",107.03,--,"5,950,000.00"
"Nov 14, 2017","1,314.52",107.73,--,"5,950,000.00"
"Nov 13, 2017","1,313.07",107.61,--,"5,950,000.00"
"Nov 10, 2017","1,310.73",107.42,--,"5,950,000.00"
"Nov 09, 2017","1,311.14",107.46,--,"5,950,000.00"
"Nov 08, 2017","1,318.37",108.05,--,"5,950,000.00"
"Nov 07, 2017","1,315.67",107.83,--,"5,950,000.00"
"Nov 06, 2017","1,315.93",107.85,--,"5,950,000.00"
"Nov 03, 2017","1,319.27",108.13,--,"5,950,000.00"
"Nov 02, 2017","1,315.17",107.80,--,"5,950,000.00"
"Nov 01, 2017","1,315.54",107.83,--,"5,950,000.00"
"Oct 31, 2017","1,314.53",107.75,--,"5,950,000.00"
"Oct 30, 2017","1,310.71",107.44,--,"5,950,000.00"
"Oct 27, 2017","1,316.01",107.88,--,"5,950,000.00"
