As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 09, 2010",320.88,102.69,--,"11,700,000.00"
"Mar 08, 2010",320.18,102.49,--,"11,700,000.00"
"Mar 05, 2010",319.06,102.10,--,"11,700,000.00"
"Mar 04, 2010",318.04,101.77,--,"11,700,000.00"
"Mar 03, 2010",317.37,101.62,--,"11,600,000.00"
"Mar 02, 2010",317.54,101.69,--,"11,500,000.00"
"Mar 01, 2010",317.27,101.56,0.49,"11,500,000.00"
"Feb 26, 2010",315.61,101.47,--,"11,500,000.00"
"Feb 25, 2010",313.55,100.76,--,"11,500,000.00"
"Feb 24, 2010",312.50,100.42,--,"11,400,000.00"
"Feb 23, 2010",311.53,100.21,--,"11,400,000.00"
"Feb 22, 2010",311.81,100.29,--,"11,400,000.00"
"Feb 19, 2010",311.18,100.02,--,"11,400,000.00"
"Feb 18, 2010",310.90,99.91,--,"11,400,000.00"
"Feb 17, 2010",310.98,99.97,--,"11,400,000.00"
"Feb 16, 2010",310.61,99.85,--,"11,200,000.00"
"Feb 12, 2010",310.47,99.80,--,"11,200,000.00"
"Feb 11, 2010",310.87,99.92,--,"11,200,000.00"
"Feb 10, 2010",309.82,99.57,--,"11,200,000.00"
"Feb 09, 2010",309.19,99.40,--,"11,200,000.00"
"Feb 08, 2010",308.91,99.41,--,"11,200,000.00"
"Feb 05, 2010",308.91,99.30,--,"12,000,000.00"
"Feb 04, 2010",309.71,99.59,--,"12,000,000.00"
"Feb 03, 2010",311.31,100.14,--,"12,200,000.00"
"Feb 02, 2010",311.51,100.24,--,"12,200,000.00"
"Feb 01, 2010",311.08,100.12,0.48,"12,200,000.00"
"Jan 29, 2010",311.01,100.51,--,"12,200,000.00"
"Jan 28, 2010",311.05,100.45,--,"12,200,000.00"
"Jan 27, 2010",311.78,100.75,--,"12,200,000.00"
"Jan 26, 2010",312.41,100.98,--,"12,200,000.00"
"Jan 25, 2010",312.84,101.15,--,"12,000,000.00"
"Jan 22, 2010",312.00,100.86,--,"12,000,000.00"
"Jan 21, 2010",312.75,101.09,--,"12,000,000.00"
"Jan 20, 2010",313.87,101.42,--,"12,000,000.00"
"Jan 19, 2010",313.96,101.52,--,"12,000,000.00"
"Jan 15, 2010",313.67,101.39,--,"12,000,000.00"
"Jan 14, 2010",313.57,101.40,--,"12,000,000.00"
"Jan 13, 2010",314.06,101.57,--,"11,600,000.00"
"Jan 12, 2010",314.92,101.92,--,"11,500,000.00"
"Jan 11, 2010",314.47,101.74,--,"11,500,000.00"
"Jan 08, 2010",313.29,101.27,--,"11,300,000.00"
"Jan 07, 2010",313.14,101.22,--,"11,300,000.00"
"Jan 06, 2010",313.24,101.26,--,"11,300,000.00"
"Jan 05, 2010",313.09,101.29,--,"11,300,000.00"
"Jan 04, 2010",310.69,100.80,--,"11,300,000.00"
"Dec 31, 2009",310.55,100.38,--,"11,300,000.00"
"Dec 30, 2009",310.55,100.34,--,"11,300,000.00"
"Dec 29, 2009",310.60,100.36,0.42,"11,300,000.00"
"Dec 28, 2009",310.34,100.76,--,"11,300,000.00"
"Dec 24, 2009",310.54,100.77,--,"11,100,000.00"
"Dec 23, 2009",310.33,100.77,--,"11,100,000.00"
"Dec 22, 2009",310.48,100.75,--,"11,100,000.00"
"Dec 21, 2009",310.66,100.87,--,"10,800,000.00"
