As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
7-Mar-18,"2,001.15",106.36,--,504000000.00
6-Mar-18,"2,002.32",106.42,--,503800000.00
5-Mar-18,"2,001.22",106.36,--,511300000.00
2-Mar-18,"2,003.27",106.47,--,513100000.00
1-Mar-18,"2,009.14",106.78,0.24,512700000.00
28-Feb-18,"2,003.63",106.72,--,517100000.00
27-Feb-18,"1,999.70",106.51,--,517300000.00
26-Feb-18,"2,004.42",106.77,--,503300000.00
23-Feb-18,"2,002.87",106.68,--,503200000.00
22-Feb-18,"1,998.36",106.45,--,503200000.00
21-Feb-18,"1,996.33",106.34,--,502600000.00
20-Feb-18,"2,001.38",106.61,--,502500000.00
16-Feb-18,"2,002.96",106.7,--,501700000.00
15-Feb-18,"2,000.76",106.57,--,501400000.00
14-Feb-18,"1,997.24",106.4,--,501400000.00
13-Feb-18,"2,005.19",106.82,--,501300000.00
12-Feb-18,"2,004.93",106.81,--,502300000.00
9-Feb-18,"2,007.17",106.93,--,501600000.00
8-Feb-18,"2,006.52",106.9,--,501300000.00
7-Feb-18,"2,009.05",107.03,--,500300000.00
6-Feb-18,"2,016.27",107.42,--,499800000.00
5-Feb-18,"2,015.15",107.35,--,499700000.00
2-Feb-18,"2,009.11",107.04,--,499200000.00
1-Feb-18,"2,017.33",107.48,0.24,497300000.00
31-Jan-18,"2,022.80",108.01,--,496100000.00
30-Jan-18,"2,021.30",107.93,--,496100000.00
29-Jan-18,"2,024.37",108.09,--,495000000.00
26-Jan-18,"2,026.96",108.23,--,494600000.00
25-Jan-18,"2,031.16",108.45,--,490600000.00
24-Jan-18,"2,026.10",108.18,--,490600000.00
23-Jan-18,"2,029.05",108.35,--,490600000.00
22-Jan-18,"2,025.07",108.14,--,492600000.00
19-Jan-18,"2,027.27",108.26,--,493000000.00
18-Jan-18,"2,030.32",108.42,--,493000000.00
17-Jan-18,"2,033.68",108.6,--,493000000.00
16-Jan-18,"2,037.33",108.8,--,493000000.00
12-Jan-18,"2,036.17",108.74,--,492800000.00
11-Jan-18,"2,036.71",108.76,--,492500000.00
10-Jan-18,"2,033.97",108.62,--,492600000.00
9-Jan-18,"2,033.83",108.61,--,492500000.00
8-Jan-18,"2,039.97",108.94,--,492100000.00
5-Jan-18,"2,039.83",108.93,--,492100000.00
4-Jan-18,"2,042.00",109.05,--,491600000.00
3-Jan-18,"2,042.81",109.09,--,486300000.00
2-Jan-18,"2,040.48",108.96,--,485200000.00
29-Dec-17,"2,046.37",109.26,--,485200000.00
28-Dec-17,"2,043.55",109.12,--,483700000.00
27-Dec-17,"2,044.89",109.2,--,483300000.00
26-Dec-17,"2,038.66",108.86,--,483100000.00
22-Dec-17,"2,035.93",108.72,--,483100000.00
21-Dec-17,"2,036.38",108.75,0.04,482800000.00
20-Dec-17,"2,033.90",108.65,--,481700000.00
19-Dec-17,"2,037.67",108.85,--,481500000.00
18-Dec-17,"2,044.98",109.24,--,481300000.00
15-Dec-17,"2,048.32",109.42,--,481000000.00
14-Dec-17,"2,048.67",109.44,--,481000000.00
13-Dec-17,"2,047.54",109.38,--,481000000.00
12-Dec-17,"2,041.21",109.04,--,481500000.00
11-Dec-17,"2,042.10",109.09,--,480000000.00
8-Dec-17,"2,042.43",109.11,--,479900000.00
7-Dec-17,"2,042.53",109.12,--,479600000.00
6-Dec-17,"2,046.82",109.35,--,479300000.00
5-Dec-17,"2,044.26",109.21,--,479100000.00
4-Dec-17,"2,041.60",109.07,--,479100000.00
1-Dec-17,"2,042.83",109.14,0.23,479100000.00
30-Nov-17,"2,037.02",109.05,--,478900000.00
