As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
6-Apr-04,717.25,106.99,--,1200000.00
5-Apr-04,716.24,106.84,--,1200000.00
2-Apr-04,714.93,106.65,--,1200000.00
1-Apr-04,721.82,107.68,--,1200000.00
31-Mar-04,716.27,106.85,--,1200000.00
30-Mar-04,717.33,107.01,--,1200000.00
29-Mar-04,714.08,106.52,--,1200000.00
26-Mar-04,704.19,105.06,0.5,1200000.00
25-Mar-04,704.87,105.65,--,1200000.00
24-Mar-04,696.44,104.39,--,1200000.00
23-Mar-04,701.71,105.19,--,1200000.00
22-Mar-04,701.79,105.2,--,1200000.00
19-Mar-04,710.48,106.51,--,1200000.00
18-Mar-04,719.12,107.8,--,1200000.00
17-Mar-04,720.11,107.95,--,1200000.00
16-Mar-04,711.95,106.73,--,1200000.00
15-Mar-04,706.07,105.85,--,1200000.00
12-Mar-04,715.85,107.32,--,1200000.00
11-Mar-04,706.8,105.97,--,1200000.00
10-Mar-04,717.09,107.51,--,1200000.00
9-Mar-04,727.43,109.06,--,1200000.00
8-Mar-04,732.54,109.83,--,1200000.00
5-Mar-04,736.41,110.41,--,1200000.00
4-Mar-04,729.16,109.33,--,1200000.00
3-Mar-04,727.31,109.05,--,1200000.00
2-Mar-04,723.7,108.52,--,1200000.00
1-Mar-04,727.7,109.12,--,1200000.00
27-Feb-04,722.09,108.28,--,1200000.00
26-Feb-04,719.16,107.84,--,1200000.00
25-Feb-04,718.03,107.68,--,1200000.00
24-Feb-04,713.31,106.97,--,1200000.00
23-Feb-04,716.63,107.47,--,1200000.00
20-Feb-04,717.33,107.58,--,1200000.00
19-Feb-04,720.27,108.02,--,1200000.00
18-Feb-04,720.93,108.12,--,1200000.00
17-Feb-04,723.98,108.58,--,1200000.00
13-Feb-04,718.6,107.78,--,1200000.00
12-Feb-04,719.22,107.88,--,1200000.00
11-Feb-04,721.99,108.29,--,1200000.00
10-Feb-04,709.87,106.48,--,1200000.00
9-Feb-04,709.23,106.39,--,1200000.00
6-Feb-04,710.9,106.64,--,1200000.00
5-Feb-04,699.42,104.93,--,1350000.00
4-Feb-04,701.44,105.23,--,1350000.00
3-Feb-04,706.47,105.98,--,1200000.00
