As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Sep 22, 2014","1,965.78",140.04,--,"170,650,000.00"
"Sep 19, 2014","1,992.78",141.96,--,"172,300,000.00"
"Sep 18, 2014","2,004.60",142.80,--,"172,500,000.00"
"Sep 17, 2014","1,998.72",142.38,--,"170,050,000.00"
"Sep 16, 2014","1,999.08",142.41,--,"161,800,000.00"
"Sep 15, 2014","1,987.81",141.61,--,"161,800,000.00"
"Sep 12, 2014","1,996.50",142.23,--,"161,800,000.00"
"Sep 11, 2014","2,015.36",143.57,--,"161,800,000.00"
"Sep 10, 2014","2,006.56",142.94,--,"161,800,000.00"
"Sep 09, 2014","2,003.37",142.72,--,"161,800,000.00"
"Sep 08, 2014","2,019.71",143.88,--,"161,800,000.00"
"Sep 05, 2014","2,020.88",143.97,--,"161,600,000.00"
"Sep 04, 2014","2,012.88",143.39,--,"161,450,000.00"
"Sep 03, 2014","2,019.42",143.87,--,"160,350,000.00"
"Sep 02, 2014","2,024.35",144.22,--,"153,000,000.00"
"Aug 29, 2014","2,017.86",143.76,--,"153,000,000.00"
"Aug 28, 2014","2,006.64",142.96,--,"153,000,000.00"
"Aug 27, 2014","2,010.62",143.24,--,"153,000,000.00"
"Aug 26, 2014","2,012.28",143.36,--,"153,000,000.00"
"Aug 25, 2014","2,006.05",142.93,--,"153,000,000.00"
"Aug 22, 2014","1,999.58",142.47,--,"152,950,000.00"
"Aug 21, 2014","2,001.10",142.58,--,"152,750,000.00"
"Aug 20, 2014","1,997.73",142.35,--,"152,500,000.00"
"Aug 19, 2014","1,992.25",141.97,--,"152,350,000.00"
"Aug 18, 2014","1,980.51",141.14,--,"153,000,000.00"
"Aug 15, 2014","1,956.56",139.44,--,"153,000,000.00"
"Aug 14, 2014","1,958.04",139.55,--,"153,100,000.00"
"Aug 13, 2014","1,950.68",139.03,--,"153,100,000.00"
"Aug 12, 2014","1,934.31",137.85,--,"153,950,000.00"
"Aug 11, 2014","1,942.05",138.39,--,"153,250,000.00"
"Aug 08, 2014","1,932.96",137.75,--,"153,250,000.00"
"Aug 07, 2014","1,913.26",136.35,--,"153,250,000.00"
