As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
18-May-16,721.12,88.05,--,4700000.00
17-May-16,709.5,86.64,--,4700000.00
16-May-16,714.22,87.21,--,4700000.00
13-May-16,702.86,85.83,--,4500000.00
12-May-16,700.1,85.5,--,4400000.00
11-May-16,712.88,87.06,--,4150000.00
10-May-16,714.92,87.31,--,4000000.00
9-May-16,706.21,86.25,--,4050000.00
6-May-16,707.27,86.38,--,4150000.00
5-May-16,706.51,86.29,--,4150000.00
4-May-16,704.4,86.03,--,4600000.00
3-May-16,712.48,87.02,--,4800000.00
2-May-16,720.81,88.04,--,4850000.00
29-Apr-16,715.34,87.37,--,5050000.00
28-Apr-16,734.57,89.72,--,5050000.00
27-Apr-16,754.76,92.19,--,5050000.00
26-Apr-16,747.18,91.26,--,4950000.00
25-Apr-16,737.1,90.03,--,5000000.00
22-Apr-16,741.21,90.54,--,5000000.00
21-Apr-16,739.72,90.37,--,4950000.00
20-Apr-16,744.67,90.98,--,4950000.00
19-Apr-16,737.37,90.08,--,4850000.00
18-Apr-16,746.61,91.22,--,4850000.00
15-Apr-16,746.1,91.16,--,4850000.00
14-Apr-16,752.5,91.94,--,4500000.00
13-Apr-16,759.01,92.74,--,4500000.00
12-Apr-16,741.94,90.65,--,4600000.00
11-Apr-16,742.89,90.77,--,4600000.00
8-Apr-16,743.68,90.87,--,4600000.00
7-Apr-16,739.41,90.35,--,4650000.00
6-Apr-16,751.33,91.8,--,4100000.00
5-Apr-16,743.7,90.87,--,4100000.00
4-Apr-16,748.2,91.43,--,4100000.00
1-Apr-16,755.07,92.27,--,4150000.00
31-Mar-16,749.86,91.63,--,4150000.00
30-Mar-16,754.18,92.16,--,4150000.00
29-Mar-16,746.81,91.26,--,4050000.00
28-Mar-16,736.81,90.04,--,4000000.00
24-Mar-16,737.83,90.17,--,4000000.00
23-Mar-16,738.12,90.21,0.28,4100000.00
22-Mar-16,747.91,91.68,--,4100000.00
21-Mar-16,748.63,91.77,--,4250000.00
18-Mar-16,747.61,91.65,--,4100000.00
17-Mar-16,737.55,90.42,--,4100000.00
16-Mar-16,732.28,89.78,--,4150000.00
15-Mar-16,725.65,88.97,--,4050000.00
14-Mar-16,726.69,89.1,--,4100000.00
11-Mar-16,729.78,89.48,--,3550000.00
10-Mar-16,715.87,87.78,--,3500000.00
9-Mar-16,712.21,87.33,--,3450000.00
8-Mar-16,706.38,86.62,--,3350000.00
7-Mar-16,722.62,88.61,--,3400000.00
4-Mar-16,720.24,88.32,--,3550000.00
3-Mar-16,712.79,87.41,--,3550000.00
2-Mar-16,712.14,87.33,--,3500000.00
1-Mar-16,708.36,86.87,--,3450000.00
29-Feb-16,688.68,84.46,--,3700000.00
26-Feb-16,690.61,84.7,--,3900000.00
25-Feb-16,686.65,84.22,--,3900000.00
24-Feb-16,678.11,83.17,--,4050000.00
23-Feb-16,668.51,82,--,4050000.00
22-Feb-16,679.54,83.35,--,4050000.00
19-Feb-16,669,82.06,--,4050000.00
18-Feb-16,665.75,81.67,--,4150000.00
17-Feb-16,669.49,82.13,--,4100000.00
16-Feb-16,653.89,80.22,--,4150000.00
12-Feb-16,631.6,77.49,--,3950000.00
11-Feb-16,617.55,75.77,--,3750000.00
10-Feb-16,622.32,76.36,--,3400000.00
9-Feb-16,626.95,76.92,--,3450000.00
8-Feb-16,630.67,77.38,--,4150000.00
5-Feb-16,647.01,79.39,--,4150000.00
4-Feb-16,670.7,82.29,--,4150000.00
3-Feb-16,658.99,80.86,--,4200000.00
2-Feb-16,656.99,80.61,--,4150000.00
1-Feb-16,680.05,83.44,--,4100000.00
29-Jan-16,676.83,83.05,--,4050000.00
28-Jan-16,647.23,79.42,--,4150000.00
27-Jan-16,648.87,79.62,--,3900000.00
26-Jan-16,656.78,80.59,--,3800000.00
25-Jan-16,650.11,79.77,--,3800000.00
22-Jan-16,659.61,80.94,--,3800000.00
21-Jan-16,647.63,79.47,--,4150000.00
20-Jan-16,638.13,78.31,--,4250000.00
19-Jan-16,633.98,77.8,--,4200000.00
15-Jan-16,633.01,77.69,--,4150000.00
14-Jan-16,663.07,81.37,--,3950000.00
13-Jan-16,649.75,79.74,--,3900000.00
12-Jan-16,670.78,82.32,--,3850000.00
11-Jan-16,665.25,81.65,--,4000000.00
8-Jan-16,661.87,81.23,--,3950000.00
7-Jan-16,672.64,82.56,--,4200000.00
6-Jan-16,695.73,85.39,--,4300000.00
5-Jan-16,715.87,87.86,--,4350000.00
4-Jan-16,723.37,88.78,--,4400000.00
31-Dec-15,731.31,89.76,--,4450000.00
30-Dec-15,741.9,91.06,--,4450000.00
29-Dec-15,749.28,91.96,--,4450000.00
28-Dec-15,740.35,90.87,--,4400000.00
24-Dec-15,743.27,91.23,0.19,4450000.00
23-Dec-15,740.38,91.07,--,4300000.00
22-Dec-15,735.23,90.44,--,4300000.00
21-Dec-15,734.16,90.31,--,4350000.00
18-Dec-15,720.48,88.63,--,4350000.00
17-Dec-15,729.28,89.71,--,4350000.00
16-Dec-15,740.3,91.06,--,4850000.00
15-Dec-15,734.34,90.33,--,4600000.00
14-Dec-15,723.35,88.99,--,4150000.00
11-Dec-15,728.01,89.56,--,4500000.00
10-Dec-15,742.82,91.38,--,4500000.00
9-Dec-15,738.48,90.85,--,4650000.00
8-Dec-15,748.12,92.03,--,4600000.00
7-Dec-15,754.53,92.82,--,4650000.00
4-Dec-15,761.74,93.71,--,4650000.00
3-Dec-15,747.68,91.99,--,4650000.00
2-Dec-15,752.04,92.52,--,4650000.00
1-Dec-15,756.08,93.02,--,4650000.00
30-Nov-15,745.74,91.75,--,4550000.00
27-Nov-15,738.41,90.85,--,4550000.00
25-Nov-15,733.08,90.2,--,4600000.00
24-Nov-15,732.56,90.14,--,4600000.00
23-Nov-15,723.29,89,--,4550000.00
20-Nov-15,732.72,90.16,--,4500000.00
19-Nov-15,730.38,89.88,--,4300000.00
18-Nov-15,728.74,89.68,--,3450000.00
17-Nov-15,721.5,88.79,--,3350000.00
16-Nov-15,716.9,88.23,--,3500000.00
13-Nov-15,707.76,87.11,--,3050000.00
12-Nov-15,714.42,87.93,--,4200000.00
11-Nov-15,723.6,89.05,--,3900000.00
10-Nov-15,723.25,89.01,--,4250000.00
9-Nov-15,736.27,90.61,--,4150000.00
6-Nov-15,743.44,91.5,--,4200000.00
5-Nov-15,724.64,89.19,--,4350000.00
4-Nov-15,740.15,91.1,--,4350000.00
3-Nov-15,737.73,90.8,--,4400000.00
2-Nov-15,734.1,90.35,--,4400000.00
30-Oct-15,727.49,89.55,--,4600000.00
29-Oct-15,721.37,88.79,--,4650000.00
28-Oct-15,743.63,91.53,--,4700000.00
27-Oct-15,730.58,89.93,--,5100000.00
26-Oct-15,735.49,90.53,--,4850000.00
23-Oct-15,750.34,92.36,--,4900000.00
22-Oct-15,741.81,91.32,--,4850000.00
21-Oct-15,716.9,88.25,--,4800000.00
20-Oct-15,715.39,88.07,--,4800000.00
19-Oct-15,716.49,88.2,--,4700000.00
16-Oct-15,716.23,88.17,--,4600000.00
15-Oct-15,715.41,88.08,--,4350000.00
14-Oct-15,708.62,87.24,--,4200000.00
13-Oct-15,682.92,84.08,--,4450000.00
12-Oct-15,691.99,85.2,--,4250000.00
9-Oct-15,690.85,85.06,--,4250000.00
8-Oct-15,696.67,85.78,--,4250000.00
7-Oct-15,692.84,85.31,--,4250000.00
