As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
20-Jun-00,"4,868.20",59.84,--,14550250.00
19-Jun-00,"4,774.21",58.69,--,14550250.00
16-Jun-00,"4,669.15",57.37,--,14550250.00
15-Jun-00,"4,651.12",57.14,--,14550250.00
14-Jun-00,"4,764.23",58.55,--,14550250.00
13-Jun-00,"4,836.31",59.41,--,14550250.00
12-Jun-00,"4,874.97",59.9,--,14550250.00
9-Jun-00,"4,861.36",59.77,--,15000250.00
8-Jun-00,"4,887.22",60.09,--,15000250.00
7-Jun-00,"4,917.34",60.48,--,15000250.00
6-Jun-00,"4,940.77",60.78,--,15000250.00
5-Jun-00,"4,881.13",60.06,--,15000250.00
2-Jun-00,"4,728.01",58.2,--,15000250.00
1-Jun-00,"4,660.17",57.37,--,15000250.00
31-May-00,"4,640.04",57.11,--,15000250.00
30-May-00,"4,701.70",57.86,--,15000250.00
26-May-00,"4,657.79",57.33,--,15000250.00
25-May-00,"4,668.24",57.42,--,15000250.00
24-May-00,"4,635.98",57.02,--,15000250.00
23-May-00,"4,678.81",57.5,--,15300250.00
22-May-00,"4,646.03",57.33,--,15300250.00
19-May-00,"4,801.13",59.14,--,15300250.00
18-May-00,"4,781.62",58.8,--,15300250.00
17-May-00,"4,802.02",59.05,--,15300250.00
16-May-00,"4,831.90",59.44,--,15300250.00
15-May-00,"4,817.93",59.22,--,15300250.00
12-May-00,"4,853.45",59.63,--,15300250.00
11-May-00,"4,764.01",58.6,--,15300250.00
10-May-00,"4,892.47",60.21,--,15300250.00
9-May-00,"4,894.72",60.22,--,15300250.00
8-May-00,"4,997.40",61.47,--,15300250.00
5-May-00,"5,024.62",61.8,--,15300250.00
4-May-00,"5,050.10",62.12,--,15300250.00
3-May-00,"5,003.24",61.55,--,15300250.00
2-May-00,"5,011.42",61.65,--,15300250.00
1-May-00,"4,991.28",61.37,--,15300250.00
28-Apr-00,"4,888.98",60.15,--,15300250.00
27-Apr-00,"4,954.71",60.93,--,15300250.00
26-Apr-00,"5,000.80",61.5,--,15300250.00
25-Apr-00,"5,048.16",62.06,--,15300250.00
24-Apr-00,"5,046.17",62.02,--,15300250.00
20-Apr-00,"4,946.58",60.82,--,15300250.00
19-Apr-00,"4,943.86",60.83,--,15300250.00
18-Apr-00,"4,905.60",60.35,--,15300250.00
17-Apr-00,"4,804.49",59.14,--,15300250.00
14-Apr-00,"5,064.40",62.26,--,15300250.00
13-Apr-00,"5,053.77",62.12,--,15300250.00
12-Apr-00,"5,161.93",63.46,--,15300250.00
11-Apr-00,"5,087.28",62.58,--,15300250.00
10-Apr-00,"5,117.02",62.96,--,15300250.00
7-Apr-00,"5,082.91",62.57,--,15300250.00
6-Apr-00,"5,087.92",62.58,--,15300250.00
5-Apr-00,"5,173.54",63.62,--,15300250.00
4-Apr-00,"5,203.72",64,--,15300250.00
3-Apr-00,"5,274.02",64.89,--,15300250.00
31-Mar-00,"5,286.65",65.05,--,15300250.00
30-Mar-00,"5,153.29",63.43,--,15300250.00
29-Mar-00,"5,213.16",64.15,--,14700250.00
28-Mar-00,"5,037.23",61.92,--,14700250.00
27-Mar-00,"4,909.48",60.24,--,14700250.00
24-Mar-00,"4,836.38",59.34,--,14700250.00
23-Mar-00,"4,822.50",59.13,--,14700250.00
22-Mar-00,"4,832.70",59.31,--,14700250.00
21-Mar-00,"4,887.21",60.05,--,14700250.00
20-Mar-00,"4,885.81",60.05,--,14700250.00
17-Mar-00,"4,907.82",60.32,--,14700250.00
16-Mar-00,"4,857.59",59.71,--,14700250.00
15-Mar-00,"4,736.44",58.19,--,14700250.00
14-Mar-00,"4,751.29",58.42,--,14700250.00
13-Mar-00,"4,728.91",58.13,--,14700250.00
10-Mar-00,"4,861.55",59.77,--,14700250.00
9-Mar-00,"4,871.05",59.86,--,14700250.00
8-Mar-00,"4,894.45",60.19,--,14700250.00
7-Mar-00,"4,925.72",60.55,--,14700250.00
6-Mar-00,"4,822.60",59.31,--,14700250.00
3-Mar-00,"4,918.41",60.47,--,14700250.00
2-Mar-00,"4,983.51",61.34,--,14700250.00
1-Mar-00,"5,011.61",61.71,--,14700250.00
29-Feb-00,"4,883.74",60.14,--,14700250.00
28-Feb-00,"4,931.28",60.8,--,15000250.00
25-Feb-00,"4,873.95",60.05,--,15000250.00
24-Feb-00,"4,788.07",59.03,--,15000250.00
23-Feb-00,"4,740.20",58.35,--,15000250.00
22-Feb-00,"4,717.93",58.09,--,15000250.00
18-Feb-00,"4,907.27",60.43,--,15000250.00
17-Feb-00,"4,920.52",60.63,--,15000250.00
16-Feb-00,"4,867.48",60.02,--,15000250.00
15-Feb-00,"4,900.69",60.41,--,15000250.00
14-Feb-00,"5,001.10",61.63,--,15000250.00
11-Feb-00,"5,021.06",61.84,--,15000250.00
10-Feb-00,"5,039.47",62.07,--,15000250.00
9-Feb-00,"5,046.43",62.11,--,15000250.00
8-Feb-00,"4,996.33",61.49,--,15000250.00
7-Feb-00,"5,105.09",62.88,--,15000250.00
4-Feb-00,"5,136.80",63.32,--,15000250.00
3-Feb-00,"5,043.22",62.12,--,15150250.00
2-Feb-00,"4,963.52",61.05,--,15150250.00
1-Feb-00,"4,933.32",60.69,--,15150250.00
31-Jan-00,"5,013.77",61.66,--,15150250.00
28-Jan-00,"5,052.75",62.15,--,15150250.00
27-Jan-00,"5,013.32",61.66,--,15150250.00
26-Jan-00,"4,937.65",60.77,--,15150250.00
25-Jan-00,"4,867.89",59.88,--,15150250.00
24-Jan-00,"4,927.73",60.59,--,15150250.00
21-Jan-00,"4,912.26",60.42,--,15150250.00
20-Jan-00,"4,880.50",60.04,--,15150250.00
19-Jan-00,"4,871.91",59.97,--,15150250.00
18-Jan-00,"4,979.03",61.28,--,15150250.00
14-Jan-00,"4,928.81",60.66,--,15150250.00
13-Jan-00,"4,899.78",60.3,--,15150250.00
12-Jan-00,"4,893.75",60.23,--,15150250.00
11-Jan-00,"4,948.53",60.94,--,15150250.00
10-Jan-00,"4,775.72",58.79,--,15150250.00
7-Jan-00,"4,771.33",58.74,--,15150250.00
6-Jan-00,"4,785.93",58.86,--,15150250.00
5-Jan-00,"4,974.95",61.21,--,15150250.00
4-Jan-00,"5,202.47",63.98,--,15150250.00
3-Jan-00,"5,288.21",65.05,--,15150250.00
31-Dec-99,"5,240.84",64.59,--,15150250.00
30-Dec-99,"5,240.74",64.48,--,15150250.00
29-Dec-99,"5,211.10",64.17,--,14850250.00
28-Dec-99,"5,160.96",63.57,--,14850250.00
27-Dec-99,"5,036.54",62,--,14850250.00
23-Dec-99,"5,043.98",62.04,--,14850250.00
22-Dec-99,"5,056.54",62.2,--,14850250.00
21-Dec-99,"4,930.96",60.62,0.44,14850250.00
20-Dec-99,"4,923.71",60.99,--,14850250.00
17-Dec-99,"4,906.73",60.79,--,14550250.00
