As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Apr 29, 2014",772.34,118.52,--,"3,550,000.00"
"Apr 28, 2014",768.32,117.90,--,"3,600,000.00"
"Apr 25, 2014",769.16,118.03,--,"3,600,000.00"
"Apr 24, 2014",780.55,119.78,--,"3,600,000.00"
"Apr 23, 2014",777.43,119.30,--,"3,600,000.00"
"Apr 22, 2014",779.69,119.65,--,"3,600,000.00"
"Apr 21, 2014",773.02,118.63,--,"3,600,000.00"
"Apr 17, 2014",771.05,118.34,--,"3,600,000.00"
"Apr 16, 2014",769.66,118.12,--,"3,600,000.00"
"Apr 15, 2014",759.43,116.56,--,"3,650,000.00"
"Apr 14, 2014",759.70,116.60,--,"3,650,000.00"
"Apr 11, 2014",754.34,115.79,--,"3,700,000.00"
"Apr 10, 2014",763.51,117.19,--,"3,800,000.00"
"Apr 09, 2014",783.60,120.27,--,"3,850,000.00"
"Apr 08, 2014",773.08,118.66,--,"3,850,000.00"
"Apr 07, 2014",767.03,117.74,--,"3,850,000.00"
"Apr 04, 2014",781.18,119.91,--,"3,850,000.00"
"Apr 03, 2014",794.37,121.93,--,"3,850,000.00"
"Apr 02, 2014",797.71,122.44,--,"3,850,000.00"
"Apr 01, 2014",793.28,121.77,--,"3,900,000.00"
"Mar 31, 2014",783.92,120.33,--,"3,950,000.00"
"Mar 28, 2014",778.13,119.45,--,"3,950,000.00"
"Mar 27, 2014",773.00,118.66,--,"4,100,000.00"
"Mar 26, 2014",777.54,119.36,--,"4,100,000.00"
"Mar 25, 2014",784.92,120.49,0.25,"4,100,000.00"
"Mar 24, 2014",787.33,121.12,--,"4,100,000.00"
"Mar 21, 2014",794.82,122.28,--,"4,100,000.00"
"Mar 20, 2014",798.39,122.82,--,"4,100,000.00"
"Mar 19, 2014",796.47,122.53,--,"4,100,000.00"
"Mar 18, 2014",801.93,123.37,--,"4,100,000.00"
"Mar 17, 2014",799.68,123.03,--,"4,100,000.00"
"Mar 14, 2014",794.46,122.23,--,"4,100,000.00"
"Mar 13, 2014",793.71,122.12,--,"4,100,000.00"
"Mar 12, 2014",804.02,123.70,--,"4,100,000.00"
"Mar 11, 2014",803.59,123.63,--,"4,100,000.00"
"Mar 10, 2014",806.59,124.10,--,"4,100,000.00"
"Mar 07, 2014",808.95,124.46,--,"4,100,000.00"
"Mar 06, 2014",809.42,124.54,--,"4,050,000.00"
"Mar 05, 2014",807.87,124.30,--,"4,050,000.00"
"Mar 04, 2014",805.99,124.01,--,"4,050,000.00"
"Mar 03, 2014",794.91,122.31,--,"4,050,000.00"
"Feb 28, 2014",801.44,123.32,--,"3,750,000.00"
"Feb 27, 2014",798.00,122.79,--,"3,750,000.00"
"Feb 26, 2014",793.95,122.17,--,"3,750,000.00"
"Feb 25, 2014",789.81,121.53,--,"3,750,000.00"
"Feb 24, 2014",785.30,120.84,--,"3,750,000.00"
"Feb 21, 2014",780.30,120.08,--,"3,750,000.00"
"Feb 20, 2014",779.76,120.00,--,"3,750,000.00"
"Feb 19, 2014",775.04,119.27,--,"3,750,000.00"
"Feb 18, 2014",780.19,120.06,--,"3,750,000.00"
"Feb 14, 2014",779.15,119.91,--,"3,750,000.00"
"Feb 13, 2014",776.13,119.45,--,"3,750,000.00"
"Feb 12, 2014",773.21,119.00,--,"3,750,000.00"
"Feb 11, 2014",772.76,118.93,--,"3,750,000.00"
"Feb 10, 2014",765.10,117.75,--,"3,750,000.00"
"Feb 07, 2014",765.34,117.79,--,"3,800,000.00"
"Feb 06, 2014",756.67,116.46,--,"4,000,000.00"
"Feb 05, 2014",741.73,114.16,--,"4,000,000.00"
"Feb 04, 2014",740.16,113.92,--,"4,150,000.00"
"Feb 03, 2014",733.70,112.93,--,"4,400,000.00"
"Jan 31, 2014",753.12,115.92,--,"4,400,000.00"
"Jan 30, 2014",760.20,117.01,--,"4,400,000.00"
"Jan 29, 2014",747.99,115.14,--,"4,550,000.00"
"Jan 28, 2014",760.12,117.00,--,"4,400,000.00"
"Jan 27, 2014",753.95,116.06,--,"4,400,000.00"
"Jan 24, 2014",757.70,116.64,--,"4,400,000.00"
"Jan 23, 2014",771.36,118.74,--,"4,400,000.00"
"Jan 22, 2014",776.45,119.52,--,"4,400,000.00"
"Jan 21, 2014",774.23,119.18,--,"4,400,000.00"
"Jan 17, 2014",774.91,119.29,--,"4,400,000.00"
"Jan 16, 2014",777.78,119.74,--,"4,400,000.00"
"Jan 15, 2014",781.03,120.24,--,"4,400,000.00"
"Jan 14, 2014",779.91,120.07,--,"4,400,000.00"
