As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
25-Jul-17,"1,301.10",168.56,--,12050000.00
24-Jul-17,"1,310.41",169.77,--,12050000.00
21-Jul-17,"1,310.96",169.84,--,12050000.00
20-Jul-17,"1,311.60",169.93,--,12100000.00
19-Jul-17,"1,303.12",168.83,--,12200000.00
18-Jul-17,"1,292.29",167.43,--,12300000.00
17-Jul-17,"1,291.28",167.31,--,12300000.00
14-Jul-17,"1,295.62",167.87,--,12250000.00
13-Jul-17,"1,288.00",166.89,--,12250000.00
12-Jul-17,"1,286.82",166.74,--,12250000.00
11-Jul-17,"1,277.86",165.58,--,12200000.00
10-Jul-17,"1,278.48",165.66,--,12150000.00
7-Jul-17,"1,283.15",166.27,--,12100000.00
6-Jul-17,"1,283.15",165.3,--,12100000.00
5-Jul-17,"1,275.66",167.52,--,11900000.00
3-Jul-17,"1,284.90",166.51,--,11700000.00
30-Jun-17,"1,282.57",166.21,--,11700000.00
29-Jun-17,"1,284.17",166.42,--,11700000.00
28-Jun-17,"1,295.54",167.89,--,11700000.00
27-Jun-17,"1,287.46",166.85,0.46,11700000.00
26-Jun-17,"1,301.01",169.06,--,11650000.00
23-Jun-17,"1,303.41",169.38,--,11650000.00
22-Jun-17,"1,304.24",169.49,--,11350000.00
21-Jun-17,"1,291.02",167.78,--,11400000.00
20-Jun-17,"1,274.59",165.65,--,11300000.00
19-Jun-17,"1,270.14",165.07,--,11300000.00
16-Jun-17,"1,256.44",163.3,--,11300000.00
15-Jun-17,"1,254.00",162.99,--,11350000.00
14-Jun-17,"1,255.83",163.22,--,11350000.00
13-Jun-17,"1,249.70",162.43,--,11350000.00
12-Jun-17,"1,246.68",162.04,--,11500000.00
9-Jun-17,"1,248.73",162.31,--,11500000.00
8-Jun-17,"1,241.50",161.38,--,11500000.00
7-Jun-17,"1,243.01",161.57,--,11450000.00
6-Jun-17,"1,239.06",161.06,--,11450000.00
5-Jun-17,"1,241.80",161.42,--,11450000.00
2-Jun-17,"1,245.89",161.96,--,11450000.00
1-Jun-17,"1,238.21",160.96,--,11450000.00
31-May-17,"1,222.81",158.97,--,11450000.00
30-May-17,"1,217.82",158.32,--,11500000.00
26-May-17,"1,220.76",158.71,--,11500000.00
25-May-17,"1,223.43",159.06,--,11500000.00
24-May-17,"1,217.48",158.29,--,11500000.00
23-May-17,"1,214.95",157.96,--,11500000.00
22-May-17,"1,211.68",157.54,--,11500000.00
19-May-17,"1,208.63",157.15,--,11500000.00
18-May-17,"1,206.81",156.91,--,11500000.00
17-May-17,"1,201.42",156.22,--,11500000.00
16-May-17,"1,217.51",158.3,--,11500000.00
15-May-17,"1,221.83",158.87,--,11500000.00
12-May-17,"1,214.19",157.88,--,11600000.00
11-May-17,"1,215.71",158.08,--,11600000.00
10-May-17,"1,215.67",158.08,--,11600000.00
