As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
7-Sep-18,"35,589.88",217.26,--,13300000.00
6-Sep-18,"35,665.72",217.73,--,13250000.00
5-Sep-18,"35,556.98",217.06,--,13250000.00
4-Sep-18,"35,924.15",219.3,--,13200000.00
31-Aug-18,"35,998.70",219.76,--,13200000.00
30-Aug-18,"35,909.03",219.22,--,13200000.00
29-Aug-18,"35,872.33",218.99,--,13150000.00
28-Aug-18,"35,489.53",216.66,--,13100000.00
27-Aug-18,"35,412.91",216.19,--,13100000.00
24-Aug-18,"35,171.77",214.73,--,13100000.00
23-Aug-18,"35,046.49",213.97,--,13000000.00
22-Aug-18,"34,997.78",213.67,--,12950000.00
21-Aug-18,"34,675.24",211.71,--,12900000.00
20-Aug-18,"34,412.39",210.1,--,12850000.00
17-Aug-18,"34,399.07",210.03,--,12850000.00
16-Aug-18,"34,302.57",209.44,--,12850000.00
15-Aug-18,"34,108.47",208.26,--,12800000.00
14-Aug-18,"34,236.28",209.04,--,12800000.00
13-Aug-18,"34,012.71",207.68,--,12800000.00
10-Aug-18,"34,205.61",208.86,--,12750000.00
9-Aug-18,"34,403.73",210.08,--,12650000.00
8-Aug-18,"34,394.52",210.02,--,12650000.00
7-Aug-18,"34,427.08",210.22,--,12600000.00
6-Aug-18,"34,471.99",210.5,--,12550000.00
3-Aug-18,"34,409.07",210.12,--,12550000.00
2-Aug-18,"34,461.96",210.45,--,12550000.00
1-Aug-18,"34,185.13",208.76,--,12500000.00
31-Jul-18,"34,093.44",208.21,--,12500000.00
30-Jul-18,"33,672.61",205.64,--,12500000.00
27-Jul-18,"33,977.97",207.51,--,12500000.00
26-Jul-18,"34,552.68",211.02,--,12400000.00
25-Jul-18,"34,670.09",211.73,--,12400000.00
24-Jul-18,"34,194.48",208.84,--,12350000.00
23-Jul-18,"34,265.29",209.27,--,12350000.00
20-Jul-18,"34,077.06",208.13,--,12300000.00
19-Jul-18,"34,111.88",208.34,--,12350000.00
18-Jul-18,"33,981.36",207.55,--,12250000.00
17-Jul-18,"33,964.61",207.45,--,12250000.00
16-Jul-18,"33,536.80",204.84,--,12250000.00
13-Jul-18,"33,827.02",206.62,--,12250000.00
12-Jul-18,"33,866.73",206.87,--,12250000.00
11-Jul-18,"33,513.68",204.71,--,12250000.00
10-Jul-18,"33,711.68",205.92,--,12150000.00
9-Jul-18,"33,714.49",205.94,--,12000000.00
6-Jul-18,"33,497.59",204.63,--,12000000.00
5-Jul-18,"33,190.69",202.76,--,11950000.00
3-Jul-18,"32,954.99",201.32,--,11900000.00
2-Jul-18,"32,930.09",201.17,--,11850000.00
29-Jun-18,"32,825.74",200.54,--,11800000.00
28-Jun-18,"32,906.63",201.04,--,11800000.00
27-Jun-18,"32,571.98",198.99,--,11800000.00
26-Jun-18,"33,115.04",202.31,0.11,11800000.00
25-Jun-18,"32,878.21",200.98,--,11700000.00
22-Jun-18,"33,435.03",204.38,--,11650000.00
21-Jun-18,"33,277.65",203.43,--,11600000.00
