As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
1-Apr-13,"1,891.29",82,--,83550000.00
28-Mar-13,"1,901.88",82.46,--,83550000.00
27-Mar-13,"1,893.91",82.11,--,83550000.00
26-Mar-13,"1,894.70",82.15,--,83550000.00
25-Mar-13,"1,878.14",81.43,0.33,83650000.00
22-Mar-13,"1,884.62",82.04,--,83750000.00
21-Mar-13,"1,869.64",81.39,--,83750000.00
20-Mar-13,"1,886.04",82.1,--,83550000.00
19-Mar-13,"1,872.31",81.5,--,83550000.00
18-Mar-13,"1,875.84",81.66,--,83500000.00
15-Mar-13,"1,884.12",82.02,--,83500000.00
14-Mar-13,"1,887.54",82.17,--,83650000.00
13-Mar-13,"1,878.99",81.8,--,83350000.00
12-Mar-13,"1,876.84",81.7,--,83350000.00
11-Mar-13,"1,882.55",81.95,--,84150000.00
8-Mar-13,"1,876.61",81.69,--,84150000.00
7-Mar-13,"1,870.02",81.41,--,84150000.00
6-Mar-13,"1,867.02",81.28,--,84800000.00
5-Mar-13,"1,866.74",81.27,--,84800000.00
4-Mar-13,"1,847.17",80.42,--,84800000.00
1-Mar-13,"1,838.13",80.03,--,84800000.00
28-Feb-13,"1,832.69",79.79,--,85800000.00
27-Feb-13,"1,834.23",79.86,--,85800000.00
26-Feb-13,"1,812.80",78.93,--,85800000.00
25-Feb-13,"1,800.75",78.4,--,85800000.00
22-Feb-13,"1,831.06",79.72,--,85800000.00
21-Feb-13,"1,815.28",79.04,--,86200000.00
20-Feb-13,"1,827.89",79.58,--,86200000.00
19-Feb-13,"1,850.85",80.58,--,86250000.00
15-Feb-13,"1,838.19",80.03,--,86350000.00
14-Feb-13,"1,836.81",79.97,--,86350000.00
13-Feb-13,"1,834.91",79.89,--,86350000.00
12-Feb-13,"1,833.08",79.81,--,86400000.00
11-Feb-13,"1,834.21",79.86,--,86400000.00
8-Feb-13,"1,836.17",79.95,--,86400000.00
7-Feb-13,"1,823.30",79.39,--,86400000.00
6-Feb-13,"1,824.31",79.43,--,86400000.00
5-Feb-13,"1,823.67",79.41,--,86250000.00
4-Feb-13,"1,802.40",78.48,--,86250000.00
1-Feb-13,"1,825.69",79.5,--,86250000.00
31-Jan-13,"1,808.19",78.74,--,86250000.00
30-Jan-13,"1,813.73",78.98,--,86250000.00
29-Jan-13,"1,819.83",79.24,--,86250000.00
28-Jan-13,"1,812.48",78.92,--,86250000.00
25-Jan-13,"1,816.71",79.11,--,86250000.00
24-Jan-13,"1,807.19",78.7,--,86250000.00
23-Jan-13,"1,813.94",78.99,--,87150000.00
22-Jan-13,"1,808.39",78.75,--,87150000.00
18-Jan-13,"1,803.99",78.56,--,87150000.00
17-Jan-13,"1,801.20",78.44,--,87350000.00
16-Jan-13,"1,790.64",77.98,--,87600000.00
15-Jan-13,"1,788.16",77.87,--,87600000.00
14-Jan-13,"1,790.12",77.96,--,87600000.00
11-Jan-13,"1,795.17",78.18,--,87600000.00
10-Jan-13,"1,793.98",78.13,--,87750000.00
9-Jan-13,"1,782.26",77.62,--,87950000.00
8-Jan-13,"1,777.42",77.41,--,87950000.00
7-Jan-13,"1,780.10",77.52,--,87950000.00
4-Jan-13,"1,784.22",77.7,--,87700000.00
3-Jan-13,"1,780.36",77.54,--,87700000.00
2-Jan-13,"1,785.15",77.75,--,87700000.00
31-Dec-12,"1,739.57",75.76,--,87700000.00
28-Dec-12,"1,708.96",74.43,--,87700000.00
27-Dec-12,"1,727.60",75.24,--,87700000.00
26-Dec-12,"1,728.31",75.28,--,87700000.00
24-Dec-12,"1,738.59",75.72,--,87700000.00
21-Dec-12,"1,741.69",75.86,--,87850000.00
20-Dec-12,"1,755.32",76.45,--,88500000.00
19-Dec-12,"1,749.03",76.18,0.46,88500000.00
18-Dec-12,"1,762.14",77.21,--,88500000.00
17-Dec-12,"1,742.99",76.38,--,88500000.00
14-Dec-12,"1,724.95",75.59,--,88500000.00
13-Dec-12,"1,735.40",76.05,--,88500000.00
12-Dec-12,"1,746.88",76.55,--,88700000.00
11-Dec-12,"1,748.64",76.62,--,88700000.00
10-Dec-12,"1,735.12",76.03,--,88700000.00
7-Dec-12,"1,734.66",76.02,--,88900000.00
6-Dec-12,"1,732.74",75.93,--,88900000.00
5-Dec-12,"1,725.39",75.61,--,88900000.00
4-Dec-12,"1,730.02",75.81,--,89600000.00
3-Dec-12,"1,733.67",75.97,--,89750000.00
30-Nov-12,"1,741.92",76.34,--,89750000.00
29-Nov-12,"1,742.60",76.37,--,89750000.00
28-Nov-12,"1,734.63",76.02,--,89750000.00
27-Nov-12,"1,721.12",75.43,--,89750000.00
26-Nov-12,"1,728.77",75.76,--,89750000.00
23-Nov-12,"1,731.50",75.88,--,89750000.00
21-Nov-12,"1,708.76",74.89,--,89750000.00
20-Nov-12,"1,704.75",74.71,--,89750000.00
19-Nov-12,"1,704.56",74.71,--,90150000.00
16-Nov-12,"1,669.65",73.18,--,90150000.00
15-Nov-12,"1,661.20",72.81,--,90800000.00
14-Nov-12,"1,664.03",72.94,--,90800000.00
13-Nov-12,"1,685.33",73.87,--,90800000.00
12-Nov-12,"1,690.54",74.1,--,91150000.00
9-Nov-12,"1,689.17",74.04,--,91150000.00
8-Nov-12,"1,683.82",73.81,--,91350000.00
7-Nov-12,"1,707.47",74.84,--,91350000.00
6-Nov-12,"1,742.99",76.39,--,91350000.00
5-Nov-12,"1,731.78",75.9,--,91650000.00
2-Nov-12,"1,726.23",75.66,--,91650000.00
1-Nov-12,"1,743.89",76.43,--,92250000.00
31-Oct-12,"1,725.80",75.64,--,93100000.00
26-Oct-12,"1,727.12",75.7,--,93650000.00
25-Oct-12,"1,726.17",75.66,--,93650000.00
24-Oct-12,"1,722.16",75.49,--,93650000.00
23-Oct-12,"1,727.89",75.74,--,94750000.00
22-Oct-12,"1,751.83",76.79,--,94650000.00
19-Oct-12,"1,748.39",76.64,--,94800000.00
18-Oct-12,"1,779.79",78.01,--,94800000.00
17-Oct-12,"1,789.84",78.45,--,95250000.00
16-Oct-12,"1,788.99",78.41,--,95250000.00
