As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Jul 18, 2014","3,771.37",30.46,--,"19,150,000.00"
"Jul 17, 2014","3,741.63",30.22,--,"19,450,000.00"
"Jul 16, 2014","3,786.21",30.58,--,"19,450,000.00"
"Jul 15, 2014","3,769.93",30.45,--,"19,450,000.00"
"Jul 14, 2014","3,792.36",30.63,--,"19,450,000.00"
"Jul 11, 2014","3,785.02",30.57,--,"19,450,000.00"
"Jul 10, 2014","3,757.54",30.35,--,"19,450,000.00"
"Jul 09, 2014","3,763.35",30.40,--,"19,450,000.00"
"Jul 08, 2014","3,741.45",30.22,--,"19,350,000.00"
"Jul 07, 2014","3,774.99",30.49,--,"19,350,000.00"
"Jul 03, 2014","3,795.06",30.65,--,"19,350,000.00"
"Jul 02, 2014","3,769.84",30.45,--,"19,350,000.00"
"Jul 01, 2014","3,768.09",30.44,--,"19,450,000.00"
"Jun 30, 2014","3,755.50",30.34,--,"19,450,000.00"
"Jun 27, 2014","3,739.97",30.21,--,"19,450,000.00"
"Jun 26, 2014","3,721.61",30.07,--,"19,450,000.00"
"Jun 25, 2014","3,721.52",30.07,--,"19,450,000.00"
"Jun 24, 2014","3,698.14",29.88,0.18,"19,450,000.00"
"Jun 23, 2014","3,721.97",30.25,--,"19,450,000.00"
"Jun 20, 2014","3,710.92",30.16,--,"19,350,000.00"
"Jun 19, 2014","3,715.48",30.19,--,"19,350,000.00"
"Jun 18, 2014","3,714.41",30.19,--,"19,150,000.00"
"Jun 17, 2014","3,664.84",29.78,--,"19,150,000.00"
"Jun 16, 2014","3,647.24",29.64,--,"19,150,000.00"
"Jun 13, 2014","3,659.71",29.75,--,"19,150,000.00"
"Jun 12, 2014","3,607.48",29.32,--,"19,150,000.00"
"Jun 11, 2014","3,631.98",29.52,--,"19,150,000.00"
"Jun 10, 2014","3,657.35",29.73,--,"19,400,000.00"
"Jun 09, 2014","3,676.41",29.88,--,"19,400,000.00"
"Jun 06, 2014","3,658.52",29.74,--,"19,500,000.00"
"Jun 05, 2014","3,667.62",29.81,--,"20,150,000.00"
"Jun 04, 2014","3,645.01",29.63,--,"20,150,000.00"
"Jun 03, 2014","3,648.93",29.66,--,"20,450,000.00"
"Jun 02, 2014","3,670.27",29.83,--,"20,950,000.00"
"May 30, 2014","3,704.93",30.12,--,"20,950,000.00"
"May 29, 2014","3,692.64",30.02,--,"20,950,000.00"
"May 28, 2014","3,677.35",29.89,--,"20,950,000.00"
"May 27, 2014","3,663.04",29.78,--,"20,950,000.00"
"May 23, 2014","3,664.16",29.79,--,"21,000,000.00"
"May 22, 2014","3,637.04",29.57,--,"21,000,000.00"
"May 21, 2014","3,601.45",29.28,--,"21,000,000.00"
"May 20, 2014","3,600.16",29.27,--,"21,000,000.00"
"May 19, 2014","3,671.22",29.85,--,"21,000,000.00"
"May 16, 2014","3,660.94",29.76,--,"20,900,000.00"
"May 15, 2014","3,653.81",29.71,--,"20,850,000.00"
"May 14, 2014","3,648.34",29.66,--,"20,850,000.00"
"May 13, 2014","3,664.54",29.79,--,"20,850,000.00"
"May 12, 2014","3,680.54",29.93,--,"20,850,000.00"
"May 09, 2014","3,649.68",29.68,--,"20,850,000.00"
"May 08, 2014","3,615.64",29.40,--,"20,850,000.00"
"May 07, 2014","3,594.91",29.23,--,"20,850,000.00"
"May 06, 2014","3,594.64",29.23,--,"20,800,000.00"
"May 05, 2014","3,654.75",29.72,--,"20,700,000.00"
"May 02, 2014","3,652.97",29.71,--,"20,900,000.00"
"May 01, 2014","3,638.03",29.59,--,"20,400,000.00"
