As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
12-Mar-12,"3,139.61",14.63,--,36950000.00
9-Mar-12,"3,121.97",14.55,--,37750000.00
8-Mar-12,"3,037.65",14.16,--,37750000.00
7-Mar-12,"2,948.18",13.74,--,37750000.00
6-Mar-12,"2,848.13",13.27,--,38550000.00
5-Mar-12,"2,936.04",13.68,--,37550000.00
2-Mar-12,"2,929.03",13.65,--,38350000.00
1-Mar-12,"2,974.29",13.86,--,38350000.00
29-Feb-12,"2,995.75",13.96,--,37800000.00
28-Feb-12,"2,930.26",13.66,--,38100000.00
27-Feb-12,"2,969.25",13.84,--,38200000.00
24-Feb-12,"2,928.96",13.65,--,37200000.00
23-Feb-12,"2,980.29",13.89,--,35900000.00
22-Feb-12,"2,922.87",13.62,--,37150000.00
21-Feb-12,"2,991.73",13.94,--,37450000.00
17-Feb-12,"3,051.00",14.22,--,37600000.00
16-Feb-12,"3,047.66",14.21,--,38350000.00
15-Feb-12,"3,058.31",14.26,--,38350000.00
14-Feb-12,"3,073.62",14.33,--,38100000.00
13-Feb-12,"3,102.51",14.46,--,38100000.00
10-Feb-12,"3,028.44",14.12,--,37800000.00
9-Feb-12,"3,082.91",14.37,--,37400000.00
8-Feb-12,"3,036.97",14.16,--,37400000.00
7-Feb-12,"3,022.34",14.09,--,37200000.00
6-Feb-12,"3,012.75",14.04,--,37000000.00
3-Feb-12,"3,045.98",14.2,--,36650000.00
2-Feb-12,"2,895.07",13.5,--,37250000.00
1-Feb-12,"2,872.96",13.39,--,36650000.00
31-Jan-12,"2,799.84",13.05,--,37000000.00
30-Jan-12,"2,853.94",13.31,--,36500000.00
27-Jan-12,"2,898.83",13.52,--,35000000.00
26-Jan-12,"2,884.32",13.45,--,35600000.00
25-Jan-12,"2,949.46",13.75,--,34600000.00
24-Jan-12,"2,884.31",13.45,--,33250000.00
23-Jan-12,"2,833.37",13.21,--,33650000.00
20-Jan-12,"2,873.09",13.4,--,32850000.00
19-Jan-12,"2,932.39",13.67,--,32450000.00
18-Jan-12,"2,933.89",13.68,--,32100000.00
17-Jan-12,"2,821.16",13.16,--,31250000.00
13-Jan-12,"2,835.34",13.22,--,31500000.00
12-Jan-12,"2,853.88",13.31,--,31500000.00
11-Jan-12,"2,847.68",13.28,--,32000000.00
10-Jan-12,"2,751.58",12.83,--,32000000.00
9-Jan-12,"2,693.74",12.56,--,32000000.00
6-Jan-12,"2,676.17",12.48,--,32400000.00
5-Jan-12,"2,693.33",12.56,--,31500000.00
4-Jan-12,"2,629.64",12.27,--,31500000.00
3-Jan-12,"2,600.29",12.13,--,31500000.00
30-Dec-11,"2,549.16",11.89,--,31950000.00
29-Dec-11,"2,571.82",12,--,31950000.00
28-Dec-11,"2,475.20",11.55,--,31650000.00
27-Dec-11,"2,523.20",11.77,--,31450000.00
23-Dec-11,"2,531.24",11.81,--,31450000.00
22-Dec-11,"2,545.01",11.87,0.02,31150000.00
21-Dec-11,"2,552.38",11.93,--,31150000.00
20-Dec-11,"2,512.03",11.74,--,30150000.00
19-Dec-11,"2,360.27",11.03,--,30150000.00
16-Dec-11,"2,402.18",11.23,--,30150000.00
15-Dec-11,"2,381.31",11.13,--,29800000.00
14-Dec-11,"2,339.87",10.94,--,30300000.00
13-Dec-11,"2,416.33",11.29,--,29450000.00
12-Dec-11,"2,507.57",11.72,--,29450000.00
9-Dec-11,"2,550.19",11.92,--,29350000.00
8-Dec-11,"2,485.47",11.62,--,28650000.00
7-Dec-11,"2,567.73",12,--,27750000.00
6-Dec-11,"2,550.57",11.92,--,26900000.00
5-Dec-11,"2,527.18",11.81,--,26600000.00
2-Dec-11,"2,468.80",11.54,--,26600000.00
1-Dec-11,"2,458.25",11.49,--,26200000.00
30-Nov-11,"2,457.53",11.49,--,26200000.00
29-Nov-11,"2,324.12",10.86,--,25800000.00
28-Nov-11,"2,290.02",10.7,--,25800000.00
25-Nov-11,"2,222.83",10.39,--,25800000.00
23-Nov-11,"2,227.65",10.41,--,25800000.00
22-Nov-11,"2,310.18",10.8,--,25800000.00
21-Nov-11,"2,304.83",10.77,--,25800000.00
18-Nov-11,"2,343.86",10.96,--,25800000.00
17-Nov-11,"2,361.32",11.04,--,25800000.00
16-Nov-11,"2,398.60",11.21,--,25800000.00
15-Nov-11,"2,382.76",11.14,--,25600000.00
14-Nov-11,"2,364.27",11.05,--,25950000.00
11-Nov-11,"2,391.31",11.18,--,25950000.00
10-Nov-11,"2,337.07",10.93,--,25950000.00
9-Nov-11,"2,289.44",10.7,--,25950000.00
8-Nov-11,"2,419.07",11.31,--,25950000.00
7-Nov-11,"2,341.76",10.95,--,25650000.00
4-Nov-11,"2,303.90",10.77,--,25650000.00
3-Nov-11,"2,312.19",10.81,--,24700000.00
2-Nov-11,"2,267.79",10.6,--,24700000.00
1-Nov-11,"2,212.98",10.35,--,24700000.00
31-Oct-11,"2,293.43",10.72,--,24700000.00
28-Oct-11,"2,369.90",11.08,--,25200000.00
27-Oct-11,"2,410.19",11.27,--,25200000.00
26-Oct-11,"2,304.61",10.78,--,25200000.00
25-Oct-11,"2,257.06",10.56,--,25050000.00
24-Oct-11,"2,330.98",10.9,--,24750000.00
21-Oct-11,"2,260.94",10.57,--,24100000.00
20-Oct-11,"2,182.00",10.21,--,24100000.00
19-Oct-11,"2,155.02",10.08,--,24400000.00
18-Oct-11,"2,179.32",10.19,--,24400000.00
17-Oct-11,"2,028.98",9.49,--,24150000.00
14-Oct-11,"2,105.17",9.85,--,24500000.00
13-Oct-11,"2,080.47",9.73,--,24500000.00
