As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
12-Apr-16,128.13,50.43,--,63900000.00
11-Apr-16,128.12,50.43,--,65400000.00
8-Apr-16,128.1,50.42,--,65400000.00
7-Apr-16,128.09,50.41,--,66700000.00
6-Apr-16,128.08,50.41,--,66700000.00
5-Apr-16,128.06,50.4,--,67200000.00
4-Apr-16,128.03,50.4,--,67200000.00
1-Apr-16,128.01,50.39,0.03,67200000.00
31-Mar-16,128,50.41,--,67100000.00
30-Mar-16,127.99,50.41,--,67100000.00
29-Mar-16,127.97,50.4,--,67100000.00
28-Mar-16,127.96,50.39,--,67100000.00
24-Mar-16,127.94,50.39,--,67100000.00
23-Mar-16,127.92,50.38,--,67100000.00
22-Mar-16,127.9,50.37,--,68100000.00
21-Mar-16,127.89,50.36,--,68100000.00
18-Mar-16,127.86,50.35,--,68600000.00
17-Mar-16,127.85,50.35,--,68600000.00
16-Mar-16,127.84,50.35,--,68600000.00
15-Mar-16,127.83,50.34,--,69600000.00
14-Mar-16,127.81,50.33,--,69600000.00
11-Mar-16,127.79,50.33,--,69600000.00
10-Mar-16,127.78,50.32,--,69600000.00
9-Mar-16,127.77,50.32,--,69600000.00
8-Mar-16,127.76,50.31,--,69600000.00
7-Mar-16,127.76,50.31,--,69600000.00
4-Mar-16,127.74,50.31,--,69600000.00
3-Mar-16,127.74,50.3,--,69600000.00
2-Mar-16,127.73,50.3,--,69900000.00
1-Mar-16,127.71,50.29,0.03,70500000.00
29-Feb-16,127.71,50.32,--,70500000.00
26-Feb-16,127.7,50.31,--,70500000.00
25-Feb-16,127.69,50.31,--,70500000.00
24-Feb-16,127.68,50.31,--,71500000.00
23-Feb-16,127.67,50.31,--,71500000.00
22-Feb-16,127.69,50.31,--,71500000.00
19-Feb-16,127.69,50.32,--,71500000.00
18-Feb-16,127.69,50.32,--,71500000.00
17-Feb-16,127.69,50.32,--,71500000.00
16-Feb-16,127.69,50.32,--,71500000.00
12-Feb-16,127.68,50.32,--,71500000.00
11-Feb-16,127.68,50.32,--,71500000.00
10-Feb-16,127.69,50.32,--,71800000.00
9-Feb-16,127.69,50.32,--,71800000.00
8-Feb-16,127.71,50.33,--,71800000.00
5-Feb-16,127.71,50.33,--,71800000.00
4-Feb-16,127.71,50.34,--,71800000.00
3-Feb-16,127.71,50.34,--,71800000.00
2-Feb-16,127.71,50.34,--,71800000.00
1-Feb-16,127.71,50.34,0.03,71800000.00
29-Jan-16,127.71,50.36,--,71800000.00
28-Jan-16,127.7,50.36,--,71800000.00
27-Jan-16,127.7,50.36,--,71800000.00
26-Jan-16,127.7,50.36,--,71800000.00
25-Jan-16,127.7,50.36,--,71800000.00
22-Jan-16,127.69,50.36,--,71800000.00
21-Jan-16,127.71,50.37,--,71800000.00
20-Jan-16,127.72,50.37,--,71800000.00
19-Jan-16,127.72,50.38,--,71800000.00
15-Jan-16,127.72,50.38,--,71800000.00
14-Jan-16,127.72,50.38,--,71800000.00
13-Jan-16,127.72,50.38,--,71700000.00
12-Jan-16,127.72,50.38,--,71700000.00
11-Jan-16,127.71,50.38,--,71700000.00
8-Jan-16,127.71,50.38,--,71700000.00
7-Jan-16,127.7,50.38,--,71700000.00
6-Jan-16,127.7,50.38,--,71700000.00
5-Jan-16,127.7,50.38,--,70800000.00
4-Jan-16,127.7,50.38,--,70800000.00
31-Dec-15,127.68,50.38,--,70800000.00
30-Dec-15,127.68,50.37,--,70800000.00
29-Dec-15,127.67,50.37,--,70600000.00
28-Dec-15,127.67,50.37,--,70600000.00
24-Dec-15,127.66,50.37,0.03,70600000.00
23-Dec-15,127.66,50.39,--,70600000.00
22-Dec-15,127.65,50.39,--,70600000.00
21-Dec-15,127.64,50.39,--,69100000.00
18-Dec-15,127.64,50.39,--,68600000.00
17-Dec-15,127.64,50.39,--,68600000.00
