As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
7-Jun-17,"7,450.28",135.54,--,136400000.00
6-Jun-17,"7,438.48",135.33,--,136300000.00
5-Jun-17,"7,459.84",135.71,--,136300000.00
2-Jun-17,"7,471.11",135.92,--,136300000.00
1-Jun-17,"7,444.37",135.44,--,136300000.00
31-May-17,"7,382.25",134.31,--,136300000.00
30-May-17,"7,383.06",134.32,--,136300000.00
26-May-17,"7,393.21",134.51,--,136300000.00
25-May-17,"7,390.48",134.46,--,136000000.00
24-May-17,"7,358.76",133.88,--,136000000.00
23-May-17,"7,339.47",133.53,--,135700000.00
22-May-17,"7,326.88",133.3,--,135700000.00
19-May-17,"7,288.29",132.6,--,135300000.00
18-May-17,"7,237.36",131.68,--,135600000.00
17-May-17,"7,211.18",131.2,--,135600000.00
16-May-17,"7,342.56",133.59,--,134950000.00
15-May-17,"7,346.96",133.67,--,134800000.00
12-May-17,"7,309.75",133,--,134800000.00
11-May-17,"7,321.68",133.21,--,134800000.00
10-May-17,"7,337.55",133.5,--,134800000.00
9-May-17,"7,325.28",133.28,--,134450000.00
8-May-17,"7,331.66",133.4,--,134450000.00
5-May-17,"7,334.03",133.44,--,134450000.00
4-May-17,"7,299.82",132.82,--,134450000.00
3-May-17,"7,298.39",132.79,--,134450000.00
2-May-17,"7,310.23",133.01,--,134400000.00
1-May-17,"7,303.35",132.89,--,134400000.00
28-Apr-17,"7,289.22",132.63,--,134400000.00
27-Apr-17,"7,307.17",132.96,--,134400000.00
26-Apr-17,"7,301.53",132.85,--,134400000.00
25-Apr-17,"7,303.39",132.89,--,133900000.00
24-Apr-17,"7,259.20",132.08,--,133700000.00
21-Apr-17,"7,182.24",130.69,--,133700000.00
20-Apr-17,"7,203.69",131.08,--,133350000.00
19-Apr-17,"7,149.32",130.09,--,133350000.00
18-Apr-17,"7,158.23",130.25,--,133350000.00
17-Apr-17,"7,177.17",130.59,--,133200000.00
13-Apr-17,"7,114.92",129.46,--,133200000.00
12-Apr-17,"7,164.18",130.36,--,132300000.00
