As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Apr 16, 2008","1,041.94",47.43,--,"26,100,000.00"
"Apr 15, 2008","1,014.36",46.17,--,"26,250,000.00"
"Apr 14, 2008","1,004.56",45.72,--,"26,250,000.00"
"Apr 11, 2008",986.48,44.89,--,"26,250,000.00"
"Apr 10, 2008","1,001.20",45.57,--,"26,250,000.00"
"Apr 09, 2008",999.85,45.53,--,"26,400,000.00"
"Apr 08, 2008",995.31,45.29,--,"26,400,000.00"
"Apr 07, 2008",988.02,44.95,--,"26,100,000.00"
"Apr 04, 2008",985.40,44.81,--,"26,100,000.00"
"Apr 03, 2008",974.81,44.32,--,"26,100,000.00"
"Apr 02, 2008",974.31,44.28,--,"26,100,000.00"
"Apr 01, 2008",960.18,43.67,--,"26,100,000.00"
"Mar 31, 2008",941.70,42.85,--,"26,100,000.00"
"Mar 28, 2008",937.53,42.64,--,"26,250,000.00"
"Mar 27, 2008",940.53,42.77,--,"26,250,000.00"
"Mar 26, 2008",948.00,43.14,--,"26,250,000.00"
"Mar 25, 2008",927.54,42.18,0.10,"26,400,000.00"
"Mar 24, 2008",919.87,41.89,--,"26,400,000.00"
"Mar 20, 2008",907.53,41.33,--,"26,400,000.00"
"Mar 19, 2008",903.60,41.16,--,"27,450,000.00"
"Mar 18, 2008",955.79,43.56,--,"27,450,000.00"
"Mar 17, 2008",922.09,42.02,--,"27,450,000.00"
"Mar 14, 2008",947.90,43.25,--,"27,450,000.00"
"Mar 13, 2008",962.74,43.96,--,"27,150,000.00"
"Mar 12, 2008",949.02,43.31,--,"27,150,000.00"
"Mar 11, 2008",963.36,43.99,--,"27,300,000.00"
"Mar 10, 2008",921.30,42.07,--,"27,300,000.00"
"Mar 07, 2008",931.99,42.57,--,"27,300,000.00"
"Mar 06, 2008",951.45,43.44,--,"27,300,000.00"
"Mar 05, 2008",974.05,44.42,--,"27,300,000.00"
"Mar 04, 2008",956.79,43.57,--,"27,300,000.00"
"Mar 03, 2008",971.17,44.22,--,"27,300,000.00"
