As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 31, 2004",778.16,25.80,--,"40,200,000.00"
"Mar 30, 2004",780.58,25.88,--,"40,200,000.00"
"Mar 29, 2004",774.41,25.67,0.00,"40,200,000.00"
"Mar 26, 2004",751.07,24.88,--,"40,200,000.00"
"Mar 25, 2004",756.44,25.07,--,"39,750,000.00"
"Mar 24, 2004",735.81,24.35,--,"39,750,000.00"
"Mar 23, 2004",736.96,24.41,--,"40,200,000.00"
"Mar 22, 2004",744.19,24.65,--,"39,600,000.00"
"Mar 19, 2004",763.57,25.30,--,"39,600,000.00"
"Mar 18, 2004",768.39,25.45,--,"39,600,000.00"
"Mar 17, 2004",770.54,25.53,--,"39,600,000.00"
"Mar 16, 2004",749.42,24.82,--,"39,000,000.00"
"Mar 15, 2004",755.83,25.04,--,"39,000,000.00"
"Mar 12, 2004",779.82,25.83,--,"39,000,000.00"
"Mar 11, 2004",762.08,25.25,--,"39,000,000.00"
"Mar 10, 2004",770.23,25.52,--,"39,000,000.00"
"Mar 09, 2004",790.25,26.18,--,"39,000,000.00"
"Mar 08, 2004",800.35,26.52,--,"38,250,000.00"
"Mar 05, 2004",812.51,26.94,--,"35,100,000.00"
"Mar 04, 2004",805.84,26.70,--,"35,100,000.00"
"Mar 03, 2004",794.39,26.31,--,"35,100,000.00"
"Mar 02, 2004",788.83,26.11,--,"34,050,000.00"
"Mar 01, 2004",789.78,26.14,--,"34,050,000.00"
"Feb 27, 2004",779.92,25.85,--,"33,300,000.00"
"Feb 26, 2004",781.30,25.90,--,"33,300,000.00"
"Feb 25, 2004",771.12,25.59,--,"33,300,000.00"
"Feb 24, 2004",760.93,25.26,--,"31,050,000.00"
"Feb 23, 2004",761.43,25.28,--,"31,050,000.00"
"Feb 20, 2004",776.46,25.78,--,"32,550,000.00"
"Feb 19, 2004",780.22,25.89,--,"31,950,000.00"
"Feb 18, 2004",791.59,26.27,--,"29,700,000.00"
"Feb 17, 2004",789.48,26.18,--,"29,400,000.00"
"Feb 13, 2004",784.31,26.01,--,"29,400,000.00"
"Feb 12, 2004",792.31,26.28,--,"29,400,000.00"
"Feb 11, 2004",799.10,26.51,--,"29,400,000.00"
"Feb 10, 2004",791.93,26.27,--,"30,600,000.00"
"Feb 09, 2004",783.80,25.97,--,"30,600,000.00"
"Feb 06, 2004",780.76,25.87,--,"30,750,000.00"
"Feb 05, 2004",763.08,25.30,--,"30,750,000.00"
"Feb 04, 2004",770.56,25.56,--,"30,450,000.00"
"Feb 03, 2004",790.69,26.23,--,"30,450,000.00"
"Feb 02, 2004",786.61,26.09,--,"30,450,000.00"
"Jan 30, 2004",774.74,25.68,--,"30,450,000.00"
"Jan 29, 2004",781.28,25.88,--,"30,450,000.00"
"Jan 28, 2004",774.16,25.65,--,"30,450,000.00"
"Jan 27, 2004",786.53,26.09,--,"29,550,000.00"
"Jan 26, 2004",798.30,26.49,--,"29,550,000.00"
"Jan 23, 2004",786.81,26.13,--,"29,550,000.00"
"Jan 22, 2004",776.77,25.78,--,"29,550,000.00"
"Jan 21, 2004",785.23,26.05,--,"30,150,000.00"
"Jan 20, 2004",776.12,25.76,--,"28,350,000.00"
"Jan 16, 2004",774.33,25.74,--,"28,350,000.00"
"Jan 15, 2004",760.06,25.25,--,"28,350,000.00"
"Jan 14, 2004",755.60,25.09,--,"28,350,000.00"
"Jan 13, 2004",752.22,24.94,--,"28,350,000.00"
"Jan 12, 2004",756.25,25.10,--,"30,300,000.00"
"Jan 09, 2004",753.10,25.00,--,"29,400,000.00"
"Jan 08, 2004",751.90,24.98,--,"29,400,000.00"
"Jan 07, 2004",748.51,24.87,--,"29,400,000.00"
"Jan 06, 2004",734.56,24.42,--,"29,400,000.00"
"Jan 05, 2004",732.39,24.37,--,"29,400,000.00"
"Jan 02, 2004",731.32,24.34,--,"29,400,000.00"
"Dec 31, 2003",724.15,24.08,--,"29,400,000.00"
"Dec 30, 2003",730.32,24.29,--,"29,400,000.00"
"Dec 29, 2003",728.81,24.24,--,"28,950,000.00"
"Dec 26, 2003",715.97,23.81,--,"28,950,000.00"
"Dec 24, 2003",716.87,23.84,--,"28,950,000.00"
"Dec 23, 2003",718.08,23.88,--,"27,600,000.00"
"Dec 22, 2003",709.18,23.57,--,"27,600,000.00"
"Dec 19, 2003",706.68,23.48,--,"27,600,000.00"
"Dec 18, 2003",704.53,23.42,--,"28,350,000.00"
"Dec 17, 2003",700.29,23.29,--,"28,350,000.00"
"Dec 16, 2003",694.27,23.09,--,"27,450,000.00"
"Dec 15, 2003",693.06,23.05,0.00,"27,450,000.00"
"Dec 12, 2003",700.96,23.34,--,"27,000,000.00"
"Dec 11, 2003",696.18,23.20,--,"26,550,000.00"
"Dec 10, 2003",680.50,22.65,--,"25,650,000.00"
"Dec 09, 2003",690.02,22.97,--,"25,650,000.00"
