As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Oct 30, 2013",320.25,76.39,--,"11,950,000.00"
"Oct 29, 2013",321.40,76.67,--,"11,950,000.00"
"Oct 28, 2013",320.55,76.47,--,"11,350,000.00"
"Oct 25, 2013",321.14,76.61,--,"11,350,000.00"
"Oct 24, 2013",319.97,76.33,--,"11,350,000.00"
"Oct 23, 2013",319.20,76.15,--,"11,350,000.00"
"Oct 22, 2013",322.87,77.02,--,"11,350,000.00"
"Oct 21, 2013",322.78,77.00,--,"11,500,000.00"
"Oct 18, 2013",321.71,76.75,--,"11,500,000.00"
"Oct 17, 2013",318.83,76.07,--,"11,450,000.00"
"Oct 16, 2013",317.13,75.66,--,"11,450,000.00"
"Oct 15, 2013",313.96,74.91,--,"11,450,000.00"
"Oct 14, 2013",318.85,76.07,--,"11,450,000.00"
"Oct 11, 2013",317.56,75.77,--,"11,450,000.00"
"Oct 10, 2013",314.94,75.15,--,"11,450,000.00"
"Oct 09, 2013",309.68,73.89,--,"11,450,000.00"
"Oct 08, 2013",310.84,74.17,--,"11,450,000.00"
"Oct 07, 2013",317.96,75.87,--,"11,250,000.00"
"Oct 04, 2013",322.00,76.83,--,"11,150,000.00"
"Oct 03, 2013",318.42,75.98,--,"11,150,000.00"
"Oct 02, 2013",322.86,77.04,--,"11,150,000.00"
"Oct 01, 2013",322.66,76.99,--,"11,150,000.00"
"Sep 30, 2013",319.52,76.24,--,"11,150,000.00"
"Sep 27, 2013",321.47,76.71,--,"11,150,000.00"
"Sep 26, 2013",323.09,77.10,--,"11,050,000.00"
"Sep 25, 2013",321.11,76.63,--,"11,050,000.00"
"Sep 24, 2013",320.04,76.37,0.12,"10,950,000.00"
"Sep 23, 2013",322.69,77.13,--,"10,950,000.00"
"Sep 20, 2013",324.89,77.66,--,"10,950,000.00"
"Sep 19, 2013",326.02,77.93,--,"10,950,000.00"
"Sep 18, 2013",325.29,77.76,--,"10,950,000.00"
"Sep 17, 2013",319.44,76.36,--,"10,950,000.00"
"Sep 16, 2013",317.86,75.98,--,"10,950,000.00"
"Sep 13, 2013",316.44,75.65,--,"10,950,000.00"
"Sep 12, 2013",316.44,75.65,--,"10,950,000.00"
"Sep 11, 2013",317.89,75.99,--,"10,950,000.00"
"Sep 10, 2013",317.00,75.79,--,"10,950,000.00"
"Sep 09, 2013",313.23,74.88,--,"10,950,000.00"
"Sep 06, 2013",308.84,73.84,--,"10,950,000.00"
"Sep 05, 2013",309.11,73.90,--,"10,950,000.00"
"Sep 04, 2013",308.83,73.84,--,"10,850,000.00"
"Sep 03, 2013",308.10,73.66,--,"10,850,000.00"
"Aug 30, 2013",307.15,73.44,--,"10,850,000.00"
"Aug 29, 2013",306.40,73.26,--,"10,900,000.00"
"Aug 28, 2013",303.69,72.62,--,"10,650,000.00"
"Aug 27, 2013",303.24,72.51,--,"10,650,000.00"
"Aug 26, 2013",309.79,74.08,--,"10,650,000.00"
"Aug 23, 2013",310.49,74.25,--,"10,400,000.00"
"Aug 22, 2013",308.04,73.66,--,"10,400,000.00"
"Aug 21, 2013",304.05,72.71,--,"10,350,000.00"
"Aug 20, 2013",304.97,72.93,--,"10,350,000.00"
"Aug 19, 2013",303.56,72.59,--,"10,350,000.00"
"Aug 16, 2013",306.11,73.20,--,"10,350,000.00"
"Aug 15, 2013",306.66,73.34,--,"10,350,000.00"
"Aug 14, 2013",312.83,74.81,--,"10,300,000.00"
"Aug 13, 2013",313.52,74.98,--,"10,300,000.00"
"Aug 12, 2013",312.75,74.79,--,"10,250,000.00"
"Aug 09, 2013",311.11,74.41,--,"10,150,000.00"
"Aug 08, 2013",311.24,74.44,--,"10,000,000.00"
"Aug 07, 2013",308.39,73.76,--,"10,000,000.00"
"Aug 06, 2013",309.43,74.01,--,"10,000,000.00"
"Aug 05, 2013",311.32,74.46,--,"10,000,000.00"
"Aug 02, 2013",310.97,74.38,--,"9,950,000.00"
"Aug 01, 2013",311.09,74.41,--,"9,950,000.00"
"Jul 31, 2013",306.54,73.32,--,"9,950,000.00"
"Jul 30, 2013",303.77,72.66,--,"9,950,000.00"
"Jul 29, 2013",301.86,72.20,--,"9,950,000.00"
"Jul 26, 2013",302.57,72.38,--,"9,950,000.00"
"Jul 25, 2013",303.31,72.55,--,"9,950,000.00"
"Jul 24, 2013",302.49,72.36,--,"9,950,000.00"
"Jul 23, 2013",300.19,71.81,--,"9,950,000.00"
